actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-12T03:40:57.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-12T03:40:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-12T03:41:00.5Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-01-12T03:41:00Z,40000,,,0,,Jump Ball N. Jokic vs. I. Zubac: Tip to A. Gordon,"[203932, 203999, 1627826]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-12T03:41:16.1Z,1,REGULAR,foul,personal,[],201587,,,1610612743,0,0,2022-01-12T03:41:26Z,70000,,,0,,N. Batum personal FOUL (1 PF),"[201587, 203932]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,2004.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-01-12T03:41:33.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,12.270039421813408,45.09803921568627,1610612743,0,2,2022-01-12T03:41:37Z,90000,25.0,63.0,1,left,N. Jokic 6' turnaround Hook (2 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,,,6.74,Made,2.0,M. Morris,1628420.0,1.0,,,,,,,,,,
11,PT11M21.00S,2022-01-12T03:41:51.1Z,1,REGULAR,3pt,Jump Shot,[],1629599,86.38304862023654,3.67647058823529,1610612746,0,2,2022-01-12T03:41:56Z,110000,-232.0,75.0,1,right,MISS A. Coffey 24' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,24.36,Missed,,,,,,,,,,,,,,
12,PT11M17.00S,2022-01-12T03:41:55.1Z,1,REGULAR,rebound,defensive,[],203085,,,1610612743,0,2,2022-01-12T03:41:56Z,120000,,,0,,A. Rivers REBOUND (Off:0 Def:1),[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M14.00S,2022-01-12T03:41:57.6Z,1,REGULAR,turnover,bad pass,[],1628420,,,1610612743,0,2,2022-01-12T03:42:01Z,130000,,,0,,M. Morris bad pass TURNOVER (1 TO),"[1628420, 1629599]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,1.0,Coffey,1629599.0,,,
14,PT11M14.00S,2022-01-12T03:41:57.6Z,1,REGULAR,steal,,[],1629599,,,1610612746,0,2,2022-01-12T03:41:59Z,140000,,,0,,A. Coffey STEAL (1 STL),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2022-01-12T03:42:00.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629599,92.95335085413929,48.774509803921575,1610612746,2,2,2022-01-12T03:42:06Z,150000,-6.0,14.0,1,right,A. Coffey running DUNK (2 PTS) (N. Batum 1 AST),"[1629599, 201587]",1610612746.0,LAC,running,,,Coffey,A. Coffey,,,,,,,,,,1.5,Made,2.0,N. Batum,201587.0,1.0,,,,,,,,,,
17,PT10M48.00S,2022-01-12T03:42:22.8Z,1,REGULAR,3pt,Jump Shot,[],203210,7.408015768725363,3.67647058823529,1610612743,2,2,2022-01-12T03:42:27Z,170000,232.0,17.0,1,left,MISS J. Green 3PT,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,23.22,Missed,,,,,,,,,,,,,,
18,PT10M45.00S,2022-01-12T03:42:25.8Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,2,2,2022-01-12T03:42:27Z,180000,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,
19,PT10M43.00S,2022-01-12T03:42:31.3Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612743,2,2,2022-01-12T03:42:36Z,190000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Rivers 2 FT),"[1627826, 203085]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,203593.0,1.0,0.0,Rivers,203085.0,,,,,,,,,,,,,,,,
21,PT10M43.00S,2022-01-12T03:42:52.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203085,,,1610612743,2,3,2022-01-12T03:42:52Z,210000,,,0,,A. Rivers Free Throw 1 of 2 (1 PTS),[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
22,PT10M43.00S,2022-01-12T03:43:05.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203085,,,1610612743,2,4,2022-01-12T03:43:05Z,220000,,,0,,A. Rivers Free Throw 2 of 2 (2 PTS),[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
23,PT10M29.00S,2022-01-12T03:43:21.7Z,1,REGULAR,3pt,Jump Shot,[],202694,75.87056504599212,12.5,1610612746,2,4,2022-01-12T03:43:27Z,230000,-188.0,174.0,1,right,MISS M. Morris Sr. 25' step back 3PT,[202694],1610612746.0,LAC,step back,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,25.6,Missed,,,,,,,,,,,,,,
24,PT10M24.00S,2022-01-12T03:43:26.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,2,4,2022-01-12T03:43:27Z,240000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT10M21.00S,2022-01-12T03:43:29.4Z,1,REGULAR,turnover,bad pass,[],203932,,,1610612743,2,4,2022-01-12T03:43:34Z,250000,,,0,,A. Gordon bad pass TURNOVER (1 TO),"[203932, 202704]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,1.0,Jackson,202704.0,,,
26,PT10M21.00S,2022-01-12T03:43:29.4Z,1,REGULAR,steal,,[],202704,,,1610612746,2,4,2022-01-12T03:43:31Z,260000,,,0,,R. Jackson STEAL (1 STL),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M14.00S,2022-01-12T03:43:35.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627826,92.95335085413929,53.92156862745098,1610612746,2,4,2022-01-12T03:43:43Z,270000,20.0,14.0,1,right,MISS I. Zubac running Layup - blocked,"[1627826, 203210]",1610612746.0,LAC,running,,,Zubac,I. Zubac,,,,,,,,,,2.39,Missed,,,,,,,,,,,,Green,203210.0,
28,PT10M14.00S,2022-01-12T03:43:35.8Z,1,REGULAR,block,,[],203210,,,1610612746,2,4,2022-01-12T03:43:38Z,280000,,,0,,J. Green BLOCK (1 BLK),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M12.00S,2022-01-12T03:43:37.8Z,1,REGULAR,rebound,defensive,[],203210,,,1610612743,2,4,2022-01-12T03:43:43Z,290000,,,0,,J. Green REBOUND (Off:0 Def:1),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
30,PT09M59.00S,2022-01-12T03:43:51.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203999,6.8823915900131425,50.49019607843137,1610612743,2,6,2022-01-12T03:43:55Z,300000,-2.0,12.0,1,left,N. Jokic cutting DUNK (4 PTS) (J. Green 1 AST),"[203999, 203210]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,,,,,,1.25,Made,4.0,J. Green,203210.0,1.0,,,,,,,,,,
