actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
21,PT10M22.00S,2022-04-10T01:42:26.9Z,1,REGULAR,3pt,Jump Shot,[],202331,63.91261498028909,55.3921568627451,1610612746,5,0,2022-04-10T01:42:32Z,210000,27.0,287.0,1,right,P. George 28' 3PT pullup (5 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,28.8,Made,5.0,,,,,,,,,,,,,,,
22,PT10M06.00S,2022-04-10T01:42:42.9Z,1,REGULAR,3pt,Jump Shot,[],1626168,28.777923784494092,86.98682598039215,1610612758,5,0,2022-04-10T01:42:49Z,220000,-185.0,218.0,1,left,MISS T. Lyles 28' 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,28.59,Missed,,,,,,,,,,,,,,,,
23,PT10M03.00S,2022-04-10T01:42:45.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,0,2022-04-10T01:42:49Z,230000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,
24,PT09M57.00S,2022-04-10T01:42:52.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,93.61038107752957,49.754901960784316,1610612746,7,0,2022-04-10T01:43:01Z,240000,-1.0,8.0,1,right,I. Zubac alley-oop DUNK (2 PTS) (P. George 1 AST),"[1627826, 202331]",1610612746.0,LAC,alley-oop,,,Zubac,I. Zubac,,,,,,,,0.77,Made,2.0,P. George,202331.0,1.0,,,,,,,,,,,,
26,PT09M52.00S,2022-04-10T01:43:01.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,7,0,2022-04-10T01:43:01Z,260000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M41.00S,2022-04-10T01:46:04.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,7,0,2022-04-10T01:46:04Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M39.00S,2022-04-10T01:46:16.9Z,1,REGULAR,2pt,Jump Shot,[],203200,8.196452036793687,74.75490196078431,1610612758,7,0,2022-04-10T01:46:22Z,280000,-124.0,25.0,1,left,MISS J. Holiday 12' Jump Shot,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,12.62,Missed,,,,,,,,,,,,,,,,
29,PT09M37.00S,2022-04-10T01:46:18.9Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,7,0,2022-04-10T01:46:22Z,290000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT09M31.00S,2022-04-10T01:46:25.5Z,1,REGULAR,2pt,Jump Shot,[],202694,79.5006570302234,33.065257352941174,1610612746,9,0,2022-04-10T01:46:31Z,300000,-85.0,140.0,1,right,M. Morris Sr. 16' pullup Jump Shot (2 PTS),[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,,,,16.38,Made,2.0,,,,,,,,,,,,,,,
31,PT09M18.00S,2022-04-10T01:46:39.1Z,1,REGULAR,3pt,Jump Shot,[],1630558,30.27266754270697,24.509803921568633,1610612758,9,0,2022-04-10T01:46:45Z,310000,127.0,232.0,1,left,MISS D. Mitchell 26' step back 3PT,[1630558],1610612758.0,SAC,step back,,,Mitchell,D. Mitchell,,,,,,,,26.48,Missed,,,,,,,,,,,,,,,,
32,PT09M15.00S,2022-04-10T01:46:42.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,9,0,2022-04-10T01:46:45Z,320000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,31.0,3.0,3.0,0.0,,,,,,,,
33,PT09M03.00S,2022-04-10T01:46:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,83.36070959264126,49.50980392156863,1610612746,9,0,2022-04-10T01:46:59Z,330000,-2.0,104.0,1,right,MISS M. Morris Sr. 10' turnaround fadeaway Shot,[202694],1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,,,,10.39,Missed,,,,,,,,,,,,,,,,
34,PT09M00.00S,2022-04-10T01:46:56.9Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,9,0,2022-04-10T01:46:59Z,340000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
35,PT08M46.00S,2022-04-10T01:47:12.1Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612758,9,0,2022-04-10T01:47:20Z,350000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Jones 2 FT),"[202694, 1627745]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Jones,1627745.0,,,
37,PT08M46.00S,2022-04-10T01:47:37.9Z,1,REGULAR,freethrow,1 of 2,[],1627745,,,1610612758,9,0,2022-04-10T01:47:54Z,370000,,,0,,MISS D. Jones Free Throw 1 of 2,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,Missed,,,,,,,,,,,,,,,,
