actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-11T01:40:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-11T01:40:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-11T01:40:47.4Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2022-04-11T01:40:47Z,40000,,,0,,Jump Ball I. Zubac vs. I. Roby: Tip to T. Mann,"[1629611, 1627826, 1629676]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-04-11T01:41:04.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,93.87319316688567,41.666666666666664,1610612746,2,0,2022-04-11T01:41:09Z,70000,-42.0,5.0,1,right,I. Zubac turnaround Hook (2 PTS),[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,4.2,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2022-04-11T01:41:30.5Z,1,REGULAR,3pt,Jump Shot,[],1630249,22.470433639947444,91.15349264705883,1610612760,2,0,2022-04-11T01:42:37Z,80000,-206.0,159.0,1,left,MISS V. Krejci 25' fadeaway 3PT,[1630249],1610612760.0,OKC,fadeaway,,,Krejci,V. Krejci,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2022-04-11T01:41:33.5Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,2,0,2022-04-11T01:41:37Z,90000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M07.00S,2022-04-11T01:41:39.3Z,1,REGULAR,turnover,out-of-bounds,[],1629599,,,1610612746,2,0,2022-04-11T01:41:45Z,100000,,,0,,A. Coffey bad pass out-of-bounds TURNOVER (1 TO),[1629599],1610612746.0,LAC,bad pass,,,Coffey,A. Coffey,,,,,,,,,,,,201246.0,1.0,,,,,,,,,,,
11,PT10M51.00S,2022-04-11T01:42:06.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629676,5.831143232588701,53.92156862745098,1610612760,2,0,2022-04-11T01:42:10Z,110000,-20.0,2.0,1,left,MISS I. Roby Layup,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,1.97,Missed,,,,,,,,,,,,,,,,,,
12,PT10M48.00S,2022-04-11T01:42:09.1Z,1,REGULAR,rebound,defensive,[],203496,,,1610612746,2,0,2022-04-11T02:02:22Z,120000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M40.00S,2022-04-11T01:42:18.2Z,1,REGULAR,turnover,out-of-bounds,[],1628379,,,1610612746,2,0,2022-04-11T01:42:22Z,130000,,,0,,L. Kennard bad pass out-of-bounds TURNOVER (1 TO),[1628379],1610612746.0,LAC,bad pass,,,Kennard,L. Kennard,,,,,,,,,,,,1363.0,1.0,,,,,,,,,,,
14,PT10M25.00S,2022-04-11T01:42:38.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629676,6.750985545335084,33.33333333333334,1610612760,2,2,2022-04-11T01:42:42Z,140000,83.0,11.0,1,left,I. Roby 8' Jump Shot (2 PTS) (Z. Simpson 1 AST),"[1629676, 1630285]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,8.4,Made,2.0,,,,,,,Z. Simpson,1630285.0,1.0,,,,,,,,
16,PT10M10.00S,2022-04-11T01:42:52.1Z,1,REGULAR,3pt,Jump Shot,[],1628379,63.30691524310118,37.967218137254896,1610612746,5,2,2022-04-11T01:42:58Z,160000,-60.0,292.0,1,right,L. Kennard 29' 3PT  (3 PTS) (T. Mann 1 AST),"[1628379, 1629611]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,29.85,Made,3.0,,,,,,,T. Mann,1629611.0,1.0,,,,,,,,
18,PT09M56.00S,2022-04-11T01:43:06.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630249,10.561760840998687,54.411764705882355,1610612760,5,4,2022-04-11T01:54:11Z,180000,-22.0,47.0,1,left,V. Krejci driving floating Jump Shot (2 PTS),[1630249],1610612760.0,OKC,driving floating,,,Krejci,V. Krejci,,,,,5.18,Made,2.0,,,,,,,,,,,,,,,,,
19,PT09M36.00S,2022-04-11T01:43:27.2Z,1,REGULAR,2pt,Jump Shot,[],1628379,78.71222076215506,72.52604166666667,1610612746,7,4,2022-04-11T01:43:37Z,190000,113.0,148.0,1,right,L. Kennard 18' pullup Jump Shot (5 PTS),[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,18.56,Made,5.0,,,,,,,,,,,,,,,,,
20,PT09M24.00S,2022-04-11T01:43:39.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630285,13.058475689881732,42.40196078431373,1610612760,7,6,2022-04-11T01:43:43Z,200000,38.0,70.0,1,left,Z. Simpson 7' driving Hook (2 PTS),[1630285],1610612760.0,OKC,driving,,,Simpson,Z. Simpson,,,,,7.98,Made,2.0,,,,,,,,,,,,,,,,,
