actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-12T03:40:56.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-12T03:40:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-12T03:40:59.0Z,1,REGULAR,jumpball,recovered,[],201587,,,1610612746,0,0,2021-11-12T03:40:59Z,40000,,,0,,Jump Ball I. Zubac vs. B. Adebayo: Tip to N. Batum,"[201587, 1627826, 1628389]",1610612746.0,LAC,startperiod,N. Batum,201587.0,Batum,N. Batum,Zubac,1627826.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-12T03:41:09.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202339,90.98226018396846,53.67647058823529,1610612746,0,0,2021-11-12T03:41:14Z,70000,18.0,32.0,1,right,MISS E. Bledsoe driving bank Shot,[202339],1610612746.0,LAC,driving bank,,,Bledsoe,E. Bledsoe,,,,,3.72,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-11-12T03:41:12.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2021-11-12T03:41:12Z,80000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-11-12T03:41:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629639,12.795663600525614,97.79411764705883,1610612748,0,0,2021-11-12T03:41:54Z,90000,-239.0,68.0,1,left,MISS T. Herro 24' 3PT - blocked,"[1629639, 201587]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,24.84,Missed,,,,,Batum,201587.0,,,,,,,,,,,,,
10,PT11M24.00S,2021-11-12T03:41:31.7Z,1,REGULAR,block,,[],201587,,,1610612748,0,0,2021-11-12T03:41:35Z,100000,,,0,,N. Batum BLOCK (1 BLK),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2021-11-12T03:41:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2021-11-12T03:41:49Z,110000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2021-11-12T03:41:39.3Z,1,REGULAR,foul,personal,[],202339,,,1610612748,0,0,2021-11-12T03:41:44Z,120000,,,0,,E. Bledsoe loose ball personal FOUL (1 PF),"[202339, 1629639]",1610612746.0,LAC,loose ball,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,1148.0,1.0,0.0,Herro,1629639.0,,,,,,,,
14,PT11M11.00S,2021-11-12T03:42:09.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628389,7.145203679369246,49.50980392156863,1610612748,0,2,2021-11-12T03:42:14Z,140000,2.0,15.0,1,left,B. Adebayo alley-oop DUNK (2 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,1.49,Made,,,,,,,,,,,,2.0,K. Lowry,200768.0,1.0,,,,
16,PT10M56.00S,2021-11-12T03:42:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,94.3988173455979,64.70588235294117,1610612746,0,2,2021-11-12T03:42:29Z,160000,74.0,0.0,1,right,MISS P. George 7' fadeaway Shot,[202331],1610612746.0,LAC,fadeaway,,,George,P. George,,,,,7.35,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2021-11-12T03:42:25.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,2,2021-11-12T03:42:29Z,170000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M49.00S,2021-11-12T03:42:30.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,10.430354796320628,3.1862745098039227,1610612748,0,5,2021-11-12T03:42:36Z,180000,234.0,46.0,1,left,D. Robinson 3PT running (3 PTS) (K. Lowry 2 AST),"[1629130, 200768]",1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,23.85,Made,,,,,,,,,,,,3.0,K. Lowry,200768.0,2.0,,,,
20,PT10M32.00S,2021-11-12T03:42:47.5Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,0,5,2021-11-12T03:42:51Z,200000,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 200768]",1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,1.0,Lowry,200768.0,
21,PT10M32.00S,2021-11-12T03:42:47.5Z,1,REGULAR,steal,,[],200768,,,1610612748,0,5,2021-11-12T03:42:49Z,210000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2021-11-12T03:43:03.0Z,1,REGULAR,turnover,out-of-bounds,[],200782,,,1610612748,0,5,2021-11-12T03:43:09Z,220000,,,0,,P. Tucker lost ball out-of-bounds TURNOVER (1 TO),[200782],1610612748.0,MIA,lost ball,,,Tucker,P. Tucker,,,,,,,,,,,,,201246.0,,,,,,,,,1.0,,,
23,PT10M05.00S,2021-11-12T03:43:24.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,85.98883048620237,76.7156862745098,1610612746,0,5,2021-11-12T03:43:29Z,230000,134.0,79.0,1,right,MISS P. George 15' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,15.53,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2021-11-12T03:43:28.6Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,0,5,2021-11-12T03:43:29Z,240000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT09M53.00S,2021-11-12T03:43:36.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,18.183311432325894,55.3921568627451,1610612748,0,5,2021-11-12T03:43:39Z,250000,-27.0,118.0,1,left,MISS B. Adebayo 12' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,12.14,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M50.00S,2021-11-12T03:43:39.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,5,2021-11-12T03:43:39Z,260000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M45.00S,2021-11-12T03:43:46.9Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612746,0,5,2021-11-12T03:43:53Z,270000,,,0,,P. Tucker shooting personal FOUL (1 PF) (George 2 FT),"[200782, 202331]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,,,,,,,,,1148.0,1.0,0.0,George,202331.0,,,,,,,,
29,PT09M45.00S,2021-11-12T03:44:11.5Z,1,REGULAR,freethrow,1 of 2,[],202331,,,1610612746,1,5,2021-11-12T03:44:11Z,290000,,,0,,P. George Free Throw 1 of 2 (1 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
30,PT09M45.00S,2021-11-12T03:44:29.0Z,1,REGULAR,freethrow,2 of 2,[],202331,,,1610612746,2,5,2021-11-12T03:44:29Z,300000,,,0,,P. George Free Throw 2 of 2 (2 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,Made,,,,,,,,,,,,2.0,,,,,,,
31,PT09M27.00S,2021-11-12T03:44:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.37253613666229,51.22549019607843,1610612748,2,7,2021-11-12T03:44:52Z,310000,-6.0,83.0,1,left,B. Adebayo 8' turnaround fadeaway Jump Shot (4 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,8.28,Made,,,,,,,,,,,,4.0,,,,,,,
32,PT09M20.00S,2021-11-12T03:44:54.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,91.37647831800263,49.50980392156863,1610612746,2,7,2021-11-12T04:45:29Z,320000,-2.0,29.0,1,right,MISS P. George running reverse Layup,[202331],1610612746.0,LAC,running reverse,,,George,P. George,,,,,2.87,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M18.00S,2021-11-12T03:44:56.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,7,2021-11-12T03:45:00Z,330000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
34,PT09M12.00S,2021-11-12T03:45:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.8823915900131425,48.28431372549019,1610612748,2,9,2021-11-12T03:45:07Z,340000,9.0,12.0,1,left,T. Herro driving Layup (2 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,1.49,Made,,,,,,,,,,,,2.0,,,,,,,
35,PT08M58.00S,2021-11-12T03:45:19.3Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612746,2,9,2021-11-12T03:45:27Z,350000,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Zubac 2 FT),"[1628389, 1627826]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,,1628159.0,1.0,0.0,Zubac,1627826.0,,,,,,,,
