actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-09T20:40:49.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-09T20:40:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-09T20:40:52.5Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2022-01-09T20:40:52Z,40000,,,0,,Jump Ball O. Okongwu vs. I. Zubac: Tip to J. Collins,"[1628381, 1630168, 1627826]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Okongwu,1630168.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-01-09T20:41:05.6Z,1,REGULAR,violation,kicked ball,[],201587,,,1610612737,0,0,2022-01-09T20:41:11Z,70000,,,0,,N. Batum kicked ball VIOLATION,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,2530.0,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-09T20:41:24.0Z,1,REGULAR,2pt,Jump Shot,[],203992,7.408015768725363,29.166666666666657,1610612737,0,2,2022-01-09T20:41:31Z,80000,104.0,17.0,1,left,B. Bogdanovic 10' fadeaway Jump Shot (2 PTS),[203992],1610612737.0,ATL,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,,10.56,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-01-09T20:41:46.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,85.46320630749014,52.94117647058824,1610612746,0,2,2022-01-09T20:41:50Z,100000,15.0,84.0,1,right,MISS M. Morris Sr. 8' turnaround Shot,[202694],1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,,8.54,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-01-09T20:41:49.5Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,2,2022-01-09T20:41:50Z,110000,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M07.00S,2022-01-09T20:41:57.5Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612737,0,2,2022-01-09T20:42:05Z,120000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Okongwu 2 FT),"[202694, 1630168]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,203593.0,,,,,,,,1.0,0.0,Okongwu,1630168.0,,,,,,,,,
14,PT11M07.00S,2022-01-09T20:42:26.7Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,0,3,2022-01-09T20:42:26Z,140000,,,0,,O. Okongwu Free Throw 1 of 2 (1 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2022-01-09T20:42:42.1Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,0,4,2022-01-09T20:42:42Z,150000,,,0,,O. Okongwu Free Throw 2 of 2 (2 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2022-01-09T20:42:53.7Z,1,REGULAR,3pt,Jump Shot,[],201587,68.11760840998686,68.38235294117646,1610612746,0,4,2022-01-09T20:42:58Z,160000,92.0,247.0,1,right,MISS N. Batum 26' 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2022-01-09T20:42:56.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,4,2022-01-09T20:42:58Z,170000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M46.00S,2022-01-09T20:43:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203992,12.270039421813408,56.86274509803921,1610612737,0,4,2022-01-09T20:43:09Z,180000,-34.0,63.0,1,left,MISS B. Bogdanovic 7' driving floating Shot,[203992],1610612737.0,ATL,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,,7.16,Missed,,,,,,,,,,,,,,,,,,
19,PT10M43.00S,2022-01-09T20:43:06.5Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,0,4,2022-01-09T20:43:06Z,190000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M26.00S,2022-01-09T20:43:24.2Z,1,REGULAR,2pt,Jump Shot,[],202694,87.9599211563732,26.715686274509807,1610612746,0,4,2022-01-09T20:43:27Z,200000,-116.0,61.0,1,right,MISS M. Morris Sr. 13' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,,13.13,Missed,,,,,,,,,,,,,,,,,,
21,PT10M23.00S,2022-01-09T20:43:27.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,4,2022-01-09T20:43:27Z,210000,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,
22,PT10M18.00S,2022-01-09T20:43:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,9.904730617608408,43.13725490196079,1610612737,0,4,2022-01-09T20:43:37Z,220000,34.0,41.0,1,left,MISS T. Young driving finger roll Layup,[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,,5.31,Missed,,,,,,,,,,,,,,,,,,
23,PT10M17.00S,2022-01-09T20:43:32.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,4,2022-01-09T20:43:37Z,230000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M02.00S,2022-01-09T20:43:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,89.14257555847568,44.85294117647059,1610612746,0,4,2022-01-09T20:43:54Z,240000,-26.0,50.0,1,right,MISS R. Jackson driving Layup - blocked,"[202704, 1629027]",1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,,5.59,Missed,,,,,,,,,,Young,1629027.0,,,,,,,
25,PT10M02.00S,2022-01-09T20:43:48.8Z,1,REGULAR,block,,[],1629027,,,1610612746,0,4,2022-01-09T20:43:51Z,250000,,,0,,T. Young BLOCK (1 BLK),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2022-01-09T20:43:51.8Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,4,2022-01-09T20:43:51Z,260000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,,
27,PT09M56.00S,2022-01-09T20:43:54.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201587,75.21353482260184,69.11764705882354,1610612746,0,4,2022-01-09T20:46:01Z,270000,96.0,180.0,1,right,MISS N. Batum 20' pullup Shot,[201587],1610612746.0,LAC,pullup,,,Batum,N. Batum,,,,,,20.43,Missed,,,,,,,,,,,,,,,,,,
28,PT09M53.00S,2022-01-09T20:43:57.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,4,2022-01-09T20:44:00Z,280000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,
29,PT09M33.00S,2022-01-09T20:44:17.2Z,1,REGULAR,2pt,Jump Shot,[],1628381,20.285808147174762,32.35294117647058,1610612737,0,4,2022-01-09T20:44:21Z,290000,88.0,138.0,1,left,MISS J. Collins 16' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,16.39,Missed,,,,,,,,,,,,,,,,,,
30,PT09M31.00S,2022-01-09T20:44:19.5Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,0,4,2022-01-09T20:44:19Z,300000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M19.00S,2022-01-09T20:44:31.2Z,1,REGULAR,3pt,Jump Shot,[],202694,77.18462549277267,90.68627450980392,1610612746,3,4,2022-01-09T20:44:37Z,310000,203.0,162.0,1,right,M. Morris Sr. 26' 3PT  (3 PTS) (A. Coffey 1 AST),"[202694, 1629599]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,26.0,Made,3.0,,,,,,,,,,,A. Coffey,1629599.0,1.0,,,,
34,PT09M05.00S,2022-01-09T20:44:44.6Z,1,REGULAR,3pt,Jump Shot,[],1628989,28.038764783180028,83.33333333333334,1610612737,3,4,2022-01-09T20:44:48Z,340000,-167.0,211.0,1,left,MISS K. Huerter 26' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,26.9,Missed,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2022-01-09T20:44:46.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,3,4,2022-01-09T20:44:46Z,350000,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,34.0,3.0,2.0,1.0,,,,,,,,,,,,,
36,PT09M01.00S,2022-01-09T20:44:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629599,83.36070959264126,49.754901960784316,1610612746,5,4,2022-01-09T20:44:57Z,360000,-1.0,104.0,1,right,A. Coffey 10' floating Jump Shot (2 PTS),[1629599],1610612746.0,LAC,floating,,,Coffey,A. Coffey,,,,,,10.39,Made,2.0,,,,,,,,,,,,,,,,,
37,PT08M44.00S,2022-01-09T20:45:05.9Z,1,REGULAR,2pt,Jump Shot,[],1629027,14.109724047306173,78.67647058823529,1610612737,5,4,2022-01-09T20:45:11Z,370000,-143.0,80.0,1,left,MISS T. Young 16' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,16.43,Missed,,,,,,,,,,,,,,,,,,
38,PT08M41.00S,2022-01-09T20:45:08.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,4,2022-01-09T20:45:11Z,380000,,,0,,I. Zubac REBOUND (Off:1 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,37.0,4.0,3.0,1.0,,,,,,,,,,,,,
39,PT08M29.00S,2022-01-09T20:45:21.4Z,1,REGULAR,3pt,Jump Shot,[],202694,95.71287779237845,3.9215686274509807,1610612746,5,4,2022-01-09T20:45:27Z,390000,-230.0,-12.0,1,right,MISS M. Morris Sr. 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,23.07,Missed,,,,,,,,,,,,,,,,,,
40,PT08M27.00S,2022-01-09T20:45:23.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,5,4,2022-01-09T20:45:27Z,400000,,,0,,J. Collins REBOUND (Off:0 Def:3),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,
41,PT08M20.00S,2022-01-09T20:45:30.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629027,7.670827858081481,45.833333333333336,1610612737,5,6,2022-01-09T20:48:29Z,410000,21.0,20.0,1,left,T. Young driving Layup (2 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,,2.86,Made,2.0,,,,,,,,,,,,,,,,,
42,PT08M07.00S,2022-01-09T20:45:45.1Z,1,REGULAR,foul,offensive,[],202694,,,1610612746,5,6,2022-01-09T20:46:00Z,420000,,,0,,M. Morris Sr. offensive FOUL (2 PF),"[202694, 1629027]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,1627541.0,,,,,,,,2.0,0.0,Young,1629027.0,,,,,,,,,
44,PT08M07.00S,2022-01-09T20:45:45.1Z,1,REGULAR,turnover,offensive foul,[],202694,,,1610612746,5,6,2022-01-09T20:46:01Z,440000,,,0,,M. Morris Sr. offensive foul TURNOVER (1 TO),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,1627541.0,,,,,,,,,,,,,,,,,1.0,,,
45,PT08M07.00S,2022-01-09T20:46:00.6Z,1,REGULAR,substitution,out,[],202694,,,1610612737,5,6,2022-01-09T20:46:07Z,450000,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M07.00S,2022-01-09T20:46:00.6Z,1,REGULAR,substitution,in,[],1629611,,,1610612737,5,6,2022-01-09T20:46:07Z,460000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M54.00S,2022-01-09T20:46:31.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628989,21.73127463863338,76.47058823529412,1610612737,5,6,2022-01-09T20:46:37Z,470000,-132.0,152.0,1,left,MISS K. Huerter 20' step back Shot,[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,,20.14,Missed,,,,,,,,,,,,,,,,,,
48,PT07M51.00S,2022-01-09T20:46:34.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,6,2022-01-09T20:46:37Z,480000,,,0,,I. Zubac REBOUND (Off:1 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,47.0,5.0,4.0,1.0,,,,,,,,,,,,,
49,PT07M30.00S,2022-01-09T20:46:56.2Z,1,REGULAR,2pt,Jump Shot,[],1629611,87.82851511169514,88.72549019607843,1610612746,5,6,2022-01-09T20:47:01Z,490000,194.0,62.0,1,right,MISS T. Mann 20' Jump Shot,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,20.33,Missed,,,,,,,,,,,,,,,,,,
50,PT07M27.00S,2022-01-09T20:46:59.2Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,5,6,2022-01-09T20:47:01Z,500000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M23.00S,2022-01-09T20:47:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203992,9.379106438896187,49.26470588235294,1610612737,5,8,2022-01-09T20:47:11Z,510000,4.0,36.0,1,left,B. Bogdanovic running finger roll Layup (4 PTS) (T. Young 1 AST),"[203992, 1629027]",1610612737.0,ATL,running finger roll,,,Bogdanovic,B. Bogdanovic,,,,,,3.59,Made,4.0,,,,,,,,,,,T. Young,1629027.0,1.0,,,,
53,PT07M10.00S,2022-01-09T20:47:16.0Z,1,REGULAR,2pt,Jump Shot,[],202704,77.71024967148489,66.66666666666667,1610612746,5,8,2022-01-09T20:47:21Z,530000,83.0,157.0,1,right,MISS R. Jackson 17' step back Shot,[202704],1610612746.0,LAC,step back,,,Jackson,R. Jackson,,,,,,17.77,Missed,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2022-01-09T20:47:20.0Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,5,8,2022-01-09T20:47:21Z,540000,,,0,,J. Collins REBOUND (Off:0 Def:4),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,53.0,4.0,4.0,0.0,,,,,,,,,,,,,
55,PT07M02.00S,2022-01-09T20:47:24.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203992,31.061103810775293,28.186274509803923,1610612737,5,11,2022-01-09T20:47:33Z,550000,109.0,239.0,1,left,B. Bogdanovic 26' 3PT running pullup (7 PTS) (T. Young 2 AST),"[203992, 1629027]",1610612737.0,ATL,running pullup,,,Bogdanovic,B. Bogdanovic,,,,,,26.32,Made,7.0,,,,,,,,,,,T. Young,1629027.0,2.0,,,,
57,PT07M01.00S,2022-01-09T20:47:31.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,5,11,2022-01-09T20:47:31Z,570000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M01.00S,2022-01-09T20:50:23.3Z,1,REGULAR,substitution,out,[],1628381,,,1610612746,5,11,2022-01-09T20:50:25Z,580000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
