actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-11T20:40:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-11T20:40:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-11T20:40:50.8Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2021-12-11T20:40:50Z,40000,,,0,,Jump Ball I. Zubac vs. M. Bamba: Tip to M. Morris Sr.,"[202694, 1627826, 1628964]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-11T20:41:02.9Z,1,REGULAR,3pt,Jump Shot,[],202694,32.37516425755584,66.66666666666667,1610612746,0,0,2021-12-11T20:41:07Z,70000,-83.0,252.0,1,left,MISS M. Morris Sr. 26' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-12-11T20:41:06.9Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,0,0,2021-12-11T20:41:07Z,80000,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2021-12-11T20:41:19.0Z,1,REGULAR,3pt,Jump Shot,[],1628976,79.15571616294349,92.40196078431373,1610612753,0,0,2021-12-11T20:41:23Z,90000,212.0,143.0,1,right,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-12-11T20:41:22.0Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2021-12-11T20:41:23Z,100000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2021-12-11T20:41:29.7Z,1,REGULAR,2pt,Jump Shot,[],1628379,24.096583442838366,33.33333333333334,1610612746,2,0,2021-12-11T20:41:35Z,110000,83.0,174.0,1,left,L. Kennard 19' step back Jump Shot (2 PTS) (T. Mann 1 AST),"[1628379, 1629611]",1610612746.0,LAC,step back,,,Kennard,L. Kennard,,,,,19.29,Made,,,,,2.0,T. Mann,1629611.0,1.0,,,,,,,,,,
12,PT11M01.00S,2021-12-11T20:41:46.6Z,1,REGULAR,3pt,Jump Shot,[],1630175,69.1688567674113,32.1078431372549,1610612753,2,3,2021-12-11T20:41:50Z,120000,-89.0,237.0,1,right,C. Anthony 25' 3PT  (3 PTS) (F. Wagner 1 AST),"[1630175, 1630532]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,25.36,Made,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,
15,PT10M43.00S,2021-12-11T20:42:03.7Z,1,REGULAR,3pt,Jump Shot,[],1628379,35.39750328515112,66.17647058823529,1610612746,5,3,2021-12-11T20:42:09Z,140000,-81.0,280.0,1,left,L. Kennard 29' 3PT  (5 PTS) (I. Zubac 1 AST),"[1628379, 1627826]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,29.16,Made,,,,,5.0,I. Zubac,1627826.0,1.0,,,,,,,,,,
17,PT10M24.00S,2021-12-11T20:42:23.0Z,1,REGULAR,3pt,Jump Shot,[],1628964,69.82588699080158,72.54901960784314,1610612753,5,3,2021-12-11T20:42:27Z,160000,113.0,231.0,1,right,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2021-12-11T20:42:26.0Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,5,3,2021-12-11T20:42:27Z,170000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M18.00S,2021-12-11T20:42:30.9Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,5,3,2021-12-11T20:42:41Z,180000,,,0,,I. Zubac lost ball out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,lost ball,,,Zubac,I. Zubac,,,,,,,,,,,,,,,1.0,,,,,,,,,
20,PT10M09.00S,2021-12-11T20:42:44.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628964,76.52759526938239,91.17647058823529,1610612753,5,6,2021-12-11T20:42:48Z,190000,206.0,168.0,1,right,M. Bamba 26' 3PT  (3 PTS) (C. Anthony 1 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,26.58,Made,,,,,3.0,C. Anthony,1630175.0,1.0,,,,,,,,,,
22,PT09M54.00S,2021-12-11T20:43:02.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,5,6,2021-12-11T20:43:02Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M46.00S,2021-12-11T20:43:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,15.505913272010503,54.346660539215684,1610612746,5,6,2021-12-11T20:43:31Z,220000,-22.0,93.0,1,left,MISS L. Kennard 9' driving floating Shot,[1628379],1610612746.0,LAC,driving floating,,,Kennard,L. Kennard,,,,,9.58,Missed,,,,,,,,,,,,,,,,,,
24,PT09M43.00S,2021-12-11T20:43:28.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,5,6,2021-12-11T20:43:31Z,230000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M32.00S,2021-12-11T20:43:39.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628964,83.44283837056504,53.14031862745098,1610612753,5,8,2021-12-11T20:43:47Z,240000,16.0,103.0,1,right,M. Bamba 10' floating Jump Shot (5 PTS) (W. Carter Jr. 1 AST),"[1628964, 1628976]",1610612753.0,ORL,floating,,,Bamba,M. Bamba,,,,,10.43,Made,,,,,5.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,
27,PT09M23.00S,2021-12-11T20:43:53.2Z,1,REGULAR,turnover,out-of-bounds,[],1629611,,,1610612746,5,8,2021-12-11T20:43:59Z,260000,,,0,,T. Mann step out-of-bounds TURNOVER (1 TO),[1629611],1610612746.0,LAC,step,,,Mann,T. Mann,,,,,,,,,,,,,,,1.0,204059.0,,,,,,,,
