actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-15T03:41:17.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-15T03:41:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-15T03:41:19.9Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2022-02-15T03:41:19Z,40000,,,0,,Jump Ball K. Looney vs. I. Zubac: Tip to K. Thompson,"[202691, 1626172, 1627826]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-15T03:41:35.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,5.568331143232584,49.754901960784316,1610612744,0,2,2022-02-15T03:41:40Z,70000,1.0,0.0,1,left,K. Looney cutting DUNK (2 PTS) (K. Thompson 1 AST),"[1626172, 202691]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,0.12,Made,2.0,K. Thompson,202691.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-02-15T03:41:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,85.46320630749014,61.76470588235294,1610612746,0,2,2022-02-15T03:42:05Z,90000,59.0,84.0,1,right,MISS M. Morris Sr. 10' fadeaway Shot,[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,10.26,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-02-15T03:42:01.9Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,2,2022-02-15T03:42:05Z,100000,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M15.00S,2022-02-15T03:42:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,94.40999984741211,50.0,1610612746,2,2,2022-02-15T03:42:01Z,110000,0.0,0.0,1,right,I. Zubac tip Layup (2 PTS),[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT10M59.00S,2022-02-15T03:42:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,7.408015768725363,44.11764705882353,1610612744,2,2,2022-02-15T03:42:24Z,120000,29.0,17.0,1,left,MISS K. Looney Layup,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,3.4,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-02-15T03:42:19.7Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,2,2,2022-02-15T03:42:24Z,130000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,
14,PT10M55.00S,2022-02-15T03:42:21.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,29.878449408672807,21.813725490196077,1610612744,2,2,2022-02-15T03:42:27Z,140000,141.0,228.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2022-02-15T03:42:24.7Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,2,2,2022-02-15T03:42:27Z,150000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
