actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-07T02:16:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-07T02:16:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-07T02:16:24.9Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2022-04-07T02:16:25Z,40000,,,0,,Jump Ball J. McGee vs. I. Zubac: Tip to M. Bridges,"[1628969, 201580, 1627826]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,McGee,201580.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-04-07T02:16:36.6Z,1,REGULAR,2pt,Jump Shot,[],1628969,79.41852825229961,32.59803921568627,1610612756,0,0,2022-04-07T02:16:42Z,70000,-87.0,141.0,1,right,MISS M. Bridges 16' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,16.57,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-04-07T02:16:40.6Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,0,0,2022-04-07T02:16:42Z,80000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-04-07T02:16:54.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,15.292378449408673,38.970588235294116,1610612746,2,0,2022-04-07T02:17:02Z,90000,55.0,91.0,1,left,P. George 10' fadeaway Jump Shot (2 PTS),[202331],1610612746.0,LAC,fadeaway,,,George,P. George,,,,,10.66,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M06.00S,2022-04-07T02:17:13.7Z,1,REGULAR,3pt,Jump Shot,[],1628969,75.87056504599212,90.19607843137254,1610612756,2,3,2022-04-07T02:17:32Z,100000,201.0,174.0,1,right,M. Bridges 26' 3PT  (3 PTS) (C. Payne 1 AST),"[1628969, 1626166]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,26.6,Made,,,,,3.0,C. Payne,1626166.0,1.0,,,,,,,,,,,
12,PT10M52.00S,2022-04-07T02:17:30.9Z,1,REGULAR,foul,personal,['2freethrow'],1629661,,,1610612746,2,3,2022-04-07T02:17:38Z,120000,,,0,,C. Johnson shooting personal FOUL (1 PF) (Morris Sr. 2 FT),"[1629661, 202694]",1610612756.0,PHX,shooting,,,Johnson,C. Johnson,,,,,,,,,,,,,,,201640.0,1.0,0.0,Morris Sr.,202694.0,,,,,,
14,PT10M52.00S,2022-04-07T02:18:05.6Z,1,REGULAR,freethrow,1 of 2,[],202694,,,1610612746,3,3,2022-04-07T02:18:05Z,140000,,,0,,M. Morris Sr. Free Throw 1 of 2 (1 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
15,PT10M52.00S,2022-04-07T02:18:24.4Z,1,REGULAR,freethrow,2 of 2,[],202694,,,1610612746,4,3,2022-04-07T02:18:24Z,150000,,,0,,M. Morris Sr. Free Throw 2 of 2 (2 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT10M37.00S,2022-04-07T02:18:40.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201580,89.01116951379764,57.84313725490196,1610612756,4,5,2022-04-07T02:18:46Z,160000,39.0,51.0,1,right,J. McGee 6' driving Hook (2 PTS) (C. Payne 2 AST),"[201580, 1626166]",1610612756.0,PHX,driving,,,McGee,J. McGee,,,,,6.42,Made,,,,,2.0,C. Payne,1626166.0,2.0,,,,,,,,,,,
18,PT10M23.00S,2022-04-07T02:18:55.1Z,1,REGULAR,2pt,Jump Shot,[],202331,19.103153745072277,73.77450980392157,1610612746,4,5,2022-04-07T02:18:59Z,180000,-119.0,127.0,1,left,MISS P. George 17' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,17.4,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2022-04-07T02:18:57.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,4,5,2022-04-07T02:18:59Z,190000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M10.00S,2022-04-07T02:19:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,92.82194480946123,43.13725490196079,1610612756,4,5,2022-04-07T02:19:44Z,200000,-34.0,15.0,1,right,MISS C. Payne driving floating bank Shot,[1626166],1610612756.0,PHX,driving floating bank,,,Payne,C. Payne,,,,,3.74,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M07.00S,2022-04-07T02:19:11.7Z,1,REGULAR,rebound,offensive,[],1626166,,,1610612756,4,5,2022-04-07T02:19:20Z,210000,,,0,,C. Payne REBOUND (Off:1 Def:0),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
22,PT10M02.00S,2022-04-07T02:19:17.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",201580,93.74178712220763,49.50980392156863,1610612756,4,7,2022-04-07T02:19:23Z,220000,-2.0,6.0,1,right,J. McGee DUNK (4 PTS) (M. Bridges 1 AST),"[201580, 1628969]",1610612756.0,PHX,,,,McGee,J. McGee,,,,,0.68,Made,,,,,4.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,
24,PT09M50.00S,2022-04-07T02:19:28.3Z,1,REGULAR,3pt,Jump Shot,[],202331,29.48423127463863,78.43137254901961,1610612746,7,7,2022-04-07T02:20:05Z,240000,-142.0,225.0,1,left,P. George 26' 3PT pullup (5 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,26.59,Made,,,,,5.0,,,,,,,,,,,,,,
25,PT09M35.00S,2022-04-07T02:19:43.7Z,1,REGULAR,3pt,Jump Shot,[],1629661,77.973061760841,8.57843137254902,1610612756,7,7,2022-04-07T02:19:48Z,250000,-207.0,155.0,1,right,MISS C. Johnson 25' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M33.00S,2022-04-07T02:19:45.7Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,7,7,2022-04-07T02:19:48Z,260000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M23.00S,2022-04-07T02:19:55.8Z,1,REGULAR,3pt,Jump Shot,[],202331,29.747043363994734,82.59803921568627,1610612746,7,7,2022-04-07T02:20:01Z,270000,-163.0,227.0,1,left,MISS P. George 27' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,27.95,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M20.00S,2022-04-07T02:19:58.8Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,7,7,2022-04-07T02:20:01Z,280000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
29,PT09M06.00S,2022-04-07T02:20:12.4Z,1,REGULAR,3pt,Jump Shot,[],1629013,76.92181340341656,87.00980392156862,1610612756,7,7,2022-04-07T02:20:17Z,290000,185.0,164.0,1,right,MISS L. Shamet 24' 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M03.00S,2022-04-07T02:20:15.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,7,7,2022-04-07T02:20:17Z,300000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
31,PT08M55.00S,2022-04-07T02:20:22.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,14.241130091984232,51.71568627450981,1610612746,7,7,2022-04-07T02:20:26Z,310000,-9.0,81.0,1,left,MISS I. Zubac 8' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,8.19,Missed,,,,,,,,,,,,,,,,,,,
