actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-30T03:40:50.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-30T03:40:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-30T03:40:53.4Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2021-11-30T03:40:53Z,40000,,,0,,Jump Ball J. Valanciunas vs. I. Zubac: Tip to H. Jones,"[1630529, 202685, 1627826]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2021-11-30T03:41:07.1Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612740,0,0,2021-11-30T03:41:12Z,70000,,,0,,J. Hart lost ball out-of-bounds TURNOVER (1 TO),[1628404],1610612740.0,NOP,lost ball,,,Hart,J. Hart,,,,,1363.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2021-11-30T03:41:30.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202339,22.651116951379763,43.13725490196079,1610612746,2,0,2021-11-30T03:41:35Z,80000,34.0,160.0,1,left,E. Bledsoe 16' step back Jump Shot (2 PTS) (P. George 1 AST),"[202339, 202331]",1610612746.0,LAC,step back,,,Bledsoe,E. Bledsoe,,,,,,,16.4,Made,2.0,P. George,202331.0,1.0,,,,,,,,,,,,,
10,PT11M07.00S,2021-11-30T03:41:52.3Z,1,REGULAR,3pt,Jump Shot,[],202685,68.77463863337714,73.2843137254902,1610612740,2,3,2021-11-30T03:41:57Z,100000,116.0,241.0,1,right,J. Valanciunas 26' 3PT  (3 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,26.76,Made,3.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,
12,PT10M47.00S,2021-11-30T03:42:11.6Z,1,REGULAR,2pt,Jump Shot,[],202331,20.285808147174762,68.38235294117646,1610612746,4,3,2021-11-30T03:42:15Z,120000,-92.0,138.0,1,left,P. George 16' turnaround fadeaway Jump Shot (2 PTS) (R. Jackson 1 AST),"[202331, 202704]",1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,,,16.6,Made,2.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,,
13,PT10M36.00S,2021-11-30T03:42:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.0335085413929,53.18627450980392,1610612740,4,3,2021-11-30T03:44:23Z,130000,16.0,22.0,1,right,MISS J. Valanciunas cutting Layup,[202685],1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,,,2.75,Missed,,,,,,,,,,,,,,,,,
14,PT10M33.00S,2021-11-30T03:42:26.6Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,4,3,2021-11-30T03:42:30Z,140000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,
15,PT10M32.00S,2021-11-30T03:42:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,92.55913272010513,53.18627450980392,1610612740,4,5,2021-11-30T03:42:33Z,150000,16.0,17.0,1,right,J. Valanciunas putback Layup (5 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,,,2.36,Made,5.0,,,,,,,,,,,,,,,,
16,PT10M20.00S,2021-11-30T03:42:40.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,7.408015768725363,51.470588235294116,1610612746,6,5,2021-11-30T03:42:44Z,160000,-7.0,17.0,1,left,I. Zubac DUNK (2 PTS) (E. Bledsoe 1 AST),"[1627826, 202339]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,1.86,Made,2.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,,,
