actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-24T03:40:32.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-24T03:40:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-24T03:40:35.1Z,1,REGULAR,jumpball,recovered,[],1626161,,,1610612742,0,0,2021-11-24T03:40:35Z,40000,,,0,,Jump Ball K. Porzingis vs. I. Zubac: Tip to W. Cauley-Stein,"[1626161, 204001, 1627826]",1610612742.0,DAL,startperiod,W. Cauley-Stein,1626161.0,Cauley-Stein,W. Cauley-Stein,Porzingis,204001.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-24T03:40:53.8Z,1,REGULAR,3pt,Jump Shot,[],1627827,6.225361366622863,97.05882352941177,1610612742,0,0,2021-11-24T03:41:06Z,70000,-235.0,6.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-11-24T03:40:56.8Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,0,0,2021-11-24T03:41:06Z,80000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-11-24T03:41:06.0Z,1,REGULAR,foul,personal,['2freethrow'],1626161,,,1610612746,0,0,2021-11-24T03:41:13Z,90000,,,0,,W. Cauley-Stein shooting personal FOUL (1 PF) (Zubac 2 FT),"[1626161, 1627826]",1610612742.0,DAL,shooting,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,202053.0,1.0,0.0,Zubac,1627826.0,,,,,,,,,,
11,PT11M27.00S,2021-11-24T03:41:31.0Z,1,REGULAR,freethrow,1 of 2,[],1627826,,,1610612746,1,0,2021-11-24T03:41:31Z,110000,,,0,,I. Zubac Free Throw 1 of 2 (1 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
12,PT11M27.00S,2021-11-24T03:41:48.3Z,1,REGULAR,freethrow,2 of 2,[],1627826,,,1610612746,2,0,2021-11-24T03:41:48Z,120000,,,0,,I. Zubac Free Throw 2 of 2 (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
13,PT11M16.00S,2021-11-24T03:42:08.3Z,1,REGULAR,foul,technical,['1freethrow'],1627826,,,1610612742,2,0,2021-11-24T03:42:17Z,130000,,,0,,I. Zubac defensive-3-second technical FOUL (1 Tech),[1627826],1610612746.0,LAC,defensive-3-second,,,Zubac,I. Zubac,,,,,,,,,,,201640.0,0.0,1.0,,,,,,,,,,,,
14,PT11M16.00S,2021-11-24T03:42:21.9Z,1,REGULAR,freethrow,1 of 1,[],204001,,,1610612742,2,1,2021-11-24T03:42:21Z,140000,,,0,,K. Porzingis technical Free Throw 1 of 1 (1 PTS),[204001],1610612742.0,DAL,technical,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
15,PT11M07.00S,2021-11-24T03:42:42.7Z,1,REGULAR,3pt,Jump Shot,[],203501,12.532851511169525,96.81372549019608,1610612742,2,1,2021-11-24T03:42:48Z,150000,-234.0,65.0,1,left,MISS T. Hardaway Jr. 24' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,24.3,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2021-11-24T03:42:46.7Z,1,REGULAR,rebound,defensive,[],202339,,,1610612746,2,1,2021-11-24T03:42:48Z,160000,,,0,,E. Bledsoe REBOUND (Off:0 Def:1),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M59.00S,2021-11-24T03:42:51.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202704,71.13994743758212,21.07843137254902,1610612746,2,1,2021-11-24T03:42:58Z,170000,-145.0,219.0,1,right,MISS R. Jackson 26' running pullup 3PT,[202704],1610612746.0,LAC,running pullup,,,Jackson,R. Jackson,,,,,26.23,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M56.00S,2021-11-24T03:42:54.3Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,2,1,2021-11-24T03:42:58Z,180000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M43.00S,2021-11-24T03:43:06.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,9.461235216819972,36.49662990196079,1610612742,2,1,2021-11-24T03:43:14Z,190000,68.0,36.0,1,left,MISS K. Porzingis 7' bank Shot,[204001],1610612742.0,DAL,bank,,,Porzingis,K. Porzingis,,,,,7.67,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2021-11-24T03:43:09.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,1,2021-11-24T03:43:14Z,200000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
