actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-26T02:40:56.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-26T02:40:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-26T02:40:59.3Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-03-26T02:40:59Z,40000,,,0,,Jump Ball J. Embiid vs. I. Zubac: Tip to T. Maxey,"[1630178, 203954, 1627826]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-26T02:41:13.7Z,1,REGULAR,3pt,Jump Shot,[],202699,7.145203679369246,3.67647058823529,1610612755,0,0,2022-03-26T02:41:18Z,70000,232.0,15.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,23.21,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-03-26T02:41:16.7Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,0,0,2022-03-26T02:41:18Z,80000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-03-26T02:41:30.9Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612746,0,0,2022-03-26T02:41:39Z,90000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Zubac 2 FT),"[203954, 1627826]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,,,,,,,201639.0,1.0,0.0,Zubac,1627826.0,,,,,,,,,,
11,PT11M26.00S,2022-03-26T02:41:57.8Z,1,REGULAR,freethrow,1 of 2,[],1627826,,,1610612746,1,0,2022-03-26T02:41:57Z,110000,,,0,,I. Zubac Free Throw 1 of 2 (1 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
12,PT11M26.00S,2022-03-26T02:41:57.8Z,1,REGULAR,freethrow,2 of 2,[],1627826,,,1610612746,1,0,2022-03-26T02:42:16Z,120000,,,0,,MISS I. Zubac Free Throw 2 of 2,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2022-03-26T02:42:00.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,1,0,2022-03-26T02:42:16Z,130000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M13.00S,2022-03-26T02:42:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.343626806833115,57.1078431372549,1610612755,1,0,2022-03-26T02:42:29Z,140000,-36.0,101.0,1,left,MISS J. Embiid 10' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,10.72,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2022-03-26T02:42:26.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,1,0,2022-03-26T02:42:29Z,150000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
