actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-24T02:43:56.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T02:43:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-24T02:43:59.1Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2021-10-24T02:43:59Z,40000,,,0,,Jump Ball S. Adams vs. I. Zubac: Tip to J. Jackson Jr.,"[1628991, 203500, 1627826]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-10-24T02:44:16.9Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612763,0,0,2021-10-24T02:44:28Z,70000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[202694, 1628991]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,202007.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-10-24T02:44:41.7Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,0,1,2021-10-24T02:44:41Z,90000,,,0,,J. Jackson Jr. Free Throw 1 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M40.00S,2021-10-24T02:44:53.6Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,0,2,2021-10-24T02:44:53Z,100000,,,0,,J. Jackson Jr. Free Throw 2 of 2 (2 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M17.00S,2021-10-24T02:45:18.5Z,1,REGULAR,2pt,Jump Shot,[],202331,5.042706964520377,25.24509803921569,1610612746,0,2,2021-10-24T02:45:24Z,110000,124.0,-5.0,1,left,MISS P. George 12' Jump Shot,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,Missed,,12.39,,,,,,,,,,,,,
12,PT11M14.00S,2021-10-24T02:45:21.5Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,2,2021-10-24T02:45:24Z,120000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M09.00S,2021-10-24T02:45:26.6Z,1,REGULAR,3pt,Jump Shot,[],1630217,71.53416557161628,73.77450980392157,1610612763,0,5,2021-10-24T02:45:39Z,130000,119.0,215.0,1,right,D. Bane 24' 3PT pullup (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,,,,,Made,3.0,24.58,,,,,J. Morant,1629630.0,1.0,,,,,,
15,PT10M58.00S,2021-10-24T02:45:38.1Z,1,REGULAR,foul,personal,[],1630217,,,1610612746,0,5,2021-10-24T02:46:03Z,150000,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 1627826]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,1146.0,1.0,0.0,Zubac,1627826.0,,,,,,,,,,,,,,,,
17,PT10M52.00S,2021-10-24T02:46:07.3Z,1,REGULAR,2pt,Jump Shot,[],202694,22.913929040735866,54.65686274509804,1610612746,2,5,2021-10-24T02:46:14Z,170000,-23.0,163.0,1,left,M. Morris Sr. 16' pullup Jump Shot (2 PTS) (I. Zubac 1 AST),"[202694, 1627826]",1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,Made,2.0,16.46,,,,,I. Zubac,1627826.0,1.0,,,,,,
