actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-04T03:15:57.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-04T03:15:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-04T03:15:59.6Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2022-03-04T03:15:59Z,40000,,,0,,Jump Ball I. Zubac vs. D. Howard: Tip to T. Mann,"[1629611, 1627826, 2730]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-04T03:16:11.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,94.26741130091985,51.22549019607843,1610612746,2,0,2022-03-04T03:16:17Z,70000,6.0,1.0,1,right,I. Zubac cutting DUNK (2 PTS) (M. Morris Sr. 1 AST),"[1627826, 202694]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,0.63,Made,2.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-04T03:16:33.1Z,1,REGULAR,foul,personal,[],202704,,,1610612747,2,0,2022-03-04T03:16:46Z,90000,,,0,,R. Jackson personal FOUL (1 PF),"[202704, 1628370]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,2005.0,1.0,0.0,Monk,1628370.0,,,,,,,,,,
11,PT11M20.00S,2022-03-04T03:16:52.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],2730,9.904730617608408,48.28431372549019,1610612747,2,0,2022-03-04T03:17:02Z,110000,9.0,41.0,1,left,MISS D. Howard driving Hook - blocked,"[2730, 1627826]",1610612747.0,LAL,driving,,,Howard,D. Howard,,,,,4.15,Missed,,,,,,,,,,Zubac,1627826.0,,,,,,,,
12,PT11M20.00S,2022-03-04T03:16:52.6Z,1,REGULAR,block,,[],1627826,,,1610612747,2,0,2022-03-04T03:16:54Z,120000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2022-03-04T03:16:55.6Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,2,0,2022-03-04T03:17:02Z,130000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,
14,PT11M09.00S,2022-03-04T03:17:03.5Z,1,REGULAR,3pt,Jump Shot,[],1629611,93.87319316688567,96.32352941176471,1610612746,5,0,2022-03-04T03:17:08Z,140000,232.0,5.0,1,right,T. Mann 3PT  (3 PTS) (N. Batum 1 AST),"[1629611, 201587]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,23.17,Made,3.0,N. Batum,201587.0,1.0,,,,,,,,,,,,,,,
16,PT10M49.00S,2022-03-04T03:17:22.9Z,1,REGULAR,3pt,Jump Shot,[],2544,34.21484888304862,35.294117647058826,1610612747,5,3,2022-03-04T03:17:30Z,160000,74.0,269.0,1,left,L. James 27' 3PT  (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,27.9,Made,3.0,,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2022-03-04T03:17:37.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,89.14257555847568,40.68627450980392,1610612746,7,3,2022-03-04T03:17:44Z,170000,-47.0,50.0,1,right,I. Zubac 6' Hook (4 PTS) (N. Batum 2 AST),"[1627826, 201587]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,6.81,Made,4.0,N. Batum,201587.0,2.0,,,,,,,,,,,,,,,
