actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,officialId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-03-30T02:03:26.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-30T02:03:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-30T02:03:28.4Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-03-30T02:03:28Z,40000,,,0,,Jump Ball R. Gobert vs. I. Zubac: Tip to R. O'Neale,"[1626220, 203497, 1627826]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-30T02:03:43.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628378,91.24507227332458,56.372549019607845,1610612762,0,0,2022-03-30T02:03:50Z,70000,32.0,30.0,1,right,MISS D. Mitchell driving bank Hook,[1628378],1610612762.0,UTA,driving bank,,,Mitchell,D. Mitchell,,,,,4.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-03-30T02:03:45.8Z,1,REGULAR,rebound,offensive,[],1628378,,,1610612762,0,0,2022-03-30T02:03:50Z,80000,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-03-30T02:03:50.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627823,68.24901445466492,35.049019607843135,1610612762,0,3,2022-03-30T02:04:00Z,90000,-75.0,246.0,1,right,J. Hernangomez 25' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1627823, 1628378]",1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,25.71,Made,,,,,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,
11,PT11M15.00S,2022-03-30T02:04:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,19.49737187910644,57.84313725490196,1610612746,0,3,2022-03-30T02:04:14Z,110000,-39.0,131.0,1,left,MISS M. Morris Sr. 13' fadeaway Shot,[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,13.65,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2022-03-30T02:04:11.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,3,2022-03-30T02:04:14Z,120000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M04.00S,2022-03-30T02:04:25.9Z,1,REGULAR,turnover,out-of-bounds,[],201144,,,1610612762,0,3,2022-03-30T02:04:39Z,130000,,,0,,M. Conley step out-of-bounds TURNOVER (1 TO),[201144],1610612762.0,UTA,step,,,Conley,M. Conley,,,,,,,,,,,,,,,1.0,,,,,,,,,
14,PT10M48.00S,2022-03-30T02:04:47.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627826,14.241130091984232,54.16666666666667,1610612746,0,3,2022-03-30T02:04:58Z,140000,-21.0,81.0,1,left,MISS I. Zubac 8' turnaround Hook - blocked,"[1627826, 203497]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,8.4,Missed,,,,,,,,,,Gobert,203497.0,,,,,,,
16,PT10M48.00S,2022-03-30T02:04:47.8Z,1,REGULAR,block,,[],203497,,,1610612746,0,3,2022-03-30T02:04:58Z,145000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
