actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-15T02:40:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-15T02:40:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-15T02:40:56.5Z,1,REGULAR,jumpball,recovered,[],1628396,,,1610612741,0,0,2021-11-15T02:40:56Z,40000,,,0,,Jump Ball T. Bradley vs. I. Zubac: Tip to T. Bradley,"[1628396, 1628396, 1627826]",1610612741.0,CHI,startperiod,T. Bradley,1628396.0,Bradley,T. Bradley,Bradley,1628396.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-15T02:41:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628366,93.2161629434954,54.16666666666667,1610612741,0,0,2021-11-15T02:41:08Z,70000,21.0,11.0,1,right,MISS L. Ball driving finger roll Layup,[1628366],1610612741.0,CHI,driving finger roll,,,Ball,L. Ball,,,,,2.37,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-15T02:41:07.0Z,1,REGULAR,rebound,defensive,[],202339,,,1610612746,0,0,2021-11-15T02:41:08Z,80000,,,0,,E. Bledsoe REBOUND (Off:0 Def:1),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-11-15T02:41:12.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,17.000657030223394,54.16666666666667,1610612746,0,0,2021-11-15T02:41:52Z,90000,-21.0,107.0,1,left,MISS P. George 10' step back Shot,[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,10.93,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2021-11-15T02:41:15.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,0,0,2021-11-15T02:41:52Z,100000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2021-11-15T02:41:19.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,0,0,2021-11-15T02:41:19Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2021-11-15T02:41:43.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202331,7.276609724047319,52.69607843137255,1610612746,2,0,2021-11-15T02:41:53Z,120000,-13.0,16.0,1,left,P. George driving Layup (2 PTS),[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,2.09,Made,,,,,2.0,,,,,,,,,,,,,,
13,PT11M04.00S,2021-11-15T02:42:04.5Z,1,REGULAR,2pt,Jump Shot,[],1627936,76.39618922470433,45.09803921568627,1610612741,2,0,2021-11-15T02:42:09Z,130000,-25.0,169.0,1,right,MISS A. Caruso 17' pullup Shot,[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,17.12,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2021-11-15T02:42:07.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,2,0,2021-11-15T02:42:09Z,140000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
