actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-11T23:41:55.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-11T23:41:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-11T23:41:58.2Z,1,REGULAR,jumpball,recovered,[],1629610,,,1610612766,0,0,2025-04-11T23:41:58Z,40000,False,,,0,,Jump Ball M. Williams vs. K. Porziņģis: Tip to D. Jeffries,"[1629610, 1631109, 204001]",1610612766.0,CHA,startperiod,D. Jeffries,1629610.0,Jeffries,D. Jeffries,Williams,1631109.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-11T23:42:12.8Z,1,REGULAR,3pt,Jump Shot,[],1629006,71.56701708278581,84.06862745098039,1610612766,0,0,2025-04-11T23:42:19Z,70000,False,170.0,215.0,1,right,MISS J. Okogie 27' 3PT - blocked,"[1629006, 201143]",1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Right Center,27.41,Missed,Horford,201143.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-04-11T23:42:12.8Z,1,REGULAR,block,,[],201143,,,1610612766,0,0,2025-04-11T23:42:16Z,80000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2025-04-11T23:42:13.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,0,2025-04-11T23:42:19Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M38.00S,2025-04-11T23:42:29.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642354,84.70762155059133,38.970588235294116,1610612766,0,0,2025-04-11T23:42:35Z,110000,False,-55.0,91.0,1,right,MISS K. Simpson 10' driving floating Shot,[1642354],1610612766.0,CHA,driving floating,,,Simpson,K. Simpson,,,,,In The Paint (Non-RA),8-16 Center,10.66,Missed,,,,,,,,,,,,,,,,,,
12,PT11M36.00S,2025-04-11T23:42:31.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2025-04-11T23:42:35Z,120000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M23.00S,2025-04-11T23:42:42.8Z,1,REGULAR,3pt,Jump Shot,[],204001,26.757555847568987,82.59803921568627,1610612738,0,0,2025-04-11T23:42:48Z,130000,False,-163.0,199.0,1,left,MISS K. Porziņģis 25' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,25.72,Missed,,,,,,,,,,,,,,,,,,
14,PT11M22.00S,2025-04-11T23:42:43.8Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612766,0,0,2025-04-11T23:42:48Z,140000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Left Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT11M12.00S,2025-04-11T23:42:54.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631109,93.64323258869908,49.26470588235294,1610612766,0,2,2025-04-11T23:43:27Z,150000,False,-4.0,7.0,1,right,M. Williams driving DUNK (2 PTS) (J. Okogie 1 AST),"[1631109, 1629006]",1610612766.0,CHA,driving,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,,,2.0,J. Okogie,1629006.0,1.0,,,,,,,,
17,PT10M56.00S,2025-04-11T23:43:10.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,16.90210249671485,46.32352941176471,1610612738,0,2,2025-04-11T23:43:15Z,170000,False,18.0,106.0,1,left,MISS A. Horford 10' turnaround Hook,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,10.8,Missed,,,,,,,,,,,,,,,,,,
18,PT10M55.00S,2025-04-11T23:43:11.1Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,0,2,2025-04-11T23:43:15Z,180000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M45.00S,2025-04-11T23:43:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642354,93.9060446780552,47.30392156862745,1610612766,0,4,2025-04-11T23:43:25Z,190000,False,-13.0,5.0,1,right,K. Simpson driving Layup (2 PTS) (N. Smith Jr. 1 AST),"[1642354, 1641733]",1610612766.0,CHA,driving,,,Simpson,K. Simpson,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,2.0,N. Smith Jr.,1641733.0,1.0,,,,,,,,
21,PT10M27.00S,2025-04-11T23:43:38.9Z,1,REGULAR,3pt,Jump Shot,[],204001,32.14520367936925,64.95098039215686,1610612738,0,4,2025-04-11T23:43:45Z,210000,False,-75.0,250.0,1,left,MISS K. Porziņģis 26' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,26.07,Missed,,,,,,,,,,,,,,,,,,
22,PT10M26.00S,2025-04-11T23:43:39.9Z,1,REGULAR,rebound,defensive,[],1641733,,,1610612766,0,4,2025-04-11T23:43:45Z,220000,False,,,0,,N. Smith Jr. REBOUND (Off:0 Def:1),[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M18.00S,2025-04-11T23:43:49.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,92.06636005256242,45.34313725490196,1610612766,0,4,2025-04-12T00:05:20Z,230000,False,-23.0,22.0,1,right,MISS M. Williams Layup,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,,
24,PT10M17.00S,2025-04-11T23:43:50.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,4,2025-04-11T23:43:56Z,240000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT10M09.00S,2025-04-11T23:43:57.5Z,1,REGULAR,3pt,Jump Shot,[],204001,35.69316688567674,24.754901960784316,1610612738,0,4,2025-04-11T23:44:04Z,250000,False,126.0,283.0,1,left,MISS K. Porziņģis 30' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,30.99,Missed,,,,,,,,,,,,,,,,,,
26,PT10M07.00S,2025-04-11T23:43:59.5Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,0,4,2025-04-11T23:44:04Z,260000,False,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,
27,PT10M04.00S,2025-04-11T23:44:02.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,23.866622864651774,12.254901960784313,1610612738,0,4,2025-04-11T23:44:08Z,270000,False,189.0,172.0,1,left,MISS J. Holiday 25' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,25.52,Missed,,,,,,,,,,,,,,,,,,
28,PT10M03.00S,2025-04-11T23:44:03.2Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,0,4,2025-04-11T23:44:08Z,280000,False,,,0,,M. Williams REBOUND (Off:0 Def:2),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,
29,PT09M53.00S,2025-04-11T23:44:13.4Z,1,REGULAR,3pt,Jump Shot,[],1629610,90.48948751642575,95.58823529411765,1610612766,0,7,2025-04-11T23:44:18Z,290000,False,228.0,37.0,1,right,D. Jeffries 3PT  (3 PTS) (J. Okogie 2 AST),"[1629610, 1629006]",1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,Right Corner 3,24+ Right,23.09,Made,,,,,,,3.0,J. Okogie,1629006.0,2.0,,,,,,,,
31,PT09M38.00S,2025-04-11T23:44:27.8Z,1,REGULAR,2pt,Jump Shot,[],1628401,18.528252299605782,67.91513480392157,1610612738,2,7,2025-04-11T23:44:40Z,310000,False,-90.0,122.0,1,left,D. White 15' pullup Jump Shot (2 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Mid-Range,8-16 Left,15.11,Made,,,,,,,2.0,,,,,,,,,,,
32,PT09M19.00S,2025-04-11T23:44:50.2Z,1,REGULAR,turnover,out-of-bounds,[],1631109,,,1610612766,2,7,2025-04-11T23:44:56Z,320000,False,,,0,,M. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631109],1610612766.0,CHA,bad pass,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1179.0,1.0,,,,,,
33,PT09M07.00S,2025-04-11T23:45:11.0Z,1,REGULAR,foul,personal,[],1642354,,,1610612738,2,7,2025-04-11T23:45:17Z,330000,False,,,0,,K. Simpson personal FOUL (1 PF),"[1642354, 1628401]",1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,2882.0,,1.0,0.0,White,1628401.0,,
35,PT09M03.00S,2025-04-11T23:45:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628401,6.044678055190539,46.4077818627451,1610612738,4,7,2025-04-11T23:45:31Z,350000,False,18.0,4.0,1,left,D. White cutting Layup (4 PTS) (J. Holiday 1 AST),"[1628401, 201950]",1610612738.0,BOS,cutting,,,White,D. White,,,,,Restricted Area,0-8 Center,1.85,Made,,,,,,,4.0,J. Holiday,201950.0,1.0,,,,,,,,
37,PT08M55.00S,2025-04-11T23:45:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629006,91.40932982917214,46.81372549019608,1610612766,4,7,2025-04-11T23:45:41Z,370000,False,-16.0,28.0,1,right,MISS J. Okogie driving reverse Layup,[1629006],1610612766.0,CHA,driving reverse,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,3.25,Missed,,,,,,,,,,,,,,,,,,
