actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-01T00:43:52.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-01T00:43:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-01T00:43:54.6Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-03-01T00:43:54Z,40000,False,,,0,,Jump Ball A. Horford vs. J. Allen: Tip to D. White,"[1628401, 201143, 1628386]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Horford,201143.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-01T00:44:09.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.305519053876477,73.0392156862745,1610612738,3,0,2025-03-01T00:44:15Z,70000,False,-115.0,232.0,1,left,J. Brown 25' 3PT step back (3 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.94,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2025-03-01T00:44:27.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,63.81406044678055,30.637254901960787,1610612739,3,0,2025-03-01T00:44:33Z,80000,False,-97.0,288.0,1,right,MISS D. Mitchell 30' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,30.35,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2025-03-01T00:44:30.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2025-03-01T00:44:33Z,90000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2025-03-01T00:44:40.3Z,1,REGULAR,turnover,backcourt,[],1627759,,,1610612738,3,0,2025-03-01T00:45:08Z,100000,False,,,0,,J. Brown backcourt TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,,,,,,,
11,PT11M04.00S,2025-03-01T00:45:04.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630596,78.26872536136662,91.91176470588235,1610612739,3,0,2025-03-01T00:45:11Z,110000,False,210.0,152.0,1,right,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2025-03-01T00:45:07.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2025-03-01T00:45:07Z,120000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,
13,PT10M41.00S,2025-03-01T00:45:27.1Z,1,REGULAR,2pt,Jump Shot,[],1628369,15.325229960578188,25.735294117647058,1610612738,5,0,2025-03-01T00:45:31Z,130000,False,121.0,92.0,1,left,J. Tatum 15' pullup Jump Shot (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,15.2,Made,2.0,,,,,,J. Brown,1627759.0,1.0,,,,,,,,,
15,PT10M34.00S,2025-03-01T00:45:34.6Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,5,0,2025-03-01T00:45:46Z,150000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1628401]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,White,1628401.0,,,,,,,
16,PT10M34.00S,2025-03-01T00:45:34.6Z,1,REGULAR,steal,,[],1628401,,,1610612738,5,0,2025-03-01T00:45:35Z,160000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2025-03-01T00:45:39.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630573,23.603810775295663,14.705882352941178,1610612738,8,0,2025-03-01T00:46:29Z,170000,False,176.0,169.0,1,left,S. Hauser 24' 3PT running (3 PTS) (J. Tatum 1 AST),"[1630573, 1628369]",1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,24.46,Made,3.0,,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,
19,PT10M17.00S,2025-03-01T00:45:50.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,66.04796320630749,33.82352941176471,1610612739,8,0,2025-03-01T00:47:48Z,190000,False,-81.0,267.0,1,right,MISS D. Garland 27' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,27.86,Missed,,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2025-03-01T00:45:52.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,8,0,2025-03-01T00:45:55Z,200000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
