actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-11-17T01:11:56.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-17T01:11:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-17T01:12:03.1Z,1,REGULAR,jumpball,recovered,[],0,,,1610612761,0,0,2024-11-17T01:12:03Z,40000,False,,,0,,Jump Ball J. Pöltl vs. N. Queta: Tip to Team (TOR),"[1627751, 1629674]",1610612761.0,TOR,startperiod,Team (TOR),Pöltl,1627751.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2024-11-17T01:12:24.1Z,1,REGULAR,violation,kicked ball,[],1629674,,,1610612761,0,0,2024-11-17T01:12:38Z,80000,False,,,0,,N. Queta kicked ball VIOLATION,[1629674],1610612738.0,BOS,,,,,,,1628481.0,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-11-17T01:12:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.06636005256242,47.794117647058826,1610612761,0,2,2024-11-17T01:12:54Z,90000,False,-11.0,22.0,1,right,R. Barrett driving Layup (2 PTS),[1629628],1610612761.0,TOR,driving,,,,,,,Barrett,R. Barrett,Restricted Area,0-8 Center,2.47,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2024-11-17T01:13:09.4Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,0,2,2024-11-17T01:13:14Z,100000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1630558]",1610612738.0,BOS,,,,,,,,Brown,J. Brown,In The Paint (Non-RA),0-8 Center,,,,1.0,Mitchell,1630558.0,,,,,,,,,,,,,,
11,PT11M19.00S,2024-11-17T01:13:09.4Z,1,REGULAR,steal,,[],1630558,,,1610612761,0,2,2024-11-17T01:19:16Z,110000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612761.0,TOR,,,,,,,,Mitchell,D. Mitchell,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2024-11-17T01:13:19.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627751,90.22667542706965,58.82352941176471,1610612761,0,2,2024-11-17T01:13:25Z,120000,False,44.0,39.0,1,right,MISS J. Pöltl bank Hook,[1627751],1610612761.0,TOR,bank,,,,,,,Pöltl,J. Pöltl,In The Paint (Non-RA),0-8 Center,5.91,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2024-11-17T01:13:21.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2024-11-17T01:13:25Z,130000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,,,,,Tatum,J. Tatum,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M03.00S,2024-11-17T01:13:27.7Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612738,0,2,2024-11-17T01:13:46Z,140000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Brown 2 FT),"[1629628, 1627759]",1610612761.0,TOR,shooting,,,,,,1628481.0,Barrett,R. Barrett,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,
16,PT11M03.00S,2024-11-17T01:14:00.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627759,,,1610612738,1,2,2024-11-17T01:14:26Z,160000,False,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,,,,Made,1.0,,,,,,,,,,,,,,,,,
