actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-20T00:05:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-20T00:05:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-20T00:05:47.0Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-11-20T00:05:47Z,40000,False,,,0,,Jump Ball J. Allen vs. A. Horford: Tip to E. Mobley,"[1630596, 1628386, 201143]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-20T00:06:01.7Z,1,REGULAR,2pt,Jump Shot,[],1628378,78.9257555847569,34.31372549019608,1610612739,0,2,2024-11-20T00:06:09Z,70000,False,-78.0,146.0,1,right,D. Mitchell 16' driving floating Jump Shot (2 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,16.54,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2024-11-20T00:06:20.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,7.30946123521682,97.05882352941177,1610612738,0,2,2024-11-20T00:06:28Z,80000,False,-235.0,16.0,1,left,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,23.59,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2024-11-20T00:06:21.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,2,2024-11-20T00:06:28Z,90000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M02.00S,2024-11-20T00:06:53.3Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,0,2,2024-11-20T00:06:57Z,110000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1628369]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,,,
12,PT11M02.00S,2024-11-20T00:06:53.3Z,1,REGULAR,steal,,[],1628369,,,1610612738,0,2,2024-11-20T00:06:55Z,120000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2024-11-20T00:07:04.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201143,11.383048620236531,42.40196078431372,1610612738,0,2,2024-11-20T00:07:17Z,130000,False,38.0,55.0,1,left,MISS A. Horford 6' driving Hook,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,6.64,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2024-11-20T00:07:05.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,0,2,2024-11-20T00:07:17Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,13.0,,,,,,,,,,,,,,,,
16,PT10M39.00S,2024-11-20T00:07:34.3Z,1,REGULAR,3pt,Jump Shot,[],1630596,82.86793692509855,95.34313725490196,1610612739,0,2,2024-11-20T00:07:45Z,160000,False,227.0,109.0,1,right,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,25.13,Missed,,,,,,,,,,,,,,,,,,
