actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-07T00:35:44.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-07T00:35:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-07T00:35:45.7Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2025-02-07T00:35:45Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. D. Gafford: Tip to J. Brown,"[1627759, 204001, 1629655]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Porziņģis,204001.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-02-07T00:35:58.1Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612738,0,0,2025-02-07T00:36:04Z,70000,False,,,0,,K. Thompson shooting personal FOUL (1 PF) (Porziņģis 2 FT),"[202691, 204001]",1610612742.0,DAL,shooting,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,1628487.0,1.0,0.0,Porziņģis,204001.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2025-02-07T00:36:26.9Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612738,1,0,2025-02-07T00:37:02Z,90000,False,,,0,,K. Porziņģis Free Throw 1 of 2 (1 PTS),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2025-02-07T00:36:26.9Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612738,1,0,2025-02-07T00:37:02Z,100000,False,,,0,,MISS K. Porziņģis Free Throw 2 of 2,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M47.00S,2025-02-07T00:36:26.9Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,1,0,2025-02-07T00:37:02Z,110000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M33.00S,2025-02-07T00:36:56.2Z,1,REGULAR,3pt,Jump Shot,[],202691,27.283180026281208,78.92156862745098,1610612742,1,3,2025-02-07T00:37:04Z,120000,False,-145.0,204.0,1,left,K. Thompson 25' 3PT  (3 PTS) (D. Gafford 1 AST),"[202691, 1629655]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,25.01,D. Gafford,1629655.0,1.0,,,,,
14,PT11M10.00S,2025-02-07T00:37:18.3Z,1,REGULAR,3pt,Jump Shot,[],204001,67.23061760840999,57.107843137254896,1610612738,4,3,2025-02-07T00:37:22Z,140000,False,36.0,256.0,1,right,K. Porziņģis 25' 3PT  (4 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,,,,,,Made,4.0,,,,,25.8,J. Tatum,1628369.0,1.0,,,,,
16,PT10M56.00S,2025-02-07T00:37:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,7.227332457293036,46.576286764705884,1610612742,4,5,2025-02-07T00:37:38Z,160000,False,17.0,15.0,1,left,K. Thompson driving Layup (5 PTS) (K. Irving 1 AST),"[202691, 202681]",1610612742.0,DAL,driving,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,,,,2.3,K. Irving,202681.0,1.0,,,,,
18,PT10M43.00S,2025-02-07T00:37:47.5Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,4,5,2025-02-07T00:37:51Z,180000,False,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 202681]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,Irving,202681.0,,
