actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-02T18:10:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-02T18:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-02T18:10:56.5Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2025-03-02T18:10:56Z,40000,False,,,0,,Jump Ball L. Kornet vs. N. Jokić: Tip to A. Horford,"[201143, 1628436, 203999]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Kornet,1628436.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-02T18:11:11.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,91.93495400788436,3.9215686274509802,1610612738,3,0,2025-03-02T18:11:17Z,70000,False,-230.0,23.0,1,right,D. White 3PT  (3 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.16,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-03-02T18:11:32.0Z,1,REGULAR,3pt,Jump Shot,[],201566,12.040078843626807,5.147058823529411,1610612743,3,3,2025-03-02T18:11:36Z,90000,False,224.0,61.0,1,left,R. Westbrook 3PT  (3 PTS) (J. Murray 1 AST),"[201566, 1627750]",1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Right Corner 3,24+ Right,23.24,Made,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
11,PT11M01.00S,2025-03-02T18:11:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,92.59198423127464,46.568627450980394,1610612738,5,3,2025-03-02T18:11:59Z,110000,False,-17.0,17.0,1,right,A. Horford reverse Layup (2 PTS) (L. Kornet 1 AST),"[201143, 1628436]",1610612738.0,BOS,reverse,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,2.43,Made,2.0,L. Kornet,1628436.0,1.0,,,,,,,,,,,,,,
13,PT10M39.00S,2025-03-02T18:12:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,7.6215505913272015,58.35631127450981,1610612743,5,3,2025-03-02T18:12:49Z,130000,False,-42.0,19.0,1,left,MISS C. Braun reverse Layup - blocked,"[1631128, 1628436]",1610612743.0,DEN,reverse,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,4.6,Missed,,,,,Kornet,1628436.0,,,,,,,,,,,,
14,PT10M39.00S,2025-03-02T18:12:13.9Z,1,REGULAR,block,,[],1628436,,,1610612743,5,3,2025-03-02T18:12:16Z,140000,False,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2025-03-02T18:12:14.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,3,2025-03-02T18:12:57Z,150000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
17,PT10M37.00S,2025-03-02T18:12:18.3Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,5,3,2025-03-02T18:13:07Z,155000,False,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,201639.0,1.0,,,,,,
18,PT10M27.00S,2025-03-02T18:13:07.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,29.911300919842315,76.7156862745098,1610612743,5,6,2025-03-02T18:13:15Z,170000,False,-134.0,229.0,1,left,N. Jokić 26' 3PT  (3 PTS) (M. Porter Jr. 1 AST),"[203999, 1629008]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,26.49,Made,3.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,
