actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT11M18.00S,2025-02-13T00:15:17.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,0,2,2025-02-13T00:15:17Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,
20,PT11M18.00S,2025-02-13T00:15:17.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],204001,,,1610612738,0,2,2025-02-13T00:15:36Z,200000,False,,,0,,MISS K. Porziņģis Free Throw 2 of 2,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT11M18.00S,2025-02-13T00:15:17.0Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,0,2,2025-02-13T00:15:36Z,210000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,20.0,,,,,,,1.0,1.0,0.0,,,,,,,,
22,PT11M10.00S,2025-02-13T00:15:39.4Z,1,REGULAR,3pt,Jump Shot,[],203084,67.62483574244416,64.95098039215686,1610612759,0,2,2025-02-13T00:15:45Z,220000,False,75.0,252.0,1,right,MISS H. Barnes 26' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,26.27,Missed,,,,,,,,,,,,,,,,,,
23,PT11M08.00S,2025-02-13T00:15:41.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2025-02-13T00:15:45Z,230000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,22.0,,,,,,,1.0,1.0,0.0,,,,,,,,
24,PT10M58.00S,2025-02-13T00:15:50.9Z,1,REGULAR,2pt,Jump Shot,[],1628369,23.47240473061761,71.07843137254902,1610612738,2,2,2025-02-13T00:16:06Z,240000,False,-105.0,168.0,1,left,J. Tatum 19' step back Jump Shot (2 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,19.84,Made,,2.0,,,,,,,,,,,,,,,,
25,PT10M43.00S,2025-02-13T00:16:05.8Z,1,REGULAR,2pt,Jump Shot,[],101108,82.60512483574244,31.61764705882353,1610612759,2,2,2025-02-13T00:16:45Z,250000,False,-92.0,111.0,1,right,MISS C. Paul 14' driving floating Shot,[101108],1610612759.0,SAS,driving floating,,,Paul,C. Paul,,,,,Mid-Range,8-16 Left,14.41,Missed,,,,,,,,,,,,,,,,,,
26,PT10M42.00S,2025-02-13T00:16:06.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,2,2025-02-13T00:16:19Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Left,,,25.0,,,,,,,,,,,,,,,,,
27,PT10M36.00S,2025-02-13T00:16:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",204001,6.389618922470433,50.0,1610612738,4,2,2025-02-13T00:17:19Z,270000,False,0.0,8.0,1,left,K. Porziņģis driving Layup (2 PTS) (D. White 1 AST),"[204001, 1628401]",1610612738.0,BOS,driving,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,0.76,Made,,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,
29,PT10M36.00S,2025-02-13T00:16:31.4Z,1,REGULAR,violation,defensive goaltending,[],1641705,,,1610612738,4,2,2025-02-13T00:16:44Z,280000,False,,,0,,V. Wembanyama defensive goaltending VIOLATION,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,1627963.0,,,,,,,
30,PT10M22.00S,2025-02-13T00:16:50.2Z,1,REGULAR,2pt,Jump Shot,[],1641705,79.05716162943496,25.245098039215684,1610612759,4,2,2025-02-13T00:16:56Z,290000,False,-124.0,144.0,1,right,MISS V. Wembanyama 19' Jump Shot,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,19.02,Missed,,,,,,,,,,,,,,,,,,
31,PT10M21.00S,2025-02-13T00:16:51.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,4,2,2025-02-13T00:16:56Z,300000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,,,30.0,,,,,,,1.0,1.0,0.0,,,,,,,,
32,PT10M15.00S,2025-02-13T00:16:57.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,10.200394218134035,96.81372549019608,1610612738,4,2,2025-02-13T00:17:52Z,310000,False,-234.0,43.0,1,left,MISS S. Hauser running 3PT,[1630573],1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,23.81,Missed,,,,,,,,,,,,,,,,,,
33,PT10M15.00S,2025-02-13T00:16:57.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,4,2,2025-02-13T00:17:52Z,320000,False,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,,,32.0,,,,,,,2.0,2.0,0.0,,,,,,,,
