actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-10-28T23:40:41.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-28T23:40:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-28T23:40:43.0Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612749,0,0,2024-10-28T23:40:43Z,40000,False,,,0,,Jump Ball B. Lopez vs. A. Horford: Tip to D. Lillard,"[203081, 201572, 201143]",1610612749.0,MIL,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Lopez,201572.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-10-28T23:40:52.3Z,1,REGULAR,3pt,Jump Shot,[],1629018,22.28975032851511,90.44117647058823,1610612749,0,0,2024-10-28T23:41:07Z,70000,False,-202.0,157.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,25.6,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-10-28T23:40:55.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2024-10-28T23:40:55Z,80000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-10-28T23:41:11.2Z,1,REGULAR,2pt,Jump Shot,[],1628401,78.40013140604468,36.029411764705884,1610612738,0,0,2024-10-28T23:41:43Z,90000,False,-70.0,151.0,1,right,MISS D. White 16' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Mid-Range,16-24 Left Center,16.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2024-10-28T23:41:14.1Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2024-10-28T23:41:14Z,100000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2024-10-28T23:41:21.0Z,1,REGULAR,2pt,Jump Shot,[],203507,19.398817345597898,24.754901960784316,1610612749,0,0,2024-10-28T23:42:35Z,110000,False,126.0,130.0,1,left,MISS G. Antetokounmpo 18' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,18.1,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2024-10-28T23:41:23.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2024-10-28T23:41:45Z,120000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M12.00S,2024-10-28T23:41:28.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,72.22404730617609,81.61764705882352,1610612738,0,0,2024-10-28T23:43:04Z,130000,False,158.0,209.0,1,right,MISS J. Holiday 26' running pullup 3PT,[201950],1610612738.0,BOS,running pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,26.17,Missed,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2024-10-28T23:41:32.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2024-10-28T23:41:49Z,140000,False,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
