actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-04T23:41:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-04T23:41:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-04T23:41:33.9Z,1,REGULAR,jumpball,recovered,[],1642346,,,1610612756,0,0,2025-04-04T23:41:33Z,40000,False,,,0,,Jump Ball O. Ighodaro vs. K. Porziņģis: Tip to R. Dunn,"[1642346, 1642345, 204001]",1610612756.0,PHX,startperiod,R. Dunn,1642346.0,Dunn,R. Dunn,Ighodaro,1642345.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-04T23:41:47.4Z,1,REGULAR,2pt,Jump Shot,[],203078,79.31997371879106,24.019607843137255,1610612756,0,0,2025-04-04T23:42:09Z,70000,False,-130.0,142.0,1,right,MISS B. Beal 19' step back Shot,[203078],1610612756.0,PHX,step back,,,Beal,B. Beal,,,,,Mid-Range,16-24 Left Center,19.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-04-04T23:41:49.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,0,2025-04-04T23:41:55Z,80000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-04-04T23:41:59.3Z,1,REGULAR,foul,personal,['2freethrow'],1642346,,,1610612738,0,0,2025-04-04T23:42:07Z,90000,False,,,0,,R. Dunn shooting personal FOUL (1 PF) (Brown 2 FT),"[1642346, 1627759]",1610612756.0,PHX,shooting,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201638.0,1.0,0.0,Brown,1627759.0,,,,,,,,,
11,PT11M33.00S,2025-04-04T23:42:27.8Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,1,0,2025-04-04T23:42:27Z,110000,False,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M33.00S,2025-04-04T23:42:52.0Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,2,0,2025-04-04T23:42:52Z,120000,False,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M22.00S,2025-04-04T23:43:04.5Z,1,REGULAR,2pt,Jump Shot,[],1626164,74.85216819973719,47.794117647058826,1610612756,2,2,2025-04-04T23:43:08Z,130000,False,-11.0,184.0,1,right,D. Booker 18' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,18.42,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M05.00S,2025-04-04T23:43:21.4Z,1,REGULAR,3pt,Jump Shot,[],204001,34.510512483574246,49.26470588235294,1610612738,5,2,2025-04-04T23:43:26Z,150000,False,4.0,272.0,1,left,K. Porziņģis 27' 3PT  (3 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,27.19,Made,,,,,,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,
17,PT10M48.00S,2025-04-04T23:43:38.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642345,81.94809461235218,57.35294117647059,1610612756,5,2,2025-04-04T23:43:47Z,170000,False,37.0,117.0,1,right,MISS O. Ighodaro 12' floating Shot,[1642345],1610612756.0,PHX,floating,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),8-16 Center,12.28,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2025-04-04T23:43:39.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,5,2,2025-04-04T23:43:47Z,180000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:2),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),8-16 Center,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M39.00S,2025-04-04T23:43:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,4.944152431011826,49.01960784313725,1610612738,7,2,2025-04-04T23:52:07Z,190000,False,5.0,-6.0,1,left,J. Brown cutting Layup (4 PTS) (J. Holiday 1 AST),"[1627759, 201950]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,,,,4.0,J. Holiday,201950.0,1.0,,,,,
21,PT10M22.00S,2025-04-04T23:44:04.3Z,1,REGULAR,3pt,Jump Shot,[],1642346,90.48948751642575,4.166666666666666,1610612756,7,5,2025-04-04T23:44:09Z,210000,False,-229.0,37.0,1,right,R. Dunn 3PT  (3 PTS) (D. Booker 1 AST),"[1642346, 1626164]",1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,23.22,Made,,,,,,,,,,3.0,D. Booker,1626164.0,1.0,,,,,
23,PT10M12.00S,2025-04-04T23:44:15.3Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,7,5,2025-04-04T23:44:20Z,230000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 203078]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1.0,Beal,203078.0,,
24,PT10M12.00S,2025-04-04T23:44:15.3Z,1,REGULAR,steal,,[],203078,,,1610612756,7,5,2025-04-04T23:44:17Z,240000,False,,,0,,B. Beal STEAL (1 STL),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
25,PT10M04.00S,2025-04-04T23:44:22.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626220,78.9257555847569,7.598039215686274,1610612756,7,5,2025-04-04T23:44:28Z,250000,False,-212.0,146.0,1,right,MISS R. O'Neale 25' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,25.72,Missed,,,,,,,,,,,,,,,,,,
26,PT10M03.00S,2025-04-04T23:44:23.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,7,5,2025-04-04T23:44:28Z,260000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M45.00S,2025-04-04T23:44:41.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],204001,7.440867279894875,56.372549019607845,1610612738,7,5,2025-04-04T23:44:47Z,270000,False,-32.0,17.0,1,left,MISS K. Porziņģis turnaround Hook,[204001],1610612738.0,BOS,turnaround,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,,
28,PT09M44.00S,2025-04-04T23:44:42.4Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,7,5,2025-04-04T23:46:58Z,280000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M31.00S,2025-04-04T23:44:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642345,82.21090670170827,49.01960784313725,1610612756,7,5,2025-04-04T23:45:03Z,290000,False,-5.0,115.0,1,right,MISS O. Ighodaro 11' floating Shot,[1642345],1610612756.0,PHX,floating,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),8-16 Center,11.48,Missed,,,,,,,,,,,,,,,,,,
30,PT09M30.00S,2025-04-04T23:44:57.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,5,2025-04-04T23:45:03Z,300000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M17.00S,2025-04-04T23:45:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.30946123521682,45.83333333333333,1610612738,9,5,2025-04-04T23:45:42Z,310000,False,21.0,16.0,1,left,J. Tatum driving finger roll Layup (2 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.64,Made,,,,,,,,,,2.0,,,,,,,,
32,PT09M08.00S,2025-04-04T23:45:19.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,82.47371879106439,68.13725490196079,1610612756,9,7,2025-04-04T23:45:24Z,320000,False,91.0,112.0,1,right,D. Booker 14' pullup Jump Shot (4 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,14.43,Made,,,,,,,,,,4.0,,,,,,,,
33,PT09M08.00S,2025-04-04T23:45:25.5Z,1,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612756,9,7,2025-04-04T23:45:32Z,330000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Booker 1 FT),"[1628369, 1626164]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,201638.0,1.0,0.0,Booker,1626164.0,,,,,,,,,
35,PT09M08.00S,2025-04-04T23:45:46.9Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,9,8,2025-04-04T23:45:46Z,350000,False,,,0,,D. Booker Free Throw 1 of 1 (5 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
36,PT08M50.00S,2025-04-04T23:46:07.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,23.866622864651774,88.72549019607843,1610612738,9,8,2025-04-04T23:46:15Z,360000,False,-194.0,172.0,1,left,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.88,Missed,,,,,,,,,,,,,,,,,,
37,PT08M48.00S,2025-04-04T23:46:09.5Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,9,8,2025-04-04T23:46:15Z,370000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Left Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M35.00S,2025-04-04T23:46:21.5Z,1,REGULAR,3pt,Jump Shot,[],1626164,66.70499342969777,22.058823529411764,1610612756,9,11,2025-04-04T23:46:25Z,380000,False,-140.0,260.0,1,right,D. Booker 29' 3PT pullup (8 PTS) (R. O'Neale 1 AST),"[1626164, 1626220]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,29.56,Made,,,,,,,,,,8.0,R. O'Neale,1626220.0,1.0,,,,,
40,PT08M18.00S,2025-04-04T23:46:39.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,27.94021024967148,81.86274509803921,1610612738,12,11,2025-04-04T23:47:41Z,400000,False,-159.0,210.0,1,left,J. Brown 26' 3PT pullup (7 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.37,Made,,,,,,,,,,7.0,,,,,,,,
41,PT08M08.00S,2025-04-04T23:46:49.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,93.51182654402102,83.57843137254902,1610612756,12,13,2025-04-04T23:47:52Z,410000,False,168.0,8.0,1,right,D. Booker 16' pullup Jump Shot (10 PTS) (B. Beal 1 AST),"[1626164, 203078]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right,16.81,Made,,,,,,,,,,10.0,B. Beal,203078.0,1.0,,,,,
