actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-05T00:40:37.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-05T00:40:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-05T00:41:06.1Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2024-12-05T00:41:06Z,40000,False,,,0,,Jump Ball J. Duren vs. K. Porziņģis: Tip to C. Cunningham,"[1630595, 1631105, 204001]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-12-05T00:41:25.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202699,7.703679369250986,52.69607843137255,1610612765,0,0,2024-12-05T00:41:47Z,70000,False,-13.0,20.0,1,left,MISS T. Harris driving DUNK - blocked,"[202699, 204001]",1610612765.0,DET,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.4,Missed,Porziņģis,204001.0,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-12-05T00:41:25.7Z,1,REGULAR,block,,[],204001,,,1610612765,0,0,2024-12-05T00:41:47Z,80000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-12-05T00:41:27.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2024-12-05T00:41:47Z,90000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M31.00S,2024-12-05T00:41:32.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,73.27529566360053,88.48039215686273,1610612738,0,0,2024-12-05T00:43:10Z,100000,False,192.0,199.0,1,right,MISS A. Horford 27' running pullup 3PT,[201143],1610612738.0,BOS,running pullup,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,27.66,Missed,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2024-12-05T00:41:33.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,0,0,2024-12-05T00:41:52Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,10.0,,,,,,,,,,,,,,,
13,PT11M11.00S,2024-12-05T00:41:59.8Z,1,REGULAR,turnover,out-of-bounds,[],1631093,,,1610612765,0,0,2024-12-05T00:42:06Z,130000,False,,,0,,J. Ivey bad pass out-of-bounds TURNOVER (1 TO),[1631093],1610612765.0,DET,bad pass,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,200834.0,1.0,,,,,,,,,,
14,PT10M54.00S,2024-12-05T00:42:21.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",204001,92.9862023653088,49.26470588235294,1610612738,2,0,2024-12-05T00:42:26Z,140000,False,-4.0,13.0,1,right,K. Porziņģis alley-oop DUNK (2 PTS) (J. Brown 1 AST),"[204001, 1627759]",1610612738.0,BOS,alley-oop,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,
17,PT10M43.00S,2024-12-05T00:42:58.8Z,1,REGULAR,3pt,Jump Shot,[],1630595,32.14520367936925,66.91176470588235,1610612765,2,0,2024-12-05T00:43:07Z,170000,False,-85.0,250.0,1,left,MISS C. Cunningham 26' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,26.36,Missed,,,,,,,,,,,,,,,,,,
