actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-23T18:11:29.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-23T18:11:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-23T18:11:32.5Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612738,0,0,2025-02-23T18:11:32Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. K. Towns: Tip to J. Holiday,"[201950, 204001, 1626157]",1610612738.0,BOS,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Porziņģis,204001.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2025-02-23T18:11:36.3Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612738,0,0,2025-02-23T18:11:48Z,70000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Brown 2 FT),"[1628969, 1627759]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,202053.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
9,PT11M55.00S,2025-02-23T18:12:09.8Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,1,0,2025-02-23T18:12:09Z,90000,False,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M55.00S,2025-02-23T18:12:27.9Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,2,0,2025-02-23T18:12:27Z,100000,False,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M40.00S,2025-02-23T18:12:44.8Z,1,REGULAR,2pt,Jump Shot,[],1628973,6.176084099868594,22.571997549019606,1610612752,2,0,2025-02-23T18:13:00Z,110000,False,137.0,6.0,1,left,MISS J. Brunson 13' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,,,,,,Missed,,13.72,,,,,,,,,,,,
12,PT11M39.00S,2025-02-23T18:12:45.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,2,0,2025-02-23T18:12:50Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,11.0,,,,,,,,,,,
14,PT11M33.00S,2025-02-23T18:13:06.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,11.777266754270697,3.6764705882352944,1610612752,2,3,2025-02-23T18:13:10Z,140000,False,232.0,58.0,1,left,O. Anunoby 3PT  (3 PTS) (J. Hart 1 AST),"[1628384, 1628404]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.88,,J. Hart,1628404.0,1.0,,,,,,,,
16,PT11M12.00S,2025-02-23T18:13:28.0Z,1,REGULAR,3pt,Jump Shot,[],204001,68.15045992115637,75.0,1610612738,5,3,2025-02-23T18:13:32Z,160000,False,125.0,247.0,1,right,K. Porziņģis 27' 3PT  (3 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,27.67,,J. Tatum,1628369.0,1.0,,,,,,,,
18,PT10M47.00S,2025-02-23T18:13:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.915243101182654,39.950980392156865,1610612752,5,3,2025-02-23T18:14:02Z,180000,False,50.0,13.0,1,left,MISS K. Towns driving Layup,[1626157],1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.17,,,,,,,,,,,,
