actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-30T00:41:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-30T00:41:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-30T00:41:33.6Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-01-30T00:41:33Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. N. Vučević: Tip to D. White,"[1628401, 204001, 202696]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porziņģis,204001.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-01-30T00:41:45.7Z,1,REGULAR,turnover,out-of-bounds,[],204001,,,1610612738,0,0,2025-01-30T00:42:07Z,70000,False,,,0,,K. Porziņģis lost ball out-of-bounds TURNOVER (1 TO),[204001],1610612738.0,BOS,lost ball,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Right,200833.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-01-30T00:42:02.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630245,92.9862023653088,48.03921568627451,1610612741,0,0,2025-01-30T00:42:36Z,80000,False,-10.0,13.0,1,right,MISS A. Dosunmu cutting Layup,[1630245],1610612741.0,CHI,cutting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,1.66,Missed,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-01-30T00:42:05.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,0,2025-01-30T00:42:11Z,90000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M29.00S,2025-01-30T00:42:09.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],204001,28.728646517739815,80.63725490196079,1610612738,3,0,2025-01-30T00:42:15Z,100000,False,-153.0,218.0,1,left,K. Porziņģis 26' 3PT  (3 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,,,26.6,Made,,,,,3.0,J. Holiday,201950.0,1.0,,,,,,,,
12,PT11M04.00S,2025-01-30T00:42:38.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612741,3,0,2025-01-30T00:42:47Z,120000,False,,,0,,CHI shot clock Team TURNOVER,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2025-01-30T00:42:58.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,36.08738501971091,15.931372549019606,1610612738,6,0,2025-01-30T00:43:03Z,130000,False,170.0,287.0,1,left,K. Porziņģis 33' 3PT  (6 PTS) (J. Brown 1 AST),"[204001, 1627759]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,,,33.35,Made,,,,,6.0,J. Brown,1627759.0,1.0,,,,,,,,
15,PT10M33.00S,2025-01-30T00:43:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,86.02168199737189,57.84313725490197,1610612741,6,0,2025-01-30T00:43:23Z,150000,False,39.0,79.0,1,right,MISS C. White 8' pullup Shot,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,,,8.81,Missed,,,,,,,,,,,,,,,,
16,PT10M31.00S,2025-01-30T00:43:20.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,0,2025-01-30T00:43:23Z,160000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M25.00S,2025-01-30T00:43:27.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,8.886333771353483,55.14705882352941,1610612738,8,0,2025-01-30T00:43:37Z,170000,False,-26.0,31.0,1,left,J. Brown driving finger roll Layup (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,4.03,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,
19,PT10M09.00S,2025-01-30T00:43:42.6Z,1,REGULAR,3pt,Jump Shot,[],1630581,71.69842312746385,14.705882352941178,1610612741,8,0,2025-01-30T00:43:51Z,190000,False,-176.0,214.0,1,right,MISS J. Giddey 27' 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,27.7,Missed,,,,,,,,,,,,,,,,
20,PT10M07.00S,2025-01-30T00:43:44.6Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,8,0,2025-01-30T00:43:51Z,200000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,
21,PT10M04.00S,2025-01-30T00:43:48.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,72.61826544021025,86.02941176470588,1610612741,8,0,2025-01-30T00:43:53Z,210000,False,180.0,205.0,1,right,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,27.28,Missed,,,,,,,,,,,,,,,,
22,PT10M01.00S,2025-01-30T00:43:51.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,8,0,2025-01-30T00:43:53Z,220000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
