actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-07T00:44:02.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-07T00:44:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-07T00:44:04.7Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-11-07T00:44:04Z,40000,False,,,0,,Jump Ball N. Queta vs. T. Jackson-Davis: Tip to D. White,"[1628401, 1629674, 1631218]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Queta,1629674.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-11-07T00:44:15.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,7.046649145860711,48.529411764705884,1610612738,2,0,2024-11-07T00:44:23Z,70000,False,7.0,14.0,1,left,N. Queta alley-oop DUNK (2 PTS) (J. Holiday 1 AST),"[1629674, 201950]",1610612738.0,BOS,alley-oop,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,1.56,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-11-07T00:44:33.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631218,94.61235216819975,54.024969362745104,1610612744,2,0,2024-11-07T03:07:56Z,90000,False,20.0,-2.0,1,right,MISS T. Jackson-Davis alley-oop DUNK,[1631218],1610612744.0,GSW,alley-oop,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2024-11-07T00:44:35.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,0,2024-11-07T00:44:43Z,100000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2024-11-07T00:44:48.2Z,1,REGULAR,turnover,out-of-bounds,[],201143,,,1610612738,2,0,2024-11-07T00:45:05Z,110000,False,,,0,,A. Horford bad pass out-of-bounds TURNOVER (1 TO),[201143],1610612738.0,BOS,bad pass,,,Horford,A. Horford,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,,,,,,,
12,PT11M06.00S,2024-11-07T00:45:06.0Z,1,REGULAR,turnover,out-of-bounds,[],203952,,,1610612744,2,0,2024-11-07T00:45:16Z,120000,False,,,0,,A. Wiggins step out-of-bounds TURNOVER (1 TO),[203952],1610612744.0,GSW,step,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,,,,,,,,1.0,1627526.0,,,,,,,,
13,PT10M49.00S,2024-11-07T00:45:30.1Z,1,REGULAR,turnover,lost ball,[],1629674,,,1610612738,2,0,2024-11-07T00:45:43Z,130000,False,,,0,,N. Queta lost ball TURNOVER (1 TO),"[1629674, 1630541]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,,Moody,1630541.0,,,,,,
14,PT10M49.00S,2024-11-07T00:45:30.1Z,1,REGULAR,steal,,[],1630541,,,1610612744,2,0,2024-11-07T00:45:31Z,140000,False,,,0,,M. Moody STEAL (1 STL),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2024-11-07T00:45:37.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630541,69.99014454664915,79.41176470588235,1610612744,2,0,2024-11-07T00:45:45Z,150000,False,147.0,230.0,1,right,MISS M. Moody 27' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,27.27,Missed,,,,,,,,,,,,,,,,,,
