actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-08T01:10:49.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-08T01:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-08T01:10:52.7Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2024-12-08T01:10:52Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. K. Porziņģis: Tip to D. Bane,"[1630217, 1628991, 204001]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Jackson Jr.,1628991.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-12-08T01:11:03.8Z,1,REGULAR,turnover,out-of-bounds,[],1642377,,,1610612763,0,0,2024-12-08T01:11:16Z,70000,False,,,0,,J. Wells bad pass out-of-bounds TURNOVER (1 TO),[1642377],1610612763.0,MEM,bad pass,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,200832.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-12-08T01:11:24.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,32.14520367936925,67.40196078431373,1610612738,0,0,2024-12-08T01:11:30Z,80000,False,-87.0,250.0,1,left,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,26.44,Missed,,,,,,,,,,,,,,,,
9,PT11M30.00S,2024-12-08T01:11:27.0Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2024-12-08T01:11:30Z,90000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M11.00S,2024-12-08T01:11:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,91.40932982917214,50.73529411764706,1610612763,0,2,2024-12-08T01:11:52Z,100000,False,4.0,28.0,1,right,D. Bane driving finger roll Layup (2 PTS),[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,2.85,Made,,,,,2.0,,,,,,,,,,,
11,PT11M01.00S,2024-12-08T01:11:55.4Z,1,REGULAR,3pt,Jump Shot,[],201950,32.933639947437584,64.4607843137255,1610612738,0,2,2024-12-08T01:12:19Z,110000,False,-72.0,257.0,1,left,MISS J. Holiday 26' pullup 3PT,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,26.71,Missed,,,,,,,,,,,,,,,,
12,PT10M57.00S,2024-12-08T01:11:59.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,2,2024-12-08T01:12:01Z,120000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,
13,PT10M46.00S,2024-12-08T01:12:10.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,72.88107752956637,84.06862745098039,1610612763,0,2,2024-12-08T01:13:04Z,130000,False,170.0,202.0,1,right,MISS D. Bane 26' step back 3PT,[1630217],1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,26.45,Missed,,,,,,,,,,,,,,,,
14,PT10M44.00S,2024-12-08T01:12:12.3Z,1,REGULAR,rebound,offensive,[],1642377,,,1610612763,0,2,2024-12-08T01:12:15Z,140000,False,,,0,,J. Wells REBOUND (Off:1 Def:0),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,
