actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-09T00:41:18.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-09T00:41:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-09T00:41:21.3Z,1,REGULAR,jumpball,recovered,[],1627827,,,1610612751,0,0,2024-11-09T00:41:21Z,40000,False,,,0,,Jump Ball N. Claxton vs. A. Horford: Tip to D. Finney-Smith,"[1627827, 1629651, 201143]",1610612751.0,BKN,startperiod,D. Finney-Smith,1627827.0,Finney-Smith,D. Finney-Smith,Claxton,1629651.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-11-09T00:41:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,7.835085413929041,50.0,1610612751,0,2,2024-11-09T00:41:46Z,70000,False,0.0,21.0,1,left,D. Schröder driving Layup (2 PTS) (C. Thomas 1 AST),"[203471, 1630560]",1610612751.0,BKN,driving,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,2.11,Made,2.0,C. Thomas,1630560.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-11-09T00:41:53.4Z,1,REGULAR,3pt,Jump Shot,[],1630214,73.9323258869908,17.401960784313726,1610612738,0,2,2024-11-09T00:42:16Z,90000,False,-163.0,193.0,1,right,MISS X. Tillman 25' 3PT,[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Left Center,25.22,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2024-11-09T00:41:55.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,2,2024-11-09T00:42:34Z,100000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M02.00S,2024-11-09T00:42:15.5Z,1,REGULAR,2pt,Jump Shot,[],1629661,20.18725361366623,67.15686274509804,1610612751,0,4,2024-11-09T00:42:23Z,110000,False,-86.0,137.0,1,left,C. Johnson 16' step back Jump Shot (2 PTS) (N. Claxton 1 AST),"[1629661, 1629651]",1610612751.0,BKN,step back,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left Center,16.19,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,,
13,PT10M41.00S,2024-11-09T00:42:36.8Z,1,REGULAR,3pt,Jump Shot,[],201143,76.42904073587385,90.68627450980392,1610612738,0,4,2024-11-09T00:42:57Z,130000,False,203.0,169.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
14,PT10M38.00S,2024-11-09T00:42:39.8Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,0,4,2024-11-09T00:42:57Z,140000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M27.00S,2024-11-09T00:42:50.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,25.969119579500656,84.55882352941177,1610612751,0,7,2024-11-09T00:43:02Z,150000,False,-173.0,192.0,1,left,C. Johnson 25' 3PT step back (5 PTS),[1629661],1610612751.0,BKN,step back,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,25.8,Made,5.0,,,,,,,,,,,,,,,,,
16,PT10M14.00S,2024-11-09T00:43:03.6Z,1,REGULAR,turnover,lost ball,[],1628401,,,1610612738,0,7,2024-11-09T00:43:11Z,160000,False,,,0,,D. White lost ball TURNOVER (1 TO),"[1628401, 1630560]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Thomas,1630560.0,,,,,,,
