actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-12T23:10:23.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-12T23:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2025-01-12T23:10:27.0Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-01-12T23:10:27Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. Y. Missi: Tip to D. White,"[1628401, 204001, 1642274]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porziņģis,204001.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-12T23:10:38.2Z,1,REGULAR,3pt,Jump Shot,[],204001,25.969119579500656,87.5,1610612738,0,0,2025-01-12T23:10:54Z,70000,False,-188.0,192.0,1,left,MISS K. Porziņģis 26' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,26.81,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-01-12T23:10:41.2Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,0,0,2025-01-12T23:11:24Z,80000,False,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M41.00S,2025-01-12T23:10:43.9Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,0,0,2025-01-12T23:11:41Z,85000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1629627]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Williamson,1629627.0,,,,,,,,,,,
15,PT11M41.00S,2025-01-12T23:10:43.9Z,1,REGULAR,steal,,[],1629627,,,1610612740,0,0,2025-01-12T23:11:41Z,87500,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-01-12T23:10:49.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627749,86.5473061760841,97.30392156862744,1610612740,0,3,2025-01-12T23:12:38Z,90000,False,237.0,74.0,1,right,D. Murray 24' 3PT running (3 PTS) (T. Murphy III 1 AST),"[1627749, 1630530]",1610612740.0,NOP,running,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,24.78,Made,,,,,,,,3.0,T. Murphy III,1630530.0,1.0,,,,,,,
11,PT11M21.00S,2025-01-12T23:11:02.9Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612738,0,3,2025-01-12T23:11:20Z,110000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629627, 1628369]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202056.0,1.0,0.0,Tatum,1628369.0,,
13,PT11M21.00S,2025-01-12T23:11:31.7Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,1,3,2025-01-12T23:11:31Z,130000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
16,PT11M21.00S,2025-01-12T23:11:49.8Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,2,3,2025-01-12T23:11:49Z,140000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
