actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-06T22:10:13.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-06T22:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-04-06T22:10:15.4Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-04-06T22:10:15Z,40000,False,,,0,,Jump Ball L. Kornet vs. A. Sarr: Tip to D. White,"[1628401, 1628436, 1642259]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Kornet,1628436.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-04-06T22:10:30.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,73.27529566360053,81.12745098039215,1610612738,0,0,2025-04-06T22:10:41Z,70000,False,156.0,199.0,1,right,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-04-06T22:10:32.5Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,0,0,2025-04-06T22:10:41Z,80000,False,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-04-06T22:10:34.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628436,93.77463863337714,45.83333333333333,1610612738,0,0,2025-04-06T22:11:01Z,90000,False,-21.0,6.0,1,right,MISS L. Kornet putback Layup,[1628436],1610612738.0,BOS,putback,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,2.16,Missed,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2025-04-06T22:10:35.7Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612764,0,0,2025-04-06T22:11:01Z,100000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M37.00S,2025-04-06T22:10:39.0Z,1,REGULAR,turnover,out-of-bounds,[],1630551,,,1610612764,0,0,2025-04-06T22:11:15Z,105000,False,,,0,,J. Champagnie lost ball out-of-bounds TURNOVER (1 TO),[1630551],1610612764.0,WAS,lost ball,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,1155.0,1.0,,,,,,,,,,,,
12,PT11M28.00S,2025-04-06T22:11:03.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,77.4802890932983,90.19607843137256,1610612738,3,0,2025-04-06T22:11:19Z,120000,False,201.0,159.0,1,right,D. White 25' 3PT  (3 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.64,Made,,,,,,,3.0,J. Brown,1627759.0,1.0,,,,,,,,
15,PT11M11.00S,2025-04-06T22:11:20.2Z,1,REGULAR,2pt,Jump Shot,[],1642267,24.26084099868594,69.85294117647058,1610612764,3,0,2025-04-06T22:11:25Z,140000,False,-99.0,176.0,1,left,MISS B. Carrington 20' pullup Shot,[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Left Center,20.17,Missed,,,,,,,,,,,,,,,,,,
16,PT11M09.00S,2025-04-06T22:11:22.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,0,2025-04-06T22:11:25Z,150000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
