actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-28T00:40:32.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-28T00:40:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-28T00:40:35.9Z,1,REGULAR,jumpball,recovered,[],1641708,,,1610612745,0,0,2025-01-28T00:40:35Z,40000,False,,,0,,Jump Ball A. Sengun vs. K. Porziņģis: Tip to A. Thompson,"[1641708, 1630578, 204001]",1610612745.0,HOU,startperiod,A. Thompson,1641708.0,Thompson,A. Thompson,Sengun,1630578.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2025-01-28T00:40:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,91.93495400788436,53.92156862745098,1610612745,0,0,2025-01-28T00:41:12Z,70000,False,20.0,23.0,1,right,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2025-01-28T00:40:58.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2025-01-28T00:41:12Z,80000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-01-28T00:41:06.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],204001,31.882391590013142,41.911764705882355,1610612738,3,0,2025-01-28T00:42:57Z,90000,False,40.0,247.0,1,left,K. Porziņģis 25' 3PT running (3 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,running,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,25.05,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
11,PT11M13.00S,2025-01-28T00:41:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,80.76544021024968,63.48039215686274,1610612745,3,2,2025-01-28T01:28:43Z,110000,False,67.0,128.0,1,right,A. Sengun 14' Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1630578, 1627832]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,14.49,Made,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
13,PT11M01.00S,2025-01-28T00:41:29.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,13.485545335085414,77.45098039215686,1610612738,5,2,2025-01-28T00:41:34Z,130000,False,-137.0,74.0,1,left,J. Brown 15' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,15.61,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M41.00S,2025-01-28T00:41:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,92.37844940867281,47.571997549019606,1610612745,5,2,2025-01-28T00:42:00Z,140000,False,-12.0,19.0,1,right,MISS A. Thompson driving reverse Layup,[1641708],1610612745.0,HOU,driving reverse,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2025-01-28T00:41:52.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,5,2,2025-01-28T00:42:00Z,150000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M33.00S,2025-01-28T00:41:59.9Z,1,REGULAR,turnover,out-of-bounds,[],204001,,,1610612738,5,2,2025-01-28T00:42:07Z,160000,False,,,0,,K. Porziņģis bad pass out-of-bounds TURNOVER (1 TO),[204001],1610612738.0,BOS,bad pass,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,0-8 Center,,,,,,,,,,,204059.0,1.0,,,,,,,,
17,PT10M22.00S,2025-01-28T00:42:14.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,76.2976346911958,93.38235294117648,1610612745,5,2,2025-01-28T00:42:20Z,170000,False,217.0,170.0,1,right,MISS F. VanVleet 27' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,27.58,Missed,,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2025-01-28T00:42:15.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,2,2025-01-28T00:42:20Z,180000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M11.00S,2025-01-28T00:42:24.5Z,1,REGULAR,2pt,Jump Shot,[],1627759,17.95335085413929,75.73529411764706,1610612738,7,2,2025-01-28T00:42:27Z,190000,False,-129.0,116.0,1,left,J. Brown 17' turnaround fadeaway Jump Shot (4 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,17.35,Made,,,,,4.0,,,,,,,,,,,,,
20,PT09M49.00S,2025-01-28T00:42:45.9Z,1,REGULAR,2pt,Jump Shot,[],1627832,77.4802890932983,72.79411764705883,1610612745,7,2,2025-01-28T00:42:53Z,200000,False,114.0,159.0,1,right,MISS F. VanVleet 19' Jump Shot,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right Center,19.58,Missed,,,,,,,,,,,,,,,,,,
21,PT09M48.00S,2025-01-28T00:42:46.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,2,2025-01-28T00:42:53Z,210000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M40.00S,2025-01-28T00:42:57.4Z,1,REGULAR,foul,personal,[],1627832,,,1610612738,7,2,2025-01-28T00:43:07Z,220000,False,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1628436]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,204059.0,,1.0,0.0,Kornet,1628436.0,,,,
24,PT09M35.00S,2025-01-28T00:43:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,6.389618922470433,42.64705882352941,1610612738,9,2,2025-01-28T00:43:27Z,240000,False,37.0,8.0,1,left,L. Kornet cutting Layup (2 PTS) (J. Holiday 1 AST),"[1628436, 201950]",1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,3.76,Made,,,,,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,
26,PT09M24.00S,2025-01-28T00:43:34.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,71.56701708278581,17.401960784313726,1610612745,9,2,2025-01-28T00:43:41Z,260000,False,-163.0,215.0,1,right,MISS J. Green 26' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,26.96,Missed,,,,,,,,,,,,,,,,,,
27,PT09M23.00S,2025-01-28T00:43:35.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,2,2025-01-28T00:43:41Z,270000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,26.0,3.0,3.0,0.0,,,,,,,,,,,,,,
28,PT09M11.00S,2025-01-28T00:43:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,12.302890932982917,58.82352941176471,1610612738,9,2,2025-01-28T00:43:53Z,280000,False,-44.0,63.0,1,left,MISS L. Kornet 7' cutting Layup,[1628436],1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,7.7,Missed,,,,,,,,,,,,,,,,,,
29,PT09M10.00S,2025-01-28T00:43:48.9Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,9,2,2025-01-28T00:43:53Z,290000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M03.00S,2025-01-28T00:43:56.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,87.86136662286465,95.83333333333334,1610612745,9,5,2025-01-28T00:46:36Z,300000,False,229.0,62.0,1,right,D. Brooks 3PT running (3 PTS) (J. Green 1 AST),"[1628415, 1630224]",1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,23.73,Made,,,,,3.0,J. Green,1630224.0,1.0,,,,,,,,,,
32,PT08M48.00S,2025-01-28T00:44:11.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],204001,13.091327201051248,41.42156862745098,1610612738,11,5,2025-01-28T00:44:14Z,320000,False,43.0,71.0,1,left,K. Porziņģis 8' driving Hook (5 PTS),[204001],1610612738.0,BOS,driving,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),8-16 Center,8.26,Made,,,,,5.0,,,,,,,,,,,,,
