actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-12-31T20:12:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-31T20:12:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-31T20:12:49.7Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2024-12-31T20:12:49Z,40000,False,,,0,,Jump Ball A. Horford vs. J. Poeltl: Tip to J. Tatum,"[1628369, 201143, 1627751]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Horford,201143.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2024-12-31T20:13:11.2Z,1,REGULAR,3pt,Jump Shot,[],201143,28.07161629434954,16.666666666666664,1610612738,0,0,2024-12-31T20:13:19Z,70000,False,167.0,211.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.92,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2024-12-31T20:13:14.2Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2024-12-31T20:13:19Z,80000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M17.00S,2024-12-31T20:13:29.0Z,1,REGULAR,3pt,Jump Shot,[],1630534,93.9060446780552,96.81372549019608,1610612761,0,0,2024-12-31T20:13:34Z,90000,False,234.0,5.0,1,right,MISS O. Agbaji 3PT,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Right Corner 3,24+ Right,23.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2024-12-31T20:13:30.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2024-12-31T20:13:34Z,100000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2024-12-31T20:13:39.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,21.23850197109067,90.93137254901961,1610612738,0,0,2024-12-31T20:13:48Z,110000,False,-205.0,147.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2024-12-31T20:13:43.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2024-12-31T20:13:48Z,120000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT10M53.00S,2024-12-31T20:13:52.6Z,1,REGULAR,3pt,Jump Shot,[],1630567,65.1281208935611,32.59803921568628,1610612761,0,0,2024-12-31T20:14:00Z,130000,False,-87.0,275.0,1,right,MISS S. Barnes 28' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,28.87,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2024-12-31T20:13:53.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2024-12-31T20:14:00Z,140000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
