actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-03T00:40:40.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-03T00:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-03T00:40:42.9Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2024-12-03T00:40:42Z,40000,False,,,0,,Jump Ball B. Adebayo vs. L. Kornet: Tip to T. Herro,"[1629639, 1628389, 1628436]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-12-03T00:41:16.9Z,1,REGULAR,2pt,Jump Shot,[],1628389,20.844283837056505,73.0392156862745,1610612748,0,2,2024-12-03T00:41:22Z,80000,False,-115.0,143.0,1,left,B. Adebayo 18' step back Jump Shot (2 PTS) (H. Highsmith 1 AST),"[1628389, 1629312]",1610612748.0,MIA,step back,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Left Center,18.39,Made,2.0,H. Highsmith,1629312.0,1.0,,,,,,,,,,,,,,
10,PT11M10.00S,2024-12-03T00:41:41.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,63.55124835742444,55.63725490196079,1610612738,0,2,2024-12-03T00:41:51Z,100000,False,28.0,290.0,1,right,MISS J. Brown 29' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,29.15,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2024-12-03T00:41:43.6Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,0,2,2024-12-03T00:41:51Z,110000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M04.00S,2024-12-03T00:41:48.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631170,6.915243101182654,51.470588235294116,1610612748,0,4,2024-12-03T00:41:54Z,120000,False,-7.0,13.0,1,left,J. Jaquez Jr. running Layup (2 PTS) (H. Highsmith 2 AST),"[1631170, 1629312]",1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,1.45,Made,2.0,H. Highsmith,1629312.0,2.0,,,,,,,,,,,,,,
14,PT10M53.00S,2024-12-03T00:41:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,84.44480946123521,41.17647058823529,1610612738,0,4,2024-12-03T00:42:10Z,140000,False,-44.0,94.0,1,right,MISS J. Tatum 10' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,10.36,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2024-12-03T00:42:00.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,4,2024-12-03T00:42:10Z,150000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M51.00S,2024-12-03T00:42:04.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,0,4,2024-12-03T00:42:08Z,160000,False,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1628389]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201639.0,1.0,0.0,Adebayo,1628389.0,,,,,
18,PT10M39.00S,2024-12-03T00:42:26.0Z,1,REGULAR,3pt,Jump Shot,[],1628389,32.013797634691194,64.4607843137255,1610612748,0,4,2024-12-03T00:42:35Z,180000,False,-72.0,248.0,1,left,MISS B. Adebayo 25' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,25.87,Missed,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2024-12-03T00:42:27.0Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,0,4,2024-12-03T00:42:35Z,190000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
