actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-18T00:13:29.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-18T00:13:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-18T00:13:34.3Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612753,0,0,2025-01-18T00:13:34Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. K. Porziņģis: Tip to K. Caldwell-Pope,"[203484, 1628976, 204001]",1610612753.0,ORL,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Carter Jr.,1628976.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2025-01-18T00:13:56.2Z,1,REGULAR,3pt,Jump Shot,[],203484,15.588042049934298,4.901960784313726,1610612753,0,0,2025-01-18T00:14:01Z,70000,False,225.0,94.0,1,left,MISS K. Caldwell-Pope 24' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right,24.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2025-01-18T00:14:00.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,0,0,2025-01-18T00:14:01Z,80000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-01-18T00:14:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,93.38042049934296,51.470588235294116,1610612738,2,0,2025-01-18T00:14:44Z,90000,False,7.0,10.0,1,right,K. Porziņģis cutting Layup (2 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,cutting,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,
11,PT11M02.00S,2025-01-18T00:14:27.3Z,1,REGULAR,3pt,Jump Shot,[],1628976,10.5946123521682,4.6568627450980395,1610612753,2,3,2025-01-18T00:14:32Z,110000,False,227.0,47.0,1,left,W. Carter Jr. 3PT  (3 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,23.15,Made,,,,,3.0,P. Banchero,1631094.0,1.0,,,,,,,,,,
13,PT10M46.00S,2025-01-18T00:14:42.7Z,1,REGULAR,2pt,Jump Shot,[],1628401,86.41590013140605,30.14705882352941,1610612738,2,3,2025-01-18T00:14:49Z,130000,False,-99.0,75.0,1,right,MISS D. White 12' driving floating bank Shot,[1628401],1610612738.0,BOS,driving floating bank,,,White,D. White,,,,,Mid-Range,8-16 Left,12.46,Missed,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2025-01-18T00:14:44.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,3,2025-01-18T00:14:49Z,140000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M28.00S,2025-01-18T00:15:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,8.886333771353483,60.5392156862745,1610612753,2,3,2025-01-18T00:15:23Z,160000,False,-53.0,31.0,1,left,MISS P. Banchero 6' driving Layup - blocked,"[1631094, 1628401]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,6.11,Missed,,,,,,,,,White,1628401.0,,,,,,,,
17,PT10M28.00S,2025-01-18T00:15:19.0Z,1,REGULAR,block,,[],1628401,,,1610612753,2,3,2025-01-18T00:15:21Z,170000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
