actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-13T17:10:43.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T17:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-13T17:10:46.5Z,1,REGULAR,jumpball,recovered,[],1642354,,,1610612766,0,0,2025-04-13T17:10:46Z,40000,False,,,0,,Jump Ball J. Nurkić vs. L. Kornet: Tip to K. Simpson,"[1642354, 203994, 1628436]",1610612766.0,CHA,startperiod,K. Simpson,1642354.0,Simpson,K. Simpson,Nurkić,203994.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-04-13T17:11:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.38042049934296,46.81372549019608,1610612766,0,2,2025-04-13T17:11:12Z,70000,False,-16.0,10.0,1,right,J. Nurkić driving Layup (2 PTS),[203994],1610612766.0,CHA,driving,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,1.86,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-04-13T17:11:11.1Z,1,REGULAR,foul,personal,['1freethrow'],1628470,,,1610612766,0,2,2025-04-13T17:11:23Z,80000,False,,,0,,T. Craig shooting personal FOUL (1 PF) (Nurkić 1 FT),"[1628470, 203994]",1610612738.0,BOS,shooting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,,203593.0,1.0,0.0,Nurkić,203994.0,,,,,,,,,,,,
10,PT11M41.00S,2025-04-13T17:11:25.7Z,1,REGULAR,freethrow,1 of 1,[],203994,,,1610612766,0,3,2025-04-13T17:11:25Z,100000,False,,,0,,J. Nurkić Free Throw 1 of 1 (3 PTS),[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2025-04-13T17:11:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,10.85742444152431,38.23529411764706,1610612738,2,3,2025-04-13T17:11:50Z,110000,False,59.0,50.0,1,left,P. Pritchard 7' pullup Jump Shot (2 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,7.69,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2025-04-13T17:11:54.7Z,1,REGULAR,3pt,Jump Shot,[],1629610,68.67608409986859,25.245098039215684,1610612766,2,3,2025-04-13T17:12:09Z,120000,False,-124.0,242.0,1,right,MISS D. Jeffries 27' 3PT,[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,Above the Break 3,24+ Left Center,27.17,Missed,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2025-04-13T17:11:56.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,3,2025-04-13T17:12:09Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,12.0,,,,,,,,,,,
15,PT10M57.00S,2025-04-13T17:12:22.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,30.56833114323259,20.34313725490196,1610612738,5,3,2025-04-13T17:12:26Z,150000,False,148.0,235.0,1,left,P. Pritchard 27' 3PT  (5 PTS) (L. Kornet 1 AST),"[1630202, 1628436]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,27.77,Made,5.0,,,,,,,L. Kornet,1628436.0,1.0,,,,,,,,
17,PT10M34.00S,2025-04-13T17:12:45.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629006,87.72996057818659,45.34313725490196,1610612766,5,3,2025-04-13T17:12:50Z,170000,False,-23.0,63.0,1,right,MISS J. Okogie 6' driving Layup,[1629006],1610612766.0,CHA,driving,,,Okogie,J. Okogie,,,,,In The Paint (Non-RA),0-8 Center,6.7,Missed,,,,,,,,,,,,,,,,,,
