actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-26T00:41:08.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-26T00:41:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-26T00:41:10.8Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2024-11-26T00:41:10Z,40000,False,,,0,,Jump Ball I. Zubac vs. K. Porziņģis: Tip to J. Harden,"[201935, 1627826, 204001]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-11-26T00:41:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,92.72339027595268,41.17647058823529,1610612746,0,0,2024-11-26T00:42:12Z,70000,False,-44.0,16.0,1,right,MISS I. Zubac driving Layup,[1627826],1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-11-26T00:41:30.0Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,0,2024-11-26T00:42:12Z,80000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M34.00S,2024-11-26T00:41:36.4Z,1,REGULAR,turnover,out-of-bounds,[],1627739,,,1610612746,0,0,2024-11-26T00:42:50Z,90000,False,,,0,,K. Dunn step out-of-bounds TURNOVER (1 TO),[1627739],1610612746.0,LAC,step,,,Dunn,K. Dunn,,,,,Left Corner 3,24+ Left,,,,,,,1627529.0,1.0,,,,,,,,,,,,
10,PT11M24.00S,2024-11-26T00:41:54.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,32.276609724047304,67.15686274509804,1610612738,0,0,2024-11-26T00:42:00Z,100000,False,-86.0,251.0,1,left,MISS K. Porziņģis 26' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,26.52,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-11-26T00:41:57.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,0,2024-11-26T00:42:00Z,110000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M14.00S,2024-11-26T00:42:03.4Z,1,REGULAR,2pt,Jump Shot,[],201935,78.9257555847569,36.27450980392157,1610612746,0,2,2024-11-26T00:42:10Z,120000,False,-69.0,146.0,1,right,J. Harden 16' pullup Jump Shot (2 PTS),[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Mid-Range,16-24 Left Center,16.1,Made,,,,,,,2.0,,,,,,,,,,,
13,PT11M03.00S,2024-11-26T00:42:15.5Z,1,REGULAR,3pt,Jump Shot,[],204001,33.459264126149804,52.450980392156865,1610612738,3,2,2024-11-26T00:42:25Z,130000,False,-12.0,262.0,1,left,K. Porziņģis 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,26.23,Made,,,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,
15,PT10M51.00S,2024-11-26T00:42:27.4Z,1,REGULAR,3pt,Jump Shot,[],201935,65.1281208935611,50.245098039215684,1610612746,3,2,2024-11-26T00:42:36Z,150000,False,1.0,275.0,1,right,MISS J. Harden 27' pullup 3PT,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,27.53,Missed,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2024-11-26T00:42:31.4Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,3,2,2024-11-26T00:42:36Z,160000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M40.00S,2024-11-26T00:42:56.4Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612738,3,2,2024-11-26T00:43:00Z,180000,False,,,0,,K. Porziņģis lost ball TURNOVER (1 TO),"[204001, 1627739]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,,,,,Dunn,1627739.0,,,,,,
19,PT10M40.00S,2024-11-26T00:42:56.4Z,1,REGULAR,steal,,[],1627739,,,1610612746,3,2,2024-11-26T00:44:38Z,190000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2024-11-26T00:43:00.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629599,93.11760840998686,51.470588235294116,1610612746,3,4,2024-11-26T00:43:12Z,200000,False,7.0,12.0,1,right,A. Coffey running alley-oop DUNK (2 PTS) (D. Jones Jr. 1 AST),"[1629599, 1627884]",1610612746.0,LAC,running alley-oop,,,Coffey,A. Coffey,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,2.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,
22,PT10M24.00S,2024-11-26T00:43:12.9Z,1,REGULAR,3pt,Jump Shot,[],204001,29.6484888304862,77.20588235294117,1610612738,3,4,2024-11-26T00:43:22Z,220000,False,-136.0,226.0,1,left,MISS K. Porziņģis 26' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,26.39,Missed,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2024-11-26T00:43:15.9Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,3,4,2024-11-26T00:43:22Z,230000,False,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Left Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M10.00S,2024-11-26T00:43:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,92.46057818659659,49.01960784313725,1610612746,3,6,2024-11-26T00:43:34Z,240000,False,-5.0,18.0,1,right,I. Zubac cutting Layup (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,
26,PT09M55.00S,2024-11-26T00:43:42.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,21.50131406044678,10.53921568627451,1610612738,3,6,2024-11-26T00:43:56Z,260000,False,197.0,150.0,1,left,MISS D. White 24' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,24.76,Missed,,,,,,,,,,,,,,,,,,
27,PT09M50.00S,2024-11-26T00:43:47.8Z,1,REGULAR,rebound,offensive,[],201950,,,1610612738,3,6,2024-11-26T00:43:56Z,270000,False,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
28,PT09M47.00S,2024-11-26T00:43:48.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,19.92444152431012,7.352941176470589,1610612738,3,6,2024-11-26T00:44:00Z,280000,False,213.0,135.0,1,left,MISS J. Holiday 25' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,25.22,Missed,,,,,,,,,,,,,,,,,,
29,PT09M45.00S,2024-11-26T00:43:50.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,3,6,2024-11-26T00:44:00Z,290000,False,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,
30,PT09M36.00S,2024-11-26T00:44:01.3Z,1,REGULAR,3pt,Jump Shot,[],1629599,84.57621550591328,2.2058823529411766,1610612746,3,6,2024-11-26T00:49:01Z,300000,False,-239.0,92.0,1,right,MISS A. Coffey 25' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Left,25.63,Missed,,,,,,,,,,,,,,,,,,
31,PT09M33.00S,2024-11-26T00:44:04.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,6,2024-11-26T00:44:13Z,310000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
