actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-31T02:11:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-31T02:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-31T02:11:16.4Z,1,REGULAR,jumpball,recovered,[],1641729,,,1610612762,0,0,2025-12-31T02:11:16Z,40000,False,,,0,,Jump Ball J. Nurkić vs. N. Queta: Tip to B. Sensabaugh,"[1641729, 203994, 1629674]",1610612762.0,UTA,startperiod,B. Sensabaugh,1641729.0,Sensabaugh,B. Sensabaugh,Nurkić,203994.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2025-12-31T02:11:21.3Z,1,REGULAR,3pt,Jump Shot,[],1641718,78.79434954007884,9.313725490196079,1610612762,0,0,2025-12-31T02:12:03Z,70000,False,-203.0,147.0,1,right,MISS K. George 25' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,25.08,Missed,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2025-12-31T02:11:22.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,0,2025-12-31T02:12:03Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M46.00S,2025-12-31T02:11:40.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628374,93.51182654402102,54.90196078431373,1610612762,0,0,2025-12-31T02:11:45Z,100000,False,25.0,8.0,1,right,MISS L. Markkanen Layup - blocked,"[1628374, 1628401]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,2.59,Missed,,White,1628401.0,,,,,,,,,,,,,,,
11,PT11M46.00S,2025-12-31T02:11:40.7Z,1,REGULAR,block,,[],1628401,,,1610612762,0,0,2025-12-31T02:11:43Z,110000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M42.00S,2025-12-31T02:11:44.7Z,1,REGULAR,rebound,offensive,[],1641718,,,1610612762,0,0,2025-12-31T02:11:45Z,120000,False,,,0,,K. George REBOUND (Off:1 Def:0),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,10.0,,,1.0,0.0,1.0,,,,,,,,,,,,
13,PT11M39.00S,2025-12-31T02:11:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641718,92.46057818659659,47.05882352941176,1610612762,2,0,2025-12-31T02:11:49Z,130000,False,-15.0,18.0,1,right,K. George Layup (2 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,,,2.0,,,,,,,,,,,
14,PT11M22.00S,2025-12-31T02:12:03.7Z,1,REGULAR,3pt,Jump Shot,[],1628401,4.5499342969776615,95.34313725490196,1610612738,2,0,2025-12-31T02:12:07Z,140000,False,-227.0,-10.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,22.69,Missed,,,,,,,,,,,,,,,,,,
15,PT11M20.00S,2025-12-31T02:12:05.7Z,1,REGULAR,rebound,defensive,[],1641707,,,1610612762,2,0,2025-12-31T02:12:07Z,150000,False,,,0,,T. Hendricks REBOUND (Off:0 Def:1),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Left Corner 3,24+ Left,,,14.0,,,1.0,1.0,0.0,,,,,,,,,,,,
