actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-01T02:41:19.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-01T02:41:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-01T02:41:22.3Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2026-03-01T02:41:22Z,40000,False,,,0,,Jump Ball D. Jordan vs. A. Bailey: Tip to Z. Williamson,"[1629627, 201599, 1642846]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Jordan,201599.0,Bailey,1642846.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-01T02:41:35.9Z,1,REGULAR,foul,personal,['2freethrow'],1642846,,,1610612740,0,0,2026-03-01T02:41:46Z,70000,False,,,0,,A. Bailey shooting personal FOUL (1 PF) (Jordan 2 FT),"[1642846, 201599]",1610612762.0,UTA,shooting,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,1629178.0,1.0,0.0,Jordan,201599.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2026-03-01T02:42:06.0Z,1,REGULAR,freethrow,1 of 2,[],201599,,,1610612740,0,1,2026-03-01T02:42:31Z,90000,False,,,0,,D. Jordan Free Throw 1 of 2 (1 PTS),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2026-03-01T02:42:06.0Z,1,REGULAR,freethrow,2 of 2,[],201599,,,1610612740,0,1,2026-03-01T02:42:31Z,100000,False,,,0,,MISS D. Jordan Free Throw 2 of 2,[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M44.00S,2026-03-01T02:42:07.0Z,1,REGULAR,rebound,defensive,[],1642262,,,1610612762,0,1,2026-03-01T02:42:31Z,110000,False,,,0,,C. Williams REBOUND (Off:0 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M26.00S,2026-03-01T02:42:48.5Z,1,REGULAR,turnover,bad pass,[],1642846,,,1610612762,0,1,2026-03-01T02:42:52Z,120000,False,,,0,,A. Bailey bad pass TURNOVER (1 TO),"[1642846, 201599]",1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,1.0,Jordan,201599.0,,,,,,
13,PT11M26.00S,2026-03-01T02:42:48.5Z,1,REGULAR,steal,,[],201599,,,1610612740,0,1,2026-03-01T02:43:22Z,130000,False,,,0,,D. Jordan STEAL (1 STL),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2026-03-01T02:42:51.6Z,1,REGULAR,turnover,bad pass,[],1630180,,,1610612740,0,1,2026-03-01T02:43:29Z,140000,False,,,0,,S. Bey bad pass TURNOVER (1 TO),"[1630180, 1642271]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Filipowski,1642271.0,,,,,,
15,PT11M23.00S,2026-03-01T02:42:51.6Z,1,REGULAR,steal,,[],1642271,,,1610612762,0,1,2026-03-01T02:42:54Z,150000,False,,,0,,K. Filipowski STEAL (1 STL),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT11M18.00S,2026-03-01T02:42:56.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642262,90.62089356110381,51.225490196078425,1610612762,0,1,2026-03-01T02:43:35Z,160000,False,6.0,36.0,1,right,MISS C. Williams driving finger roll Layup,[1642262],1610612762.0,UTA,driving finger roll,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,,,,3.62,,,,,
17,PT11M17.00S,2026-03-01T02:42:57.6Z,1,REGULAR,rebound,offensive,[],1642271,,,1610612762,0,1,2026-03-01T02:42:57Z,170000,False,,,0,,K. Filipowski REBOUND (Off:1 Def:0),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,
18,PT11M16.00S,2026-03-01T02:42:58.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642846,82.07950065703022,5.392156862745098,1610612762,0,1,2026-03-01T02:43:03Z,180000,False,-223.0,116.0,1,right,MISS A. Bailey 25' 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,,,25.14,,,,,
19,PT11M12.00S,2026-03-01T02:43:02.9Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,0,1,2026-03-01T02:43:03Z,190000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT11M01.00S,2026-03-01T02:43:14.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,5.863994743758213,94.85294117647058,1610612740,0,4,2026-03-01T02:43:17Z,200000,False,-224.0,3.0,1,left,S. Bey 3PT  (3 PTS) (B. McGowens 1 AST),"[1630180, 1631121]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,,,,,,,,22.43,B. McGowens,1631121.0,1.0,,
22,PT10M42.00S,2026-03-01T02:43:32.9Z,1,REGULAR,3pt,Jump Shot,[],1642271,87.59855453350855,95.09803921568627,1610612762,0,4,2026-03-01T02:43:37Z,220000,False,225.0,64.0,1,right,MISS K. Filipowski 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,,,,23.44,,,,,
23,PT10M39.00S,2026-03-01T02:43:35.9Z,1,REGULAR,rebound,defensive,[],201599,,,1610612740,0,4,2026-03-01T02:43:37Z,230000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,Right Corner 3,24+ Right,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT10M28.00S,2026-03-01T02:43:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,9.806176084099869,61.029411764705884,1610612740,0,4,2026-03-01T02:43:51Z,240000,False,-55.0,40.0,1,left,MISS Z. Williamson 6' driving Layup - blocked,"[1629627, 1642846]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,,,,6.79,,,,Bailey,1642846.0
28,PT10M28.00S,2026-03-01T02:43:46.4Z,1,REGULAR,block,,[],1642846,,,1610612740,0,4,2026-03-01T02:44:28Z,245000,False,,,0,,A. Bailey BLOCK (1 BLK),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M27.00S,2026-03-01T02:43:47.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,0,4,2026-03-01T02:43:51Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,24.0,,,,,,,,,,,,
26,PT10M04.00S,2026-03-01T02:44:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642262,85.89027595269383,62.254901960784316,1610612762,0,4,2026-03-01T02:44:28Z,260000,False,61.0,80.0,1,right,MISS C. Williams 10' turnaround Shot,[1642262],1610612762.0,UTA,turnaround,,,Williams,C. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,,,,,,,,10.09,,,,,
