actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-11-12T02:11:25.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-12T02:11:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-12T02:11:27.4Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2025-11-12T02:11:27Z,40000,False,,,0,,Jump Ball J. Nurkić vs. T. Bradley: Tip to K. George,"[1641718, 203994, 1628396]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Nurkić,203994.0,Bradley,1628396.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-12T02:11:42.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,10.33180026281209,55.63725490196079,1610612762,0,0,2025-11-12T02:19:13Z,70000,False,-28.0,45.0,1,left,MISS J. Nurkić driving Hook,[203994],1610612762.0,UTA,driving,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,5.28,Missed,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-11-12T02:11:45.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,0,2025-11-12T02:11:46Z,90000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M35.00S,2025-11-12T02:11:49.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629614,91.14651773981603,54.90196078431373,1610612754,0,0,2025-11-12T03:42:26Z,100000,False,25.0,31.0,1,right,MISS A. Nembhard running Layup - blocked,"[1629614, 1628374]",1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,3.93,Missed,,,,,Markkanen,1628374.0,,,,,,,,,,,,
11,PT11M35.00S,2025-11-12T02:11:49.5Z,1,REGULAR,block,,[],1628374,,,1610612754,0,0,2025-11-12T02:11:51Z,110000,False,,,0,,L. Markkanen BLOCK (1 BLK),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2025-11-12T02:11:52.5Z,1,REGULAR,rebound,offensive,[],1629614,,,1610612754,0,0,2025-11-12T02:11:55Z,120000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:0),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M28.00S,2025-11-12T02:11:55.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627783,89.83245729303549,62.00980392156863,1610612754,0,2,2025-11-12T02:12:02Z,130000,False,60.0,43.0,1,right,P. Siakam 7' driving floating bank Jump Shot (2 PTS),[1627783],1610612754.0,IND,driving floating bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.39,Made,,,,,,,2.0,,,,,,,,,,,
14,PT11M13.00S,2025-11-12T02:12:10.5Z,1,REGULAR,3pt,Jump Shot,[],1642846,24.52365308804205,14.215686274509803,1610612762,0,2,2025-11-12T02:12:14Z,140000,False,179.0,178.0,1,left,MISS A. Bailey 25' 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2025-11-12T02:12:10.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,2,2025-11-12T02:12:14Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Right Center,,,14.0,,,,,,,,,,,,,,,,,
