actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
333,PT01M05.00S,2026-02-12T03:05:11.5Z,2,REGULAR,rebound,defensive,[],203994,,,1610612762,69,40,2026-02-12T03:05:14Z,3290000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:6),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Left Center,,,,,,332.0,6.0,6.0,0.0,,,,,,,,,,,
334,PT00M57.70S,2026-02-12T03:05:20.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,91.14651773981603,42.40196078431372,1610612762,69,40,2026-02-12T03:05:25Z,3300000,False,-38.0,31.0,1,right,MISS J. Jackson Jr. driving Layup,[1628991],1610612762.0,UTA,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,4.89,Missed,,,,,,,,,,,,,,,
335,PT00M56.40S,2026-02-12T03:05:21.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612758,69,40,2026-02-12T03:05:25Z,3310000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,334.0,,,,,,,,,,,,,,
337,PT00M35.30S,2026-02-12T03:05:54.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630173,7.046649145860711,42.64705882352941,1610612758,69,42,2026-02-12T03:05:58Z,3330000,False,37.0,14.0,1,left,P. Achiuwa DUNK (6 PTS) (D. Carter 1 AST),"[1630173, 1642269]",1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,3.93,Made,,,,,,,6.0,D. Carter,1642269.0,1.0,,,,,
339,PT00M17.20S,2026-02-12T03:06:14.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,86.67871222076215,46.81372549019608,1610612762,71,42,2026-02-12T03:06:52Z,3350000,False,-16.0,73.0,1,right,J. Jackson Jr. 7' driving floating Jump Shot (18 PTS),[1628991],1610612762.0,UTA,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,7.44,Made,,,,,,,18.0,,,,,,,,
340,PT00M03.30S,2026-02-12T03:06:30.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201942,7.440867279894875,42.40196078431372,1610612758,71,44,2026-02-12T03:07:15Z,3360000,False,38.0,17.0,1,left,D. DeRozan driving Layup (12 PTS),[201942],1610612758.0,SAC,driving,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,4.18,Made,,,,,,,12.0,,,,,,,,
341,PT00M00.00S,2026-02-12T03:06:43.1Z,2,REGULAR,heave,,[],0,,,1610612762,71,44,2026-02-12T03:07:53Z,3370000,False,,,0,,UTA Heave - blocked,[1642875],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Center,,,,38.67,,,,,,Raynaud,1642875.0,,,,,,,,,
342,PT00M00.00S,2026-02-12T03:06:43.1Z,2,REGULAR,block,,[],1642875,,,1610612762,71,44,2026-02-12T03:06:46Z,3380000,False,,,0,,M. Raynaud BLOCK (1 BLK),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
343,PT00M00.00S,2026-02-12T03:06:43.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,71,44,2026-02-12T03:06:54Z,3390000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,341.0,,,,,,,,,,,,,,
344,PT00M00.00S,2026-02-12T03:07:04.3Z,2,REGULAR,period,end,[],0,,,1610612762,71,44,2026-02-12T03:07:04Z,3400000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2026-02-12T03:20:52.8Z,3,REGULAR,substitution,out,['startperiod'],1631342,,,1610612762,71,44,2026-02-12T03:21:47Z,3410000,False,,,0,,SUB out: D. Plowden,[1631342],1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,,,,,,,,,,,,,,,,,,,,,,
