actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-10-28T01:11:37.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-28T01:11:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-28T01:11:39.8Z,1,REGULAR,jumpball,recovered,[],1629004,,,1610612762,0,0,2025-10-28T01:11:39Z,40000,False,,,0,,Jump Ball W. Kessler vs. O. Ighodaro: Tip to S. Mykhailiuk,"[1629004, 1631117, 1642345]",1610612762.0,UTA,startperiod,S. Mykhailiuk,1629004.0,Mykhailiuk,S. Mykhailiuk,Kessler,1631117.0,Ighodaro,1642345.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-10-28T01:11:51.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,93.9060446780552,45.34313725490196,1610612762,2,0,2025-10-28T01:11:56Z,70000,False,-23.0,5.0,1,right,W. Kessler alley-oop DUNK (2 PTS) (L. Markkanen 1 AST),"[1631117, 1628374]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.38,Made,2.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-10-28T01:12:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642345,12.959921156373195,36.51960784313725,1610612756,2,0,2025-10-28T01:12:15Z,90000,False,67.0,69.0,1,left,MISS O. Ighodaro 9' floating Shot - blocked,"[1642345, 1631117]",1610612756.0,PHX,floating,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),8-16 Right,9.67,Missed,,,,,Kessler,1631117.0,,,,,,,,,,,,
10,PT11M28.00S,2025-10-28T01:12:09.1Z,1,REGULAR,block,,[],1631117,,,1610612756,2,0,2025-10-28T01:12:11Z,100000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2025-10-28T01:12:11.1Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,2,0,2025-10-28T01:12:15Z,110000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M19.00S,2025-10-28T01:12:18.7Z,1,REGULAR,3pt,Jump Shot,[],1641718,67.7562417871222,37.254901960784316,1610612762,5,0,2025-10-28T01:12:23Z,120000,False,-64.0,251.0,1,right,K. George 25' 3PT pullup (3 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Center,25.86,Made,3.0,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2025-10-28T01:12:28.0Z,1,REGULAR,3pt,Jump Shot,[],1626220,31.750985545335087,21.07843137254902,1610612756,5,0,2025-10-28T01:12:33Z,130000,False,145.0,246.0,1,left,MISS R. O'Neale 28' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,28.54,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2025-10-28T01:12:32.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,5,0,2025-10-28T01:12:32Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,13.0,,,,,,,,,,,
16,PT11M04.00S,2025-10-28T01:12:47.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626164,5.338370565045992,20.833333333333336,1610612756,5,0,2025-10-28T01:13:48Z,160000,False,146.0,-2.0,1,left,MISS D. Booker 14' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,14.58,Missed,,,,,,,,,,,,,,,,,,
