actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-03T02:11:34.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-03T02:11:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-03T02:11:37.2Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2026-03-03T02:11:37Z,40000,False,,,0,,Jump Ball K. Filipowski vs. N. Jokić: Tip to K. George,"[1641718, 1642271, 203999]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Filipowski,1642271.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-03-03T02:11:50.3Z,1,REGULAR,3pt,Jump Shot,[],1642846,27.677398160315374,78.67647058823529,1610612762,0,0,2026-03-03T02:11:57Z,70000,False,-143.0,208.0,1,left,MISS A. Bailey 25' step back 3PT,[1642846],1610612762.0,UTA,step back,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-03-03T02:11:52.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,0,2026-03-03T02:11:57Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2026-03-03T02:12:18.0Z,1,REGULAR,foul,personal,[],1642271,,,1610612743,0,0,2026-03-03T02:12:25Z,100000,False,,,0,,K. Filipowski personal FOUL (1 PF),"[1642271, 202685]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,203591.0,1.0,0.0,Valančiūnas,202685.0,,,,,,,,,,,,
12,PT11M25.00S,2026-03-03T02:12:39.9Z,1,REGULAR,foul,personal,['2freethrow'],1642846,,,1610612743,0,0,2026-03-03T02:13:03Z,120000,False,,,0,,A. Bailey shooting personal FOUL (1 PF) (Murray 2 FT),"[1642846, 1627750]",1610612762.0,UTA,shooting,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,1629183.0,1.0,0.0,Murray,1627750.0,,,,,,,,,,,,
14,PT11M25.00S,2026-03-03T02:13:06.5Z,1,REGULAR,freethrow,1 of 2,[],1627750,,,1610612743,0,1,2026-03-03T02:13:06Z,140000,False,,,0,,J. Murray Free Throw 1 of 2 (1 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
15,PT11M25.00S,2026-03-03T02:13:25.0Z,1,REGULAR,freethrow,2 of 2,[],1627750,,,1610612743,0,2,2026-03-03T02:13:25Z,150000,False,,,0,,J. Murray Free Throw 2 of 2 (2 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
16,PT11M18.00S,2026-03-03T02:13:36.1Z,1,REGULAR,foul,personal,['2freethrow'],1631128,,,1610612762,0,2,2026-03-03T02:13:42Z,160000,False,,,0,,C. Braun shooting personal FOUL (1 PF) (George 2 FT),"[1631128, 1641718]",1610612743.0,DEN,shooting,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Left,,,,1627534.0,1.0,0.0,George,1641718.0,,,,,,,,,,,,
18,PT11M18.00S,2026-03-03T02:14:06.4Z,1,REGULAR,freethrow,1 of 2,[],1641718,,,1610612762,0,2,2026-03-03T02:14:06Z,180000,False,,,0,,MISS K. George Free Throw 1 of 2,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
19,PT11M18.00S,2026-03-03T02:14:06.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,0,2,2026-03-03T02:14:06Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,
