actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-21T02:41:24.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-21T02:41:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-21T02:41:25.9Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2025-12-21T02:41:26Z,40000,False,,,0,,Jump Ball J. Nurkić vs. W. Carter Jr.: Tip to K. George,"[1641718, 203994, 1628976]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Nurkić,203994.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-12-21T02:41:37.2Z,1,REGULAR,3pt,Jump Shot,[],1641718,96.92838370565046,93.87254901960785,1610612762,0,0,2025-12-21T02:41:42Z,70000,False,219.0,-24.0,1,right,MISS K. George 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Right Corner 3,24+ Right,22.07,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-12-21T02:41:40.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,0,2025-12-21T02:41:40Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Right Corner 3,24+ Right,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2025-12-21T02:41:58.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641718,91.67214191852825,43.13725490196079,1610612762,2,0,2025-12-21T02:42:05Z,100000,False,-34.0,26.0,1,right,K. George cutting DUNK (2 PTS) (J. Nurkić 1 AST),"[1641718, 203994]",1610612762.0,UTA,cutting,,,George,K. George,,,,,Restricted Area,0-8 Center,4.29,Made,,2.0,J. Nurkić,203994.0,1.0,,,,,,,,,,,,,
12,PT11M16.00S,2025-12-21T02:42:23.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,33.459264126149804,74.26470588235294,1610612753,2,3,2025-12-21T02:43:13Z,120000,False,-121.0,262.0,1,left,D. Bane 28' 3PT step back (3 PTS) (W. Carter Jr. 1 AST),"[1630217, 1628976]",1610612753.0,ORL,step back,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,28.87,Made,,3.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,
15,PT11M01.00S,2025-12-21T02:43:01.0Z,1,REGULAR,turnover,backcourt,[],1641718,,,1610612762,2,3,2025-12-21T02:43:29Z,150000,False,,,0,,K. George backcourt TURNOVER (1 TO),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,,,,,1628484.0,1.0,,,,,,,,,,,
16,PT10M51.00S,2025-12-21T02:43:36.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628976,16.90210249671485,35.294117647058826,1610612753,2,5,2025-12-21T02:43:40Z,160000,False,74.0,106.0,1,left,W. Carter Jr. 12' Jump Shot (2 PTS) (T. Jones 1 AST),"[1628976, 1626145]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Right,12.93,Made,,2.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,
18,PT10M30.00S,2025-12-21T02:43:56.8Z,1,REGULAR,3pt,Jump Shot,[],1642271,95.22010512483574,95.09803921568627,1610612762,2,5,2025-12-21T02:44:00Z,180000,False,225.0,-8.0,1,right,MISS K. Filipowski 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,22.56,Missed,,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2025-12-21T02:43:58.8Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,2,5,2025-12-21T02:44:00Z,190000,False,,,0,,A. Black REBOUND (Off:0 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Right Corner 3,24+ Right,,,18.0,,,,,,,1.0,1.0,0.0,,,,,,,,
