actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-31T02:41:24.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-31T02:41:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-31T02:41:28.3Z,1,REGULAR,jumpball,recovered,[],1629004,,,1610612762,0,0,2026-01-31T02:41:28Z,40000,False,,,0,,Jump Ball K. Filipowski vs. N. Claxton: Tip to S. Mykhailiuk,"[1629004, 1642271, 1629651]",1610612762.0,UTA,startperiod,S. Mykhailiuk,1629004.0,Mykhailiuk,S. Mykhailiuk,Filipowski,1642271.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-01-31T02:41:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642262,92.32917214191852,55.14705882352941,1610612762,2,0,2026-01-31T02:41:51Z,70000,False,26.0,20.0,1,right,C. Williams driving Layup (2 PTS),[1642262],1610612762.0,UTA,driving,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,3.23,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2026-01-31T02:42:06.7Z,1,REGULAR,3pt,Jump Shot,[],1642849,6.1268068331143235,96.07843137254902,1610612751,2,0,2026-01-31T02:42:13Z,80000,False,-230.0,5.0,1,left,MISS N. Traore 3PT,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
9,PT11M13.00S,2026-01-31T02:42:09.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,2,0,2026-01-31T02:47:09Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Left Corner 3,24+ Left,,,,8.0,,,,,,,,,,,,,,,,
10,PT11M12.00S,2026-01-31T02:42:51.5Z,1,REGULAR,foul,personal,[],1629004,,,1610612751,2,0,2026-01-31T02:47:09Z,100000,False,,,0,,S. Mykhailiuk personal FOUL (1 PF),"[1629004, 1629651]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,,,,,1628487.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,
12,PT11M03.00S,2026-01-31T02:43:11.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642856,9.017739816031538,70.09803921568627,1610612751,2,0,2026-01-31T02:47:44Z,120000,False,-100.0,32.0,1,left,MISS E. Dëmin 10' driving floating Shot,[1642856],1610612751.0,BKN,driving floating,,,Dëmin,E. Dëmin,,,,,Mid-Range,8-16 Left,10.56,Missed,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2026-01-31T02:43:13.7Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,2,0,2026-01-31T02:43:15Z,130000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Mid-Range,8-16 Left,,,,12.0,,,,,,1.0,1.0,0.0,,,,,,,,
14,PT10M51.00S,2026-01-31T02:43:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,85.23324572930355,49.01960784313725,1610612762,4,0,2026-01-31T02:48:54Z,140000,False,-5.0,86.0,1,right,K. Filipowski 8' driving floating Jump Shot (2 PTS) (K. George 1 AST),"[1642271, 1641718]",1610612762.0,UTA,driving floating,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),8-16 Center,8.64,Made,2.0,,,,,,,,,,K. George,1641718.0,1.0,,,,,
16,PT10M50.00S,2026-01-31T02:43:30.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,4,0,2026-01-31T02:43:30Z,160000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2026-01-31T02:46:36.4Z,1,REGULAR,3pt,Jump Shot,[],1642856,29.517082785808146,78.43137254901961,1610612751,4,3,2026-01-31T02:49:41Z,170000,False,-142.0,225.0,1,left,E. Dëmin 26' 3PT pullup (3 PTS) (N. Claxton 1 AST),"[1642856, 1629651]",1610612751.0,BKN,pullup,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Left Center,26.62,Made,3.0,,,,,,,,,,N. Claxton,1629651.0,1.0,,,,,
20,PT10M12.00S,2026-01-31T02:46:58.7Z,1,REGULAR,3pt,Jump Shot,[],1642271,74.45795006570303,11.76470588235294,1610612762,7,3,2026-01-31T02:47:03Z,190000,False,-191.0,188.0,1,right,K. Filipowski 26' 3PT  (5 PTS) (K. George 2 AST),"[1642271, 1641718]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Left Center,26.79,Made,5.0,,,,,,,,,,K. George,1641718.0,2.0,,,,,
23,PT09M51.00S,2026-01-31T02:47:22.5Z,1,REGULAR,3pt,Jump Shot,[],1642856,30.436925098554536,71.56862745098039,1610612751,7,3,2026-01-31T02:50:21Z,210000,False,-108.0,234.0,1,left,MISS E. Dëmin 25' 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Left Center,25.73,Missed,,,,,,,,,,,,,,,,,,
24,PT09M50.00S,2026-01-31T02:47:23.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,7,3,2026-01-31T02:50:21Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,23.0,,,,,,,,,,,,,,,,
26,PT09M36.00S,2026-01-31T02:47:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,83.13074901445466,57.35294117647059,1610612762,7,3,2026-01-31T02:50:46Z,240000,False,37.0,106.0,1,right,MISS K. Filipowski 11' floating Shot - blocked,"[1642271, 1642874]",1610612762.0,UTA,floating,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),8-16 Center,11.23,Missed,,,,,,,,,,,,,,Wolf,1642874.0,,,
27,PT09M36.00S,2026-01-31T02:47:40.0Z,1,REGULAR,block,,[],1642874,,,1610612762,7,3,2026-01-31T02:47:43Z,250000,False,,,0,,D. Wolf BLOCK (1 BLK),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M35.00S,2026-01-31T02:47:41.0Z,1,REGULAR,rebound,offensive,[],1642271,,,1610612762,7,3,2026-01-31T02:51:27Z,260000,False,,,0,,K. Filipowski REBOUND (Off:1 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),8-16 Center,,,,26.0,,,,,,2.0,1.0,1.0,,,,,,,,
29,PT09M33.00S,2026-01-31T02:47:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642271,92.32917214191852,43.627450980392155,1610612762,7,3,2026-01-31T02:51:53Z,270000,False,-32.0,20.0,1,right,MISS K. Filipowski driving Layup,[1642271],1610612762.0,UTA,driving,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
