actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-17T01:11:21.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-17T01:11:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-11-17T01:11:23.6Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2025-11-17T01:11:23Z,40000,False,,,0,,Jump Ball J. Nurkić vs. N. Vučević: Tip to K. George,"[1641718, 203994, 202696]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Nurkić,203994.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2025-11-17T01:11:26.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612762,0,0,2025-11-17T01:11:52Z,70000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612762.0,UTA,,,,,,,,,,1830.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-11-17T01:11:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,8.886333771353483,43.38235294117647,1610612762,2,0,2025-11-17T01:11:46Z,80000,False,33.0,31.0,1,left,L. Markkanen cutting Layup (2 PTS) (J. Nurkić 1 AST),"[1628374, 203994]",1610612762.0,UTA,cutting,,,Markkanen,L. Markkanen,,,,,,In The Paint (Non-RA),0-8 Center,4.53,Made,2.0,J. Nurkić,203994.0,1.0,,,,,,,,,,,,,
10,PT11M24.00S,2025-11-17T01:11:56.8Z,1,REGULAR,2pt,Jump Shot,[],202696,81.15965834428384,27.696078431372552,1610612741,2,0,2025-11-17T01:12:05Z,100000,False,-112.0,125.0,1,right,MISS N. Vučević 16' pullup Shot,[202696],1610612741.0,CHI,pullup,,,Vučević,N. Vučević,,,,,,Mid-Range,16-24 Left Center,16.72,Missed,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2025-11-17T01:11:59.8Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,2,0,2025-11-17T01:12:05Z,110000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,Mid-Range,16-24 Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M13.00S,2025-11-17T01:12:07.8Z,1,REGULAR,3pt,Jump Shot,[],1641718,20.18725361366623,9.068627450980392,1610612762,2,0,2025-11-17T01:12:16Z,120000,False,205.0,137.0,1,left,MISS K. George 24' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,Above the Break 3,24+ Right Center,24.65,Missed,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2025-11-17T01:12:11.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,2,0,2025-11-17T01:12:11Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,,,,,,,,,,,,
15,PT11M09.00S,2025-11-17T01:12:31.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629004,6.258212877792378,94.85294117647058,1610612762,5,0,2025-11-17T01:12:35Z,150000,False,-224.0,6.0,1,left,S. Mykhailiuk 3PT  (3 PTS) (K. George 1 AST),"[1629004, 1641718]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,Left Corner 3,24+ Left,22.44,Made,3.0,K. George,1641718.0,1.0,,,,,,,,,,,,,
17,PT11M02.00S,2025-11-17T01:12:41.5Z,1,REGULAR,2pt,Jump Shot,[],1641824,94.56307490144546,69.36274509803921,1610612741,5,2,2025-11-17T01:14:54Z,170000,False,97.0,-1.0,1,right,M. Buzelis 9' driving floating Jump Shot (2 PTS) (J. Giddey 1 AST),"[1641824, 1630581]",1610612741.0,CHI,driving floating,,,Buzelis,M. Buzelis,,,,,,Mid-Range,8-16 Right,9.68,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,
