actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-08T01:11:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-08T01:11:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-08T01:11:25.0Z,1,REGULAR,jumpball,recovered,[],1631119,,,1610612760,0,0,2025-12-08T01:11:25Z,40000,False,,,0,,Jump Ball C. Holmgren vs. J. Nurkić: Tip to J. Williams,"[1631119, 1631096, 203994]",1610612760.0,OKC,startperiod,J. Williams,1631119.0,Williams,J. Williams,Holmgren,1631096.0,Nurkić,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-08T01:11:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641717,16.376478318002626,39.705882352941174,1610612760,0,0,2025-12-08T01:11:42Z,70000,False,51.0,101.0,1,left,MISS C. Wallace 11' step back Shot,[1641717],1610612760.0,OKC,step back,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,11.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-08T01:11:39.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,0,0,2025-12-08T01:11:42Z,80000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-12-08T01:11:44.6Z,1,REGULAR,turnover,double dribble,[],203994,,,1610612762,0,0,2025-12-08T01:11:57Z,90000,False,,,0,,J. Nurkić double dribble TURNOVER (1 TO),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Left Center,,,,,,,1179.0,1.0,,,,,,,,,,,,
10,PT11M33.00S,2025-12-08T01:12:13.4Z,1,REGULAR,turnover,bad pass,[],1641717,,,1610612760,0,0,2025-12-08T01:12:17Z,100000,False,,,0,,C. Wallace bad pass TURNOVER (1 TO),"[1641717, 1642271]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Filipowski,1642271.0,,,,,,,,,,
11,PT11M33.00S,2025-12-08T01:12:13.4Z,1,REGULAR,steal,,[],1642271,,,1610612762,0,0,2025-12-08T01:18:01Z,110000,False,,,0,,K. Filipowski STEAL (1 STL),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2025-12-08T01:12:27.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203994,91.14651773981603,58.333333333333336,1610612762,0,0,2025-12-08T01:13:45Z,120000,False,42.0,31.0,1,right,MISS J. Nurkić turnaround bank Hook,[203994],1610612762.0,UTA,turnaround bank,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,5.18,Missed,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2025-12-08T01:12:29.6Z,1,REGULAR,rebound,offensive,[],203994,,,1610612762,0,0,2025-12-08T01:12:30Z,130000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT11M17.00S,2025-12-08T01:12:30.1Z,1,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612762,0,0,2025-12-08T01:12:56Z,140000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Nurkić 2 FT),"[1631096, 203994]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,2004.0,,,,1.0,0.0,Nurkić,203994.0,,,,,,
16,PT11M17.00S,2025-12-08T01:12:57.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203994,,,1610612762,1,0,2025-12-08T01:13:12Z,160000,False,,,0,,J. Nurkić Free Throw 1 of 2 (1 PTS),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
17,PT11M17.00S,2025-12-08T01:12:57.7Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203994,,,1610612762,1,0,2025-12-08T01:13:12Z,170000,False,,,0,,MISS J. Nurkić Free Throw 2 of 2,[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
