actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-11-22T03:11:20.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-22T03:11:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-22T03:11:24.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612762,0,0,2025-11-22T03:11:24Z,40000,False,,,0,,Jump Ball J. Nurkić vs. C. Holmgren: Tip to Team (UTA),"[203994, 1631096]",1610612762.0,UTA,startperiod,Team (UTA),Nurkić,203994.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-22T03:11:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,91.40932982917214,40.19607843137255,1610612762,2,0,2025-11-22T03:12:01Z,70000,False,-49.0,28.0,1,right,K. George driving finger roll Layup (2 PTS),[1641718],1610612762.0,UTA,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,5.66,Made,2.0,George,K. George,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2025-11-22T03:12:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,6.521024967148489,44.36274509803921,1610612760,2,2,2025-11-22T03:12:26Z,80000,False,28.0,9.0,1,left,C. Holmgren cutting Layup (2 PTS) (I. Hartenstein 1 AST),"[1631096, 1628392]",1610612760.0,OKC,cutting,,,,,,Restricted Area,0-8 Center,2.95,Made,2.0,Holmgren,C. Holmgren,I. Hartenstein,1628392.0,1.0,,,,,,,,,,,,,,,
10,PT11M13.00S,2025-11-22T03:12:23.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,75.64060446780552,13.23529411764706,1610612762,5,2,2025-11-22T03:12:29Z,100000,False,-184.0,176.0,1,right,L. Markkanen 25' 3PT  (3 PTS) (K. George 1 AST),"[1628374, 1641718]",1610612762.0,UTA,,,,,,,Above the Break 3,24+ Left Center,25.48,Made,3.0,Markkanen,L. Markkanen,K. George,1641718.0,1.0,,,,,,,,,,,,,,,
12,PT10M58.00S,2025-11-22T03:12:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,9.411957950065702,41.17647058823529,1610612760,5,2,2025-11-22T03:12:43Z,120000,False,44.0,36.0,1,left,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,5.69,Missed,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2025-11-22T03:12:41.9Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612762,5,2,2025-11-22T03:12:43Z,130000,False,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612762.0,UTA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Mykhailiuk,S. Mykhailiuk,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M51.00S,2025-11-22T03:12:47.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629004,92.9862023653088,54.65686274509803,1610612762,7,2,2025-11-22T03:12:52Z,140000,False,23.0,13.0,1,right,S. Mykhailiuk running Layup (2 PTS),[1629004],1610612762.0,UTA,running,,,,,,Restricted Area,0-8 Center,2.69,Made,2.0,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2025-11-22T03:13:01.9Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612760,7,2,2025-11-22T03:13:06Z,150000,False,,,0,,J. Nurkić shooting personal FOUL (1 PF) (Hartenstein 2 FT),"[203994, 1628392]",1610612762.0,UTA,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Nurkić,J. Nurkić,,,,,,,,2882.0,1.0,0.0,Hartenstein,1628392.0,,,,,,
17,PT10M38.00S,2025-11-22T03:13:30.5Z,1,REGULAR,freethrow,1 of 2,[],1628392,,,1610612760,7,3,2025-11-22T03:13:30Z,170000,False,,,0,,I. Hartenstein Free Throw 1 of 2 (1 PTS),[1628392],1610612760.0,OKC,,,,,,,,,,Made,1.0,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,
