actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-14T02:18:01.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-14T02:18:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-14T02:18:03.9Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2025-11-14T02:18:03Z,40000,False,,,0,,Jump Ball J. Nurkić vs. O. Okongwu: Tip to L. Markkanen,"[1628374, 203994, 1630168]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Nurkić,203994.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-14T02:18:18.3Z,1,REGULAR,3pt,Jump Shot,[],1641718,72.22404730617609,19.607843137254903,1610612762,0,0,2025-11-14T02:18:30Z,70000,False,-152.0,209.0,1,right,MISS K. George 25' pullup 3PT,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Left Center,25.81,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-11-14T02:18:21.3Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,0,2025-11-14T02:18:25Z,80000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M38.00S,2025-11-14T02:18:23.7Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,0,0,2025-11-14T02:18:30Z,90000,False,,,0,,J. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1630552],1610612737.0,ATL,bad pass,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204059.0,1.0,,,,,,,,,,,,
10,PT11M24.00S,2025-11-14T02:18:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203994,93.64323258869908,45.09803921568628,1610612762,0,0,2025-11-14T02:19:15Z,100000,False,-25.0,7.0,1,right,MISS J. Nurkić cutting finger roll Layup,[203994],1610612762.0,UTA,cutting finger roll,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,2.56,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2025-11-14T02:18:47.8Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,0,0,2025-11-14T02:18:50Z,110000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M21.00S,2025-11-14T02:18:47.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628374,94.40999984741211,50.0,1610612762,2,0,2025-11-14T02:18:47Z,120000,False,0.0,0.0,1,right,L. Markkanen tip Layup (2 PTS),[1628374],1610612762.0,UTA,tip,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
13,PT11M07.00S,2025-11-14T02:19:02.9Z,1,REGULAR,foul,personal,['2freethrow'],1628374,,,1610612737,2,0,2025-11-14T02:19:08Z,130000,False,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Johnson 2 FT),"[1628374, 1630552]",1610612762.0,UTA,shooting,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,204059.0,,,1.0,0.0,Johnson,1630552.0,,,,,,,
15,PT11M07.00S,2025-11-14T02:19:23.5Z,1,REGULAR,freethrow,1 of 2,[],1630552,,,1610612737,2,0,2025-11-14T02:19:23Z,150000,False,,,0,,MISS J. Johnson Free Throw 1 of 2,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
16,PT11M07.00S,2025-11-14T02:19:23.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,2,0,2025-11-14T02:19:23Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,
17,PT11M07.00S,2025-11-14T02:19:39.1Z,1,REGULAR,freethrow,2 of 2,[],1630552,,,1610612737,2,1,2025-11-14T02:19:39Z,170000,False,,,0,,J. Johnson Free Throw 2 of 2 (1 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
18,PT10M50.00S,2025-11-14T02:19:59.0Z,1,REGULAR,turnover,bad pass,[],1642846,,,1610612762,2,1,2025-11-14T02:20:03Z,180000,False,,,0,,A. Bailey bad pass TURNOVER (1 TO),"[1642846, 1630552]",1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,Johnson,1630552.0,,,,,
19,PT10M50.00S,2025-11-14T02:19:59.0Z,1,REGULAR,steal,,[],1630552,,,1610612737,2,1,2025-11-14T02:20:00Z,190000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2025-11-14T02:20:03.8Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,2,1,2025-11-14T02:20:09Z,200000,False,,,0,,J. Johnson bad pass TURNOVER (2 TO),"[1630552, 1641718]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2.0,,,,,,George,1641718.0,,,,,
21,PT10M45.00S,2025-11-14T02:20:03.8Z,1,REGULAR,steal,,[],1641718,,,1610612762,2,1,2025-11-14T02:24:29Z,210000,False,,,0,,K. George STEAL (1 STL),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M36.00S,2025-11-14T02:20:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629004,88.78120893561103,42.15686274509804,1610612762,2,1,2025-11-14T02:20:18Z,220000,False,-39.0,53.0,1,right,MISS S. Mykhailiuk 6' driving Layup,[1629004],1610612762.0,UTA,driving,,,Mykhailiuk,S. Mykhailiuk,,,,,In The Paint (Non-RA),0-8 Center,6.59,Missed,,,,,,,,,,,,,,,,,,
