actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-20T01:10:52.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-20T01:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-20T01:10:53.9Z,1,REGULAR,jumpball,recovered,[],1641989,,,1610612762,0,0,2026-03-20T01:10:53Z,40000,False,,,0,,Jump Ball K. Filipowski vs. M. Turner: Tip to E. Harkless,"[1641989, 1642271, 1626167]",1610612762.0,UTA,startperiod,E. Harkless,1641989.0,Harkless,E. Harkless,Filipowski,1642271.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-03-20T01:11:14.1Z,1,REGULAR,3pt,Jump Shot,[],1642271,68.28186596583443,68.13725490196079,1610612762,0,0,2026-03-20T01:11:19Z,70000,False,91.0,246.0,1,right,MISS K. Filipowski 26' 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2026-03-20T01:11:18.1Z,1,REGULAR,rebound,offensive,[],1643158,,,1610612762,0,0,2026-03-20T01:15:52Z,80000,False,,,0,,A. Garcia REBOUND (Off:1 Def:0),[1643158],1610612762.0,UTA,,,,Garcia,A. Garcia,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2026-03-20T01:11:19.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642846,70.12155059132719,29.65686274509804,1610612762,0,0,2026-03-20T01:11:24Z,90000,False,-102.0,228.0,1,right,MISS A. Bailey 25' 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2026-03-20T01:11:23.6Z,1,REGULAR,rebound,offensive,[],1642846,,,1610612762,0,0,2026-03-20T01:15:53Z,100000,False,,,0,,A. Bailey REBOUND (Off:1 Def:0),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M24.00S,2026-03-20T01:11:26.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641989,94.1688567674113,2.450980392156863,1610612762,0,0,2026-03-20T01:11:30Z,110000,False,-238.0,2.0,1,right,MISS E. Harkless 3PT,[1641989],1610612762.0,UTA,,,,Harkless,E. Harkless,,,,,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2026-03-20T01:11:29.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612749,0,0,2026-03-20T01:11:30Z,120000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Left Corner 3,24+ Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M01.00S,2026-03-20T01:11:50.0Z,1,REGULAR,3pt,Jump Shot,[],1631157,19.398817345597898,93.38235294117648,1610612749,0,3,2026-03-20T01:11:54Z,130000,False,-217.0,130.0,1,left,R. Rollins 25' 3PT step back (3 PTS),[1631157],1610612749.0,MIL,step back,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,25.28,Made,,,,,3.0,,,,,,,,,,,,,
14,PT10M40.00S,2026-03-20T01:12:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642262,91.67214191852825,56.127450980392155,1610612762,2,3,2026-03-20T01:12:14Z,140000,False,31.0,26.0,1,right,C. Williams driving Layup (2 PTS),[1642262],1610612762.0,UTA,driving,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,4.0,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M22.00S,2026-03-20T01:12:28.7Z,1,REGULAR,3pt,Jump Shot,[],1626167,32.14520367936925,60.049019607843135,1610612749,2,6,2026-03-20T01:12:32Z,150000,False,-50.0,250.0,1,left,M. Turner 25' 3PT  (3 PTS) (R. Rollins 1 AST),"[1626167, 1631157]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,25.47,Made,,,,,3.0,R. Rollins,1631157.0,1.0,,,,,,,,,,
17,PT10M06.00S,2026-03-20T01:12:47.8Z,1,REGULAR,turnover,out-of-bounds,[],1642271,,,1610612762,2,6,2026-03-20T01:12:53Z,170000,False,,,0,,K. Filipowski lost ball out-of-bounds TURNOVER (1 TO),[1642271],1610612762.0,UTA,lost ball,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628484.0,1.0,,,,,,,,
18,PT09M55.00S,2026-03-20T01:13:05.9Z,1,REGULAR,turnover,bad pass,[],1631157,,,1610612749,2,6,2026-03-20T01:13:09Z,180000,False,,,0,,R. Rollins bad pass TURNOVER (1 TO),"[1631157, 1642846]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,Bailey,1642846.0,,,,,,
19,PT09M55.00S,2026-03-20T01:13:05.9Z,1,REGULAR,steal,,[],1642846,,,1610612762,2,6,2026-03-20T01:13:08Z,190000,False,,,0,,A. Bailey STEAL (1 STL),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT09M52.00S,2026-03-20T01:13:09.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642846,91.01511169513797,50.49019607843137,1610612762,4,6,2026-03-20T01:13:13Z,200000,False,2.0,32.0,1,right,A. Bailey running Layup (2 PTS),[1642846],1610612762.0,UTA,running,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,3.21,Made,,,,,2.0,,,,,,,,,,,,,
21,PT09M39.00S,2026-03-20T01:13:21.8Z,1,REGULAR,2pt,Jump Shot,[],1631172,7.440867279894875,25.245098039215684,1610612749,4,6,2026-03-20T01:13:26Z,210000,False,124.0,17.0,1,left,MISS O. Dieng 12' pullup Shot,[1631172],1610612749.0,MIL,pullup,,,Dieng,O. Dieng,,,,,Mid-Range,8-16 Right,12.5,Missed,,,,,,,,,,,,,,,,,,
22,PT09M37.00S,2026-03-20T01:13:23.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,4,6,2026-03-20T01:13:26Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Mid-Range,8-16 Right,,,21.0,,,,,,,,,,,,,,,,,
