actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-11T02:41:29.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-11T02:41:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-11T02:41:31.4Z,1,REGULAR,jumpball,recovered,[],1642851,,,1610612766,0,0,2026-01-11T02:41:31Z,40000,False,,,0,,Jump Ball M. Diabaté vs. T. Hendricks: Tip to K. Knueppel,"[1642851, 1631217, 1641707]",1610612766.0,CHA,startperiod,K. Knueppel,1642851.0,Knueppel,K. Knueppel,Diabaté,1631217.0,Hendricks,1641707.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-01-11T02:41:48.9Z,1,REGULAR,violation,kicked ball,[],201567,,,1610612766,0,0,2026-01-11T02:48:10Z,70000,False,,,0,,K. Love kicked ball VIOLATION,[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,1627526.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2026-01-11T02:42:11.1Z,1,REGULAR,3pt,Jump Shot,[],1641706,88.38699080157687,4.6568627450980395,1610612766,0,3,2026-01-11T02:42:15Z,80000,False,-227.0,57.0,1,right,B. Miller 3PT  (3 PTS) (K. Knueppel 1 AST),"[1641706, 1642851]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,,Left Corner 3,24+ Left,23.37,Made,3.0,K. Knueppel,1642851.0,1.0,,,,,,,,,,,,,
10,PT11M21.00S,2026-01-11T02:42:23.7Z,1,REGULAR,3pt,Jump Shot,[],1641707,17.427726675427067,5.392156862745098,1610612762,0,3,2026-01-11T02:42:26Z,100000,False,223.0,111.0,1,left,MISS T. Hendricks 24' 3PT,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,Above the Break 3,24+ Right Center,24.92,Missed,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2026-01-11T02:42:24.7Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,0,3,2026-01-11T02:42:26Z,110000,False,,,0,,M. Diabaté REBOUND (Off:0 Def:1),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M14.00S,2026-01-11T02:42:31.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642851,91.67214191852825,45.83333333333333,1610612766,0,3,2026-01-11T02:43:16Z,120000,False,-21.0,26.0,1,right,MISS K. Knueppel running Layup - blocked,"[1642851, 1641718]",1610612766.0,CHA,running,,,Knueppel,K. Knueppel,,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,George,1641718.0,,,,,,,
13,PT11M14.00S,2026-01-11T02:42:31.8Z,1,REGULAR,block,,[],1641718,,,1610612766,0,3,2026-01-11T02:42:33Z,130000,False,,,0,,K. George BLOCK (1 BLK),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2026-01-11T02:42:35.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612762,0,3,2026-01-11T02:42:35Z,140000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,,Restricted Area,0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M04.00S,2026-01-11T02:42:43.2Z,1,REGULAR,turnover,out-of-bounds,[],201567,,,1610612762,0,3,2026-01-11T02:42:48Z,150000,False,,,0,,K. Love lost ball out-of-bounds TURNOVER (1 TO),[201567],1610612762.0,UTA,lost ball,,,Love,K. Love,,,,,202026.0,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,,,,,,
16,PT10M54.00S,2026-01-11T02:42:56.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,74.58935611038108,14.950980392156863,1610612766,0,3,2026-01-11T02:43:01Z,160000,False,-175.0,186.0,1,right,MISS L. Ball 25' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,
