actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-29T02:11:31.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-29T02:11:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-29T02:11:33.9Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2026-01-29T02:11:33Z,40000,False,,,0,,Jump Ball J. Nurkić vs. A. Horford: Tip to K. George,"[1641718, 203994, 201143]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Nurkić,203994.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2026-01-29T02:11:58.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641718,8.754927726675426,44.36274509803921,1610612762,2,0,2026-01-29T02:12:03Z,80000,False,28.0,30.0,1,left,K. George cutting DUNK (2 PTS) (J. Nurkić 1 AST),"[1641718, 203994]",1610612762.0,UTA,cutting,,,George,K. George,,,,,Restricted Area,0-8 Center,4.1,Made,2.0,J. Nurkić,203994.0,1.0,,,,,,,,,,,,,,
10,PT11M16.00S,2026-01-29T02:12:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,92.59198423127464,47.794117647058826,1610612744,2,0,2026-01-29T02:12:32Z,100000,False,-11.0,17.0,1,right,MISS B. Podziemski driving reverse Layup - blocked,"[1641764, 1642846]",1610612744.0,GSW,driving reverse,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,2.03,Missed,,,,,Bailey,1642846.0,,,,,,,,,,,,
16,PT11M16.00S,2026-01-29T02:12:27.1Z,1,REGULAR,block,,[],1642846,,,1610612744,2,0,2026-01-29T02:13:10Z,105000,False,,,0,,A. Bailey BLOCK (1 BLK),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2026-01-29T02:12:29.1Z,1,REGULAR,rebound,defensive,[],1642846,,,1610612762,2,0,2026-01-29T02:12:32Z,110000,False,,,0,,A. Bailey REBOUND (Off:0 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M50.00S,2026-01-29T02:12:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,10.200394218134035,37.00980392156863,1610612762,2,0,2026-01-29T02:12:57Z,120000,False,65.0,43.0,1,left,MISS K. George 7' driving floating bank Shot,[1641718],1610612762.0,UTA,driving floating bank,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,7.82,Missed,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2026-01-29T02:12:55.4Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,2,0,2026-01-29T02:12:57Z,130000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M42.00S,2026-01-29T02:13:01.7Z,1,REGULAR,3pt,Jump Shot,[],201143,71.04139290407359,77.69607843137256,1610612744,2,3,2026-01-29T02:13:07Z,140000,False,138.0,220.0,1,right,A. Horford 25' 3PT  (3 PTS) (B. Podziemski 1 AST),"[201143, 1641764]",1610612744.0,GSW,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,25.97,Made,3.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,
17,PT10M29.00S,2026-01-29T02:13:15.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642846,8.886333771353483,50.98039215686274,1610612762,4,3,2026-01-29T02:13:20Z,160000,False,-5.0,31.0,1,left,A. Bailey cutting DUNK (2 PTS) (J. Nurkić 2 AST),"[1642846, 203994]",1610612762.0,UTA,cutting,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,3.14,Made,2.0,J. Nurkić,203994.0,2.0,,,,,,,,,,,,,,
