actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-15T03:07:47.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-15T03:07:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-15T03:08:03.3Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2023-02-15T03:08:03Z,40000,False,,,0,,Jump Ball I. Zubac vs. K. Looney: Tip to M. Morris Sr.,"[202694, 1627826, 1626172]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-02-15T03:08:18.6Z,1,REGULAR,violation,kicked ball,[],203110,,,1610612746,0,0,2023-02-15T03:08:23Z,70000,False,,,0,,D. Green kicked ball VIOLATION,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,1628159.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-02-15T03:08:35.1Z,1,REGULAR,3pt,Jump Shot,[],202331,71.27135348226018,74.26470588235294,1610612746,0,0,2023-02-15T03:08:44Z,80000,False,121.0,218.0,1,right,MISS P. George 24' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-02-15T03:08:38.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,0,0,2023-02-15T03:08:40Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,Above the Break 3,24+ Right Center,,,8.0,,,,,,,,,,,,,,,,
11,PT11M31.00S,2023-02-15T03:09:11.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629611,91.37647831800263,96.32352941176471,1610612746,0,0,2023-02-15T03:09:16Z,110000,False,232.0,29.0,1,right,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,Right Corner 3,24+ Right,23.34,Missed,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2023-02-15T03:09:15.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2023-02-15T03:09:16Z,120000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M13.00S,2023-02-15T03:09:28.4Z,1,REGULAR,2pt,Jump Shot,[],202691,24.885019710906704,55.3921568627451,1610612744,0,0,2023-02-15T03:09:33Z,130000,False,-27.0,181.0,1,left,MISS K. Thompson 18' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,,Mid-Range,16-24 Center,18.34,Missed,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2023-02-15T03:09:32.4Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,0,2023-02-15T03:09:33Z,140000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,Mid-Range,16-24 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M50.00S,2023-02-15T03:09:51.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629611,86.38304862023654,60.53921568627451,1610612746,0,0,2023-02-15T03:09:55Z,150000,False,53.0,75.0,1,right,MISS T. Mann 9' driving Hook,[1629611],1610612746.0,LAC,driving,,,Mann,T. Mann,,,,,,In The Paint (Non-RA),8-16 Right,9.21,Missed,,,,,,,,,,,,,,,,,
