actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-03-26T02:40:26.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-26T02:40:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M59.00S,2023-03-26T02:40:44.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612746,0,0,2023-03-26T02:41:35Z,57500,False,,,0,,Jump Ball I. Zubac vs. J. Valanciunas: Tip to Team (LAC),"[1627826, 202685]",1610612746.0,LAC,startperiod,Team (LAC),Zubac,1627826.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M59.00S,2023-03-26T02:41:02.1Z,1,REGULAR,foul,personal,[],202685,,,1610612746,0,0,2023-03-26T02:41:43Z,70000,False,,,0,,J. Valanciunas loose ball personal FOUL (1 PF),"[202685, 1627826]",1610612740.0,NOP,loose ball,,,,,,Above the Break 3,24+ Center,1628953.0,1.0,0.0,Valanciunas,J. Valanciunas,Zubac,1627826.0,,,,,,,,,,,,,,,,
9,PT11M48.00S,2023-03-26T02:41:29.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,11.744415243101187,41.666666666666664,1610612746,0,0,2023-03-26T02:42:25Z,90000,False,42.0,58.0,1,left,MISS I. Zubac 7' driving Hook,[1627826],1610612746.0,LAC,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,,Zubac,I. Zubac,,,7.14,Missed,,,,,,,,,,,,,,
10,PT11M46.00S,2023-03-26T02:41:31.3Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,0,2023-03-26T02:41:59Z,100000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Murphy III,T. Murphy III,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
15,PT11M33.00S,2023-03-26T02:41:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,92.16491458607096,52.205882352941174,1610612740,0,2,2023-03-26T02:43:41Z,110000,False,11.0,21.0,1,right,B. Ingram driving finger roll Layup (2 PTS),[1627742],1610612740.0,NOP,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Ingram,B. Ingram,,,2.38,Made,,,,,2.0,,,,,,,,,
16,PT11M17.00S,2023-03-26T02:42:00.4Z,1,REGULAR,turnover,bad pass,[],201569,,,1610612746,0,2,2023-03-26T02:42:05Z,120000,False,,,0,,E. Gordon bad pass TURNOVER (1 TO),"[201569, 203468]",1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,,,,Gordon,E. Gordon,,,,,,,,,,1.0,McCollum,203468.0,,,,,,
17,PT11M17.00S,2023-03-26T02:42:00.4Z,1,REGULAR,steal,,[],203468,,,1610612740,0,2,2023-03-26T02:42:03Z,130000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
18,PT11M04.00S,2023-03-26T02:42:13.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627742,80.20696452036793,61.27450980392157,1610612740,0,2,2023-03-26T02:45:12Z,140000,False,56.0,134.0,1,right,MISS B. Ingram 14' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,,Ingram,B. Ingram,,,14.5,Missed,,,,,,,,,,,,,,
19,PT10M58.00S,2023-03-26T02:42:19.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,0,2,2023-03-26T02:42:20Z,150000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Westbrook,R. Westbrook,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M50.00S,2023-03-26T02:42:27.1Z,1,REGULAR,3pt,Jump Shot,[],202695,30.404073587385014,26.470588235294116,1610612746,0,2,2023-03-26T02:42:31Z,160000,False,118.0,233.0,1,left,MISS K. Leonard 26' 3PT,[202695],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,,,,Leonard,K. Leonard,,,26.13,Missed,,,,,,,,,,,,,,
21,PT10M47.00S,2023-03-26T02:42:30.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,2,2023-03-26T02:42:31Z,170000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Valanciunas,J. Valanciunas,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M44.00S,2023-03-26T02:42:33.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630529,93.74178712220763,50.245098039215684,1610612740,0,4,2023-03-26T02:42:39Z,180000,False,1.0,6.0,1,right,H. Jones running Layup (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,,,,Jones,H. Jones,,,0.64,Made,,,,,2.0,,,,B. Ingram,1627742.0,1.0,,,
24,PT10M27.00S,2023-03-26T02:42:50.3Z,1,REGULAR,3pt,Jump Shot,[],202695,30.66688567674113,71.32352941176471,1610612746,0,4,2023-03-26T02:42:54Z,200000,False,-107.0,236.0,1,left,MISS K. Leonard 25' 3PT,[202695],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,,,,Leonard,K. Leonard,,,25.88,Missed,,,,,,,,,,,,,,
25,PT10M24.00S,2023-03-26T02:42:53.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,4,2023-03-26T02:42:54Z,210000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,Valanciunas,J. Valanciunas,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,
26,PT10M19.00S,2023-03-26T02:42:58.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627742,85.5946123521682,64.70588235294117,1610612740,0,6,2023-03-26T02:43:22Z,220000,False,74.0,83.0,1,right,B. Ingram 11' running pullup Jump Shot (4 PTS),[1627742],1610612740.0,NOP,running pullup,,,,,,In The Paint (Non-RA),8-16 Right,,,,Ingram,B. Ingram,,,11.08,Made,,,,,4.0,,,,,,,,,
