actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-11T03:41:08.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-11T03:41:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-11T03:41:10.4Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2023-01-11T03:41:10Z,40000,False,,,0,,Jump Ball I. Zubac vs. D. Powell: Tip to T. Mann,"[1629611, 1627826, 203939]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-01-11T03:41:27.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,92.29632063074901,59.80392156862745,1610612746,2,0,2023-01-11T03:41:32Z,70000,False,49.0,20.0,1,right,I. Zubac turnaround bank Hook (2 PTS),[1627826],1610612746.0,LAC,turnaround bank,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.29,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2023-01-11T03:41:50.9Z,1,REGULAR,3pt,Jump Shot,[],1626174,22.125492772667542,91.17647058823529,1610612742,2,0,2023-01-11T03:41:57Z,80000,False,-206.0,155.0,1,left,MISS C. Wood 25' 3PT,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Left Center,25.8,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2023-01-11T03:41:51.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,2,0,2023-01-11T03:43:23Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,8.0,,,,,,,,,,,,,,,,
10,PT11M15.00S,2023-01-11T03:41:59.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612742,2,0,2023-01-11T03:42:08Z,100000,False,,,0,,DAL shot clock Team TURNOVER,[],1610612742.0,DAL,,,,,,,,,,Mid-Range,8-16 Left,,,,,1662.0,,,,,,,,,,,,,,,
11,PT11M01.00S,2023-01-11T03:42:22.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627826,92.29632063074901,50.0,1610612746,4,0,2023-01-11T03:42:26Z,110000,False,0.0,20.0,1,right,I. Zubac DUNK (4 PTS) (T. Mann 1 AST),"[1627826, 1629611]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.99,Made,4.0,,,T. Mann,1629611.0,1.0,,,,,,,,,,,,
13,PT10M49.00S,2023-01-11T03:42:34.9Z,1,REGULAR,2pt,Jump Shot,[],1629029,20.811432325886997,70.83333333333333,1610612742,4,2,2023-01-11T03:42:39Z,130000,False,-104.0,143.0,1,left,L. Doncic 17' step back Jump Shot (2 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,17.7,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2023-01-11T03:42:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,92.0335085413929,52.94117647058824,1610612746,6,2,2023-01-11T03:42:53Z,140000,False,15.0,22.0,1,right,T. Mann driving Layup (2 PTS),[1629611],1610612746.0,LAC,driving,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,2.68,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M21.00S,2023-01-11T03:43:02.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,26.987516425755587,18.382352941176478,1610612742,6,2,2023-01-11T03:43:07Z,150000,False,158.0,201.0,1,left,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,25.59,Missed,,,,,,,,,,,,,,,,,,
