actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-08T03:31:32.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T03:31:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-08T03:31:36.1Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-11-08T03:31:36Z,40000,,,0,,Jump Ball J. Allen vs. I. Zubac: Tip to D. Garland,"[1629636, 1628386, 1627826]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-11-08T03:31:49.6Z,1,REGULAR,2pt,Jump Shot,[],1630596,8.327858081471746,28.67647058823529,1610612739,0,0,2022-11-08T03:31:54Z,70000,107.0,26.0,1,left,MISS E. Mobley 10' turnaround Shot,[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,10.97,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-08T03:31:52.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2022-11-08T03:31:54Z,80000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-11-08T03:32:10.6Z,1,REGULAR,3pt,Jump Shot,[],1629611,92.69053876478318,4.411764705882348,1610612746,0,0,2022-11-08T03:32:16Z,90000,-228.0,16.0,1,right,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,22.85,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-11-08T03:32:14.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2022-11-08T03:32:16Z,100000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M10.00S,2022-11-08T03:32:20.6Z,1,REGULAR,2pt,Jump Shot,[],1629636,8.196452036793687,26.960784313725497,1610612739,0,2,2022-11-08T03:32:26Z,110000,115.0,25.0,1,left,D. Garland 11' fadeaway Jump Shot (2 PTS),[1629636],1610612739.0,CLE,fadeaway,,,Garland,D. Garland,,,,,Mid-Range,8-16 Right,11.78,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M55.00S,2022-11-08T03:32:36.3Z,1,REGULAR,2pt,Jump Shot,[],202694,74.1622864651774,37.00980392156863,1610612746,0,2,2022-11-08T03:32:41Z,120000,-65.0,190.0,1,right,MISS M. Morris Sr. 20' Jump Shot,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Left Center,20.12,Missed,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2022-11-08T03:32:39.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,2,2022-11-08T03:32:41Z,130000,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M48.00S,2022-11-08T03:32:43.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630596,6.225361366622863,47.549019607843135,1610612739,0,4,2022-11-08T03:32:50Z,140000,12.0,6.0,1,left,E. Mobley running DUNK (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.37,Made,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,
16,PT10M36.00S,2022-11-08T03:32:55.1Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612746,0,4,2022-11-08T03:33:00Z,160000,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1628386]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,Allen,1628386.0,,,,,,,
17,PT10M36.00S,2022-11-08T03:32:55.1Z,1,REGULAR,steal,,[],1628386,,,1610612739,0,4,2022-11-08T03:32:56Z,170000,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
