actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-03T03:41:18.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-03T03:41:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-03T03:41:21.4Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2023-01-03T03:41:21Z,40000,False,,,0,,Jump Ball B. Adebayo vs. I. Zubac: Tip to K. Lowry,"[200768, 1628389, 1627826]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-01-03T03:41:51.4Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,0,0,2023-01-03T03:42:00Z,80000,False,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,1628953.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2023-01-03T03:42:11.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202704,80.20696452036793,73.2843137254902,1610612746,0,0,2023-01-03T03:42:17Z,90000,False,116.0,134.0,1,right,MISS R. Jackson 17' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Right Center,,,17.72,Missed,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-01-03T03:42:15.6Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2023-01-03T03:42:17Z,100000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right Center,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M08.00S,2023-01-03T03:42:28.1Z,1,REGULAR,3pt,Jump Shot,[],1628997,7.013797634691201,97.05882352941177,1610612748,0,0,2023-01-03T03:42:35Z,110000,False,-235.0,13.0,1,left,MISS C. Martin 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,,,23.57,Missed,,,,,,,,,,,,,,,,
12,PT11M04.00S,2023-01-03T03:42:32.1Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2023-01-03T03:42:35Z,120000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT10M50.00S,2023-01-03T03:42:46.0Z,1,REGULAR,3pt,Jump Shot,[],202694,82.44086727989487,96.32352941176471,1610612746,3,0,2023-01-03T03:42:51Z,130000,False,232.0,113.0,1,right,M. Morris Sr. 25' 3PT  (3 PTS) (R. Jackson 1 AST),"[202694, 202704]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,,,25.75,Made,,,,,3.0,R. Jackson,202704.0,1.0,,,,,,,,
15,PT10M36.00S,2023-01-03T03:43:00.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,18.446123521681997,50.0,1610612748,3,2,2023-01-03T03:43:07Z,150000,False,0.0,121.0,1,left,B. Adebayo 12' Jump Shot (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,12.09,Made,,,,,2.0,T. Herro,1629639.0,1.0,,,,,,,,
17,PT10M22.00S,2023-01-03T03:43:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,93.87319316688567,45.34313725490197,1610612746,5,2,2023-01-03T03:43:19Z,170000,False,-23.0,5.0,1,right,R. Jackson driving reverse Layup (2 PTS) (P. George 1 AST),"[202704, 202331]",1610612746.0,LAC,driving reverse,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,2.39,Made,,,,,2.0,P. George,202331.0,1.0,,,,,,,,
