actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-08T20:11:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-08T20:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2023-04-08T20:11:09.0Z,1,REGULAR,jumpball,recovered,[],201587,,,1610612746,0,0,2023-04-08T20:11:09Z,40000,False,,,0,,Jump Ball I. Zubac vs. K. Knox II: Tip to N. Batum,"[201587, 1627826, 1628995]",1610612746.0,LAC,startperiod,N. Batum,201587.0,Batum,N. Batum,Zubac,1627826.0,Knox II,1628995.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-04-08T20:11:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,93.08475689881735,48.774509803921575,1610612746,2,0,2023-04-08T20:11:31Z,70000,False,-6.0,13.0,1,right,I. Zubac Layup (2 PTS) (N. Batum 1 AST),"[1627826, 201587]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.39,Made,2.0,N. Batum,201587.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2023-04-08T20:11:41.8Z,1,REGULAR,2pt,Jump Shot,[],1630570,5.568331143232584,32.59803921568627,1610612757,2,0,2023-04-08T20:12:51Z,90000,False,87.0,0.0,1,left,MISS T. Watford 8' turnaround fadeaway Shot,[1630570],1610612757.0,POR,turnaround fadeaway,,,Watford,T. Watford,,,,,Mid-Range,8-16 Right,8.7,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2023-04-08T20:11:45.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,0,2023-04-08T20:11:47Z,100000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M03.00S,2023-04-08T20:11:58.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,92.69053876478318,50.73529411764706,1610612746,4,0,2023-04-08T20:12:04Z,110000,False,4.0,16.0,1,right,I. Zubac alley-oop DUNK (4 PTS) (K. Leonard 1 AST),"[1627826, 202695]",1610612746.0,LAC,alley-oop,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.66,Made,4.0,K. Leonard,202695.0,1.0,,,,,,,,,,,,,,
13,PT10M44.00S,2023-04-08T20:12:17.0Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,4,0,2023-04-08T20:12:20Z,130000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 201569]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Gordon,201569.0,,,,,,,
14,PT10M44.00S,2023-04-08T20:12:17.0Z,1,REGULAR,steal,,[],201569,,,1610612746,4,0,2023-04-08T20:12:18Z,140000,False,,,0,,E. Gordon STEAL (1 STL),[201569],1610612746.0,LAC,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2023-04-08T20:12:22.3Z,1,REGULAR,turnover,out-of-bounds,[],201569,,,1610612746,4,0,2023-04-08T20:12:27Z,150000,False,,,0,,E. Gordon lost ball out-of-bounds TURNOVER (1 TO),[201569],1610612746.0,LAC,lost ball,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,1626300.0,,,,,,
16,PT10M23.00S,2023-04-08T20:12:47.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631101,27.90735873850197,84.55882352941177,1610612757,4,0,2023-04-08T20:12:53Z,160000,False,-173.0,210.0,1,left,MISS S. Sharpe 27' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,27.18,Missed,,,,,,,,,,,,,,,,,,
