actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-16T03:41:10.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-16T03:41:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-12-16T03:41:14.8Z,1,REGULAR,jumpball,recovered,[],202322,,,1610612746,0,0,2022-12-16T03:41:14Z,40000,False,,,0,,Jump Ball M. Brown vs. B. Biyombo: Tip to J. Wall,"[202322, 1629650, 202687]",1610612746.0,LAC,startperiod,J. Wall,202322.0,Wall,J. Wall,Brown,1629650.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-12-16T03:41:28.3Z,1,REGULAR,3pt,Jump Shot,[],202322,24.227989487516425,87.5,1610612746,0,0,2022-12-16T03:41:35Z,70000,False,-188.0,175.0,1,left,MISS J. Wall 25' 3PT,[202322],1610612746.0,LAC,,,,Wall,J. Wall,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-12-16T03:41:32.3Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612746,0,0,2022-12-16T03:41:35Z,80000,False,,,0,,M. Brown REBOUND (Off:1 Def:0),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2022-12-16T03:41:33.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629650,6.4881734559789805,50.245098039215684,1610612746,2,0,2022-12-16T03:41:39Z,90000,False,-1.0,8.0,1,left,M. Brown putback Layup (2 PTS),[1629650],1610612746.0,LAC,putback,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M13.00S,2022-12-16T03:41:56.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,88.2227332457293,28.67647058823529,1610612756,2,0,2022-12-16T03:42:05Z,100000,False,-107.0,58.0,1,right,MISS D. Booker 12' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,12.15,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2022-12-16T03:42:00.2Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612746,2,0,2022-12-16T03:42:05Z,110000,False,,,0,,M. Brown REBOUND (Off:1 Def:1),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,Mid-Range,8-16 Left,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12,PT10M54.00S,2022-12-16T03:42:14.2Z,1,REGULAR,3pt,Jump Shot,[],1629599,8.853482260183966,97.05882352941177,1610612746,2,0,2022-12-16T03:42:19Z,120000,False,-235.0,31.0,1,left,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Left Corner 3,24+ Left,23.73,Missed,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-12-16T03:42:17.2Z,1,REGULAR,rebound,defensive,[],202687,,,1610612756,2,0,2022-12-16T03:42:19Z,130000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,Left Corner 3,24+ Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M44.00S,2022-12-16T03:42:27.2Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,2,0,2022-12-16T03:42:34Z,140000,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,,,,,,,,200833.0,1.0,,,,,,,,,,,
