actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-30T19:10:59.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T19:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-30T19:11:03.6Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2022-10-30T19:11:03Z,40000,,,0,,Jump Ball J. Valanciunas vs. I. Zubac: Tip to C. McCollum,"[203468, 202685, 1627826]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-10-30T19:11:23.2Z,1,REGULAR,foul,personal,[],1627826,,,1610612740,0,0,2022-10-30T19:11:34Z,70000,,,0,,I. Zubac personal FOUL (1 PF),"[1627826, 1629627]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,1830.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-10-30T19:12:02.7Z,1,REGULAR,turnover,out-of-bounds,[],202685,,,1610612740,0,0,2022-10-30T19:12:12Z,90000,,,0,,J. Valanciunas bad pass out-of-bounds TURNOVER (1 TO),[202685],1610612740.0,NOP,bad pass,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,200833.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M19.00S,2022-10-30T19:12:25.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202694,23.4395532194481,43.872549019607845,1610612746,0,0,2022-10-30T19:12:29Z,100000,31.0,168.0,1,left,MISS M. Morris Sr. 17' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Center,,,,,,,17.06,Missed,,,,,,,,,,,,
11,PT11M16.00S,2022-10-30T19:12:28.1Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,0,0,2022-10-30T19:12:29Z,110000,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M11.00S,2022-10-30T19:12:33.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630530,83.22930354796321,12.25490196078431,1610612740,0,0,2022-10-30T19:28:48Z,120000,-189.0,105.0,1,right,MISS T. Murphy III 21' running Shot,[1630530],1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Left,,,,,,,21.6,Missed,,,,,,,,,,,,
13,PT11M06.00S,2022-10-30T19:12:38.0Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,0,0,2022-10-30T19:12:48Z,130000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M56.00S,2022-10-30T19:12:47.7Z,1,REGULAR,3pt,Jump Shot,[],202704,29.747043363994734,79.16666666666666,1610612746,0,0,2022-10-30T19:12:59Z,140000,-146.0,227.0,1,left,MISS R. Jackson 26' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,26.99,Missed,,,,,,,,,,,,
15,PT10M49.00S,2022-10-30T19:12:53.5Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612746,0,0,2022-10-30T19:12:53Z,150000,,,0,,T. Mann REBOUND (Off:1 Def:0),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,
16,PT10M46.00S,2022-10-30T19:12:57.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202331,16.869250985545335,55.14705882352941,1610612746,0,0,2022-10-30T19:17:47Z,160000,-26.0,106.0,1,left,MISS P. George 10' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.92,Missed,,,,,,,,,,,,
17,PT10M42.00S,2022-10-30T19:13:01.1Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2022-10-30T19:13:04Z,170000,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M39.00S,2022-10-30T19:13:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,91.63929040735874,50.98039215686275,1610612740,0,2,2022-10-30T19:13:10Z,180000,5.0,26.0,1,right,Z. Williamson driving finger roll Layup (2 PTS),[1629627],1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,2.66,Made,,,,,2.0,,,,,,,
19,PT10M28.00S,2022-10-30T19:13:14.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,7.933639947437584,51.22549019607843,1610612746,2,2,2022-10-30T19:13:18Z,190000,-6.0,22.0,1,left,I. Zubac DUNK (2 PTS) (P. George 1 AST),"[1627826, 202331]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,2.29,Made,,,,,2.0,P. George,202331.0,1.0,,,,
21,PT10M15.00S,2022-10-30T19:13:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.61038107752957,46.32352941176471,1610612740,2,2,2022-10-30T19:13:33Z,210000,-18.0,8.0,1,right,MISS Z. Williamson driving reverse Layup,[1629627],1610612740.0,NOP,driving reverse,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,1.99,Missed,,,,,,,,,,,,
22,PT10M13.00S,2022-10-30T19:13:31.1Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,2,2,2022-10-30T19:13:33Z,220000,,,0,,T. Mann REBOUND (Off:1 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,,,21.0,2.0,1.0,1.0,,,,,,,,
23,PT10M10.00S,2022-10-30T19:13:33.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202694,24.753613666228645,88.23529411764706,1610612746,5,2,2022-10-30T19:13:41Z,230000,-191.0,180.0,1,left,M. Morris Sr. 26' 3PT running (3 PTS) (T. Mann 1 AST),"[202694, 1629611]",1610612746.0,LAC,running,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,,,,,,,26.27,Made,,,,,3.0,T. Mann,1629611.0,1.0,,,,
25,PT09M46.00S,2022-10-30T19:13:56.5Z,1,REGULAR,2pt,Jump Shot,[],203468,82.44086727989487,77.94117647058823,1610612740,5,2,2022-10-30T19:14:01Z,250000,140.0,113.0,1,right,MISS C. McCollum 17' fadeaway Shot,[203468],1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right Center,,,,,,,17.94,Missed,,,,,,,,,,,,
26,PT09M44.00S,2022-10-30T19:13:58.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,5,2,2022-10-30T19:31:26Z,260000,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Right Center,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,
27,PT09M41.00S,2022-10-30T19:14:09.6Z,1,REGULAR,foul,personal,[],1630230,,,1610612746,5,2,2022-10-30T19:14:15Z,270000,,,0,,N. Marshall personal FOUL (1 PF),"[1630230, 1627826]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,1830.0,1.0,0.0,Zubac,1627826.0,,,,,,,,,,,,,,,
29,PT09M30.00S,2022-10-30T19:14:32.7Z,1,REGULAR,3pt,Jump Shot,[],202331,30.14126149802891,68.13725490196079,1610612746,5,2,2022-10-30T19:14:38Z,290000,-91.0,231.0,1,left,MISS P. George 24' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,24.8,Missed,,,,,,,,,,,,
30,PT09M27.00S,2022-10-30T19:14:35.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,2,2022-10-30T19:14:38Z,300000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M19.00S,2022-10-30T19:14:42.8Z,1,REGULAR,3pt,Jump Shot,[],1630230,93.2161629434954,2.205882352941174,1610612740,5,5,2022-10-30T19:14:47Z,310000,-239.0,11.0,1,right,N. Marshall 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630230, 1629627]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,,,,,,,23.93,Made,,,,,3.0,Z. Williamson,1629627.0,1.0,,,,
33,PT09M04.00S,2022-10-30T19:14:57.9Z,1,REGULAR,3pt,Jump Shot,[],202694,30.929697766097235,26.715686274509807,1610612746,8,5,2022-10-30T19:15:03Z,330000,116.0,238.0,1,left,M. Morris Sr. 26' 3PT step back (6 PTS) (R. Jackson 1 AST),"[202694, 202704]",1610612746.0,LAC,step back,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,,,,,,,26.51,Made,,,,,6.0,R. Jackson,202704.0,1.0,,,,
34,PT08M41.00S,2022-10-30T19:15:20.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629627,93.08475689881735,45.09803921568627,1610612740,8,7,2022-10-30T19:15:24Z,340000,-25.0,13.0,1,right,Z. Williamson Hook (4 PTS) (J. Valanciunas 1 AST),"[1629627, 202685]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,2.75,Made,,,,,4.0,J. Valanciunas,202685.0,1.0,,,,
36,PT08M19.00S,2022-10-30T19:15:42.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,8.722076215505908,50.73529411764706,1610612746,10,7,2022-10-30T19:15:46Z,360000,-4.0,29.0,1,left,I. Zubac turnaround Hook (4 PTS) (P. George 2 AST),"[1627826, 202331]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,2.97,Made,,,,,4.0,P. George,202331.0,2.0,,,,
38,PT08M08.00S,2022-10-30T19:15:54.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629627,92.95335085413929,42.15686274509803,1610612740,10,7,2022-10-30T19:15:59Z,380000,-39.0,14.0,1,right,MISS Z. Williamson driving Hook,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,4.15,Missed,,,,,,,,,,,,
39,PT08M03.00S,2022-10-30T19:15:58.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,10,7,2022-10-30T19:15:58Z,390000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,
40,PT07M58.00S,2022-10-30T19:16:04.0Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,10,7,2022-10-30T19:16:07Z,400000,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1630530]",1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,,,,1.0,,,,,,,,,,,Murphy III,1630530.0,,
41,PT07M58.00S,2022-10-30T19:16:04.0Z,1,REGULAR,steal,,[],1630530,,,1610612740,10,7,2022-10-30T19:16:05Z,410000,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
