actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-26T03:41:13.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-26T03:41:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-26T03:41:16.9Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-11-26T03:41:16Z,40000,False,,,0,,Jump Ball I. Zubac vs. N. Jokic: Tip to M. Morris Sr.,"[202694, 1627826, 203999]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-11-26T03:41:36.1Z,1,REGULAR,2pt,Jump Shot,[],202694,78.49868593955321,71.56862745098039,1610612746,2,0,2022-11-26T03:42:31Z,70000,False,108.0,150.0,1,right,M. Morris Sr. 18' pullup Jump Shot (2 PTS) (A. Coffey 1 AST),"[202694, 1629599]",1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Right Center,18.44,Made,2.0,A. Coffey,1629599.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-11-26T03:41:55.0Z,1,REGULAR,foul,personal,[],1629611,,,1610612743,2,0,2022-11-26T03:42:03Z,90000,False,,,0,,T. Mann personal FOUL (1 PF),"[1629611, 203999]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,,,,204058.0,1.0,0.0,Jokic,203999.0,,,,,,,,,
11,PT11M19.00S,2022-11-26T03:42:14.2Z,1,REGULAR,2pt,Jump Shot,[],1628971,21.994086727989497,49.26470588235294,1610612743,2,2,2022-11-26T03:42:20Z,110000,False,4.0,154.0,1,left,B. Brown 15' pullup Jump Shot (2 PTS) (A. Gordon 1 AST),"[1628971, 203932]",1610612743.0,DEN,pullup,,,Brown,B. Brown,,,,,Mid-Range,8-16 Center,15.42,Made,2.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
13,PT11M02.00S,2022-11-26T03:42:34.0Z,1,REGULAR,turnover,out-of-bounds,[],1629599,,,1610612746,2,2,2022-11-26T03:44:18Z,130000,False,,,0,,A. Coffey lost ball out-of-bounds TURNOVER (1 TO),[1629599],1610612746.0,LAC,lost ball,,,Coffey,A. Coffey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,,,,,,,,
14,PT10M43.00S,2022-11-26T03:42:55.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,12.00722733245729,5.637254901960787,1610612743,2,5,2022-11-26T03:43:00Z,140000,False,222.0,60.0,1,left,J. Murray 3PT  (3 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,22.99,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
16,PT10M19.00S,2022-11-26T03:43:19.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,88.48554533508542,41.666666666666664,1610612746,2,5,2022-11-26T03:43:24Z,160000,False,-42.0,56.0,1,right,MISS I. Zubac 6' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,6.96,Missed,,,,,,,,,,,,,,,,,,
17,PT10M17.00S,2022-11-26T03:43:21.2Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,2,5,2022-11-26T03:43:24Z,170000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M10.00S,2022-11-26T03:43:28.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,6.750985545335084,46.81372549019608,1610612743,2,7,2022-11-26T03:43:35Z,180000,False,16.0,11.0,1,left,J. Murray cutting Layup (5 PTS) (N. Jokic 2 AST),"[1627750, 203999]",1610612743.0,DEN,cutting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.93,Made,5.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,
20,PT09M55.00S,2022-11-26T03:43:43.2Z,1,REGULAR,turnover,lost ball,[],1629611,,,1610612746,2,7,2022-11-26T03:43:47Z,200000,False,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1629611, 203932]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,,,,,Gordon,203932.0,,
21,PT09M55.00S,2022-11-26T03:43:43.2Z,1,REGULAR,steal,,[],203932,,,1610612743,2,7,2022-11-26T03:43:45Z,210000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
22,PT09M52.00S,2022-11-26T03:43:48.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203932,6.8823915900131425,48.774509803921575,1610612743,2,9,2022-11-26T03:43:55Z,220000,False,6.0,12.0,1,left,A. Gordon running Layup (2 PTS),[203932],1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.36,Made,2.0,,,,,,,,,,,,,,,,,
23,PT09M52.00S,2022-11-26T03:43:54.2Z,1,REGULAR,foul,personal,['1freethrow'],202694,,,1610612743,2,9,2022-11-26T03:44:01Z,230000,False,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Gordon 1 FT),"[202694, 203932]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,,,,,2714.0,1.0,0.0,Gordon,203932.0,,,,,,,,,
25,PT09M52.00S,2022-11-26T03:44:19.9Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",203932,,,1610612743,2,10,2022-11-26T03:44:19Z,250000,False,,,0,,A. Gordon Free Throw 1 of 1 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
26,PT09M37.00S,2022-11-26T03:44:37.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,93.61038107752957,47.549019607843135,1610612746,2,10,2022-11-26T03:44:42Z,260000,False,-12.0,8.0,1,right,MISS I. Zubac turnaround bank Hook,[1627826],1610612746.0,LAC,turnaround bank,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
27,PT09M35.00S,2022-11-26T03:44:39.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,10,2022-11-26T03:44:42Z,270000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,
28,PT09M25.00S,2022-11-26T03:44:50.2Z,1,REGULAR,2pt,Jump Shot,[],203484,9.379106438896187,25.490196078431367,1610612743,2,10,2022-11-26T03:44:54Z,280000,False,123.0,36.0,1,left,MISS K. Caldwell-Pope 12' pullup Shot,[203484],1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Right,12.76,Missed,,,,,,,,,,,,,,,,,,
29,PT09M23.00S,2022-11-26T03:44:52.2Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,2,10,2022-11-26T03:44:54Z,290000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,
30,PT09M10.00S,2022-11-26T03:45:05.1Z,1,REGULAR,3pt,Jump Shot,[],1629599,94.00459921156373,4.411764705882348,1610612746,2,10,2022-11-26T03:45:09Z,300000,False,-228.0,4.0,1,right,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,,
31,PT09M07.00S,2022-11-26T03:45:08.1Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612743,2,10,2022-11-26T03:45:09Z,310000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,
32,PT08M59.00S,2022-11-26T03:45:16.6Z,1,REGULAR,3pt,Jump Shot,[],203484,5.699737187910642,95.09803921568627,1610612743,2,10,2022-11-26T03:45:20Z,320000,False,-225.0,1.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,22.55,Missed,,,,,,,,,,,,,,,,,,
