actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-01-15T20:11:31.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-15T20:11:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-01-15T20:11:51.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612746,0,0,2023-01-15T20:11:51Z,40000,False,,,0,,Jump Ball I. Zubac vs. A. Sengun: Tip to Team (LAC),"[1627826, 1630578]",1610612746.0,LAC,startperiod,Team (LAC),Zubac,1627826.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2023-01-15T20:11:55.0Z,1,REGULAR,foul,personal,[],1630578,,,1610612746,0,0,2023-01-15T20:12:34Z,70000,False,,,0,,A. Sengun loose ball personal FOUL (1 PF),"[1630578, 1627826]",1610612745.0,HOU,loose ball,,,,,,Above the Break 3,24+ Center,1193.0,1.0,0.0,Sengun,A. Sengun,Zubac,1627826.0,,,,,,,,,,,,,,,,
10,PT11M34.00S,2023-01-15T20:12:36.5Z,1,REGULAR,2pt,Jump Shot,[],202695,74.55650459921156,31.617647058823522,1610612746,0,0,2023-01-15T20:13:35Z,100000,False,-92.0,187.0,1,right,MISS K. Leonard 20' step back Shot,[202695],1610612746.0,LAC,step back,,,,,,Mid-Range,16-24 Left Center,,,,Leonard,K. Leonard,,,20.81,Missed,,,,,,,,,,,,,,
11,PT11M32.00S,2023-01-15T20:12:39.0Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612745,0,0,2023-01-15T20:12:39Z,110000,False,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Left Center,,,,Martin Jr.,K. Martin Jr.,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M16.00S,2023-01-15T20:12:56.1Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612745,0,0,2023-01-15T20:13:02Z,120000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Smith Jr. 2 FT),"[1627826, 1631095]",1610612746.0,LAC,shooting,,,,,,Restricted Area,0-8 Center,1628159.0,1.0,0.0,Zubac,I. Zubac,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,
14,PT11M16.00S,2023-01-15T20:13:25.2Z,1,REGULAR,freethrow,1 of 2,[],1631095,,,1610612745,0,0,2023-01-15T20:13:47Z,140000,False,,,0,,MISS J. Smith Jr. Free Throw 1 of 2,[1631095],1610612745.0,HOU,,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,Missed,,,,,,,,,,,,,,
15,PT11M16.00S,2023-01-15T20:13:25.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,0,0,2023-01-15T20:13:47Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,
16,PT11M16.00S,2023-01-15T20:13:25.2Z,1,REGULAR,freethrow,2 of 2,[],1631095,,,1610612745,0,0,2023-01-15T20:13:47Z,160000,False,,,0,,MISS J. Smith Jr. Free Throw 2 of 2,[1631095],1610612745.0,HOU,,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,Missed,,,,,,,,,,,,,,
17,PT11M14.00S,2023-01-15T20:13:27.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2023-01-15T20:13:47Z,170000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,,,,,,,,Zubac,I. Zubac,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
