actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-03T21:10:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T21:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-03T21:10:51.4Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-12-03T21:10:51Z,40000,False,,,0,,Jump Ball D. Sabonis vs. I. Zubac: Tip to H. Barnes,"[203084, 1627734, 1627826]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-12-03T21:11:02.0Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,0,0,2022-12-03T21:11:05Z,70000,False,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 1627826]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left,1.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-12-03T21:11:02.0Z,1,REGULAR,steal,,[],1627826,,,1610612746,0,0,2022-12-03T21:11:04Z,80000,False,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-12-03T21:11:07.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629611,92.42772667542707,48.774509803921575,1610612746,2,0,2022-12-03T21:11:16Z,90000,False,-6.0,19.0,1,right,T. Mann running Layup (2 PTS),[1629611],1610612746.0,LAC,running,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,1.97,Made,2.0,,,,,,,,,,,,,,
10,PT11M27.00S,2022-12-03T21:11:21.3Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612758,2,0,2022-12-03T21:11:42Z,100000,False,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Barnes 2 FT),"[202694, 203084]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,,,,,1626300.0,1.0,0.0,Barnes,203084.0,,,,,,,,,
12,PT11M27.00S,2022-12-03T21:11:44.7Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,2,0,2022-12-03T21:11:44Z,120000,False,,,0,,MISS H. Barnes Free Throw 1 of 2,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
13,PT11M27.00S,2022-12-03T21:11:44.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,2,0,2022-12-03T21:11:44Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
14,PT11M27.00S,2022-12-03T21:12:01.1Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,2,1,2022-12-03T21:12:01Z,140000,False,,,0,,H. Barnes Free Throw 2 of 2 (1 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
15,PT11M11.00S,2022-12-03T21:12:19.3Z,1,REGULAR,3pt,Jump Shot,[],202704,66.67214191852825,43.627450980392155,1610612746,2,1,2022-12-03T21:12:23Z,150000,False,-32.0,261.0,1,right,MISS R. Jackson 26' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,,,,26.27,Missed,,,,,,,,,,,,,,,
